_id,name,schedule_id,alias_id,province,munic
yNd8sn,,CZHMns,5JLDoY,Province.FreeState,Kopanong
9U5qnV,,CZHMns,aM2EVT,Province.FreeState,Letsemeng
rQJnmd,,CZHMns,tFQeK3,Province.FreeState,Mangaung
k534iF,,CZHMns,9csA4r,Province.FreeState,Matjhabeng
3fKTud,,CZHMns,LvAEDH,Province.FreeState,Tokologo
md65nc,,CZHMns,FUBMrL,Province.Gauteng,City of Johannesburg
yvZqQc,,CZHMns,ppL7of,Province.Gauteng,City of Tshwane
wu6kYW,,CZHMns,U2dgA4,Province.Gauteng,Emfuleni
hmhfPK,,CZHMns,xfrcdH,Province.Gauteng,Merafong City
2hKwAA,,CZHMns,egEMzG,Province.Gauteng,Midvaal
DPL8BV,,CZHMns,eqfNFt,Province.Gauteng,Mogale City
agL6k4,,CZHMns,2pdtNT,Province.Gauteng,Rand West City
uvoJsZ,,CZHMns,rGE82L,Province.NorthWest,Madibeng
7aPQk4,,CZHMns,9KYaGD,Province.NorthWest,Moretele
GhBtxp,,CZHMns,bFd7cP,Province.NorthWest,Rustenburg
auk7aM,,CZHMns,o7bWJX,Province.NorthernCape,Dikgatlong
b3KhXC,,CZHMns,HD5UDD,Province.NorthernCape,Dipaleseng
NDVgzj,,CZHMns,YBG7W6,Province.NorthernCape,Emthanjeni
XExcFu,,CZHMns,fHbcDw,Province.NorthernCape,Letsemeng
Ejvwgf,,CZHMns,JNwnhg,Province.NorthernCape,Renosterberg
q2fTSU,,CZHMns,gabmug,Province.NorthernCape,Siyancuma
t3MJ8M,,CZHMns,qajVzq,Province.NorthernCape,Siyathemba
yPSsZ2,,CZHMns,ggCemj,Province.NorthernCape,Sol Plaatje
NUxygB,,CZHMns,kHPsH4,Province.NorthernCape,Thembelihle
BPVtZF,,CZHMns,gLdzbt,Province.NorthernCape,Tsantsabane
qb5T5y,,CZHMns,iCv4xi,Province.WesternCape,City of Cape Town
qyqQWG,,Ammxku,WHJwEm,Province.EasternCape,Amahlathi
z4Xc8n,,Ammxku,twrio6,Province.EasternCape,Emalahleni
YLUSZx,,Ammxku,ZnNehR,Province.EasternCape,Engcobo
YroC8D,,Ammxku,WiqipW,Province.EasternCape,Intsika Yethu
55XZ8K,,Ammxku,Fwgn6L,Province.EasternCape,Enoch Mgijima
BdHmRk,,Ammxku,9kahv7,Province.EasternCape,Makana
hX6p3f,,Ammxku,d7nf47,Province.EasternCape,Mnquma
2r2Cb3,,Ammxku,F8et6r,Province.EasternCape,Ndlambe
CGWJQy,,Ammxku,BiRB6V,Province.EasternCape,Raymond Mhlaba
BBxdhU,,Ammxku,hQJcBC,Province.EasternCape,Raymond Mhlaba
DRPQnK,,Ammxku,mycpXn,Province.EasternCape,Sakhisizwe
wCg6y2,,Ammxku,E9T9gP,Province.EasternCape,Sundays River Valley
jQr2tX,,Ammxku,v8QfJp,Province.EasternCape,Enoch Mgijima
ozwZYR,,Ammxku,BT8haD,Province.Gauteng,City of Tshwane
fbx2od,,Ammxku,G3gzdr,Province.KwazuluNatal,Abaqulusi
GoRnpj,,Ammxku,F5Kbmh,Province.KwazuluNatal,KwaDukuza
hnQWNg,,Ammxku,tkDLhi,Province.KwazuluNatal,Mandeni
zpwehP,,Ammxku,BfjHGY,Province.KwazuluNatal,Maphumulo
R7i35c,,Ammxku,qT9UUU,Province.KwazuluNatal,uMfolozi
uBrzTR,,Ammxku,ZQ2kVw,Province.KwazuluNatal,Mpofana
LLWgcR,,Ammxku,MYqLf8,Province.KwazuluNatal,Mthonjaneni
FS2o5o,,Ammxku,pnnCWz,Province.KwazuluNatal,Ndwedwe
V4bULV,,Ammxku,eDEEeL,Province.KwazuluNatal,Nkandla
hyREgz,,Ammxku,zrjNyJ,Province.KwazuluNatal,Nqutu
VnsZpZ,,Ammxku,Yf8zyr,Province.KwazuluNatal,Ntambanana
wBSCvk,,Ammxku,TgyB9E,Province.KwazuluNatal,Ubuhlebezwe
2mMF85,,Ammxku,H5wXmz,Province.KwazuluNatal,Ulundi
xCu4nL,,Ammxku,L5pFeY,Province.KwazuluNatal,uMhlathuze
7wFskP,,Ammxku,236zjA,Province.KwazuluNatal,uMlalazi
3Mimwv,,Ammxku,HFMLhp,Province.KwazuluNatal,uMngeni
F9ieh9,,Ammxku,dJphC6,Province.KwazuluNatal,Umzimkhulu
5mrD9L,,Ammxku,GGakZ4,Province.Limpopo,Aganang
Z7Wxzo,,Ammxku,RJn63y,Province.Limpopo,Blouberg
CbgzEz,,Ammxku,ZswELP,Province.Limpopo,Makhado
rK7QaP,,Ammxku,d5Zh9d,Province.Limpopo,Molemole
sxJm8j,,Ammxku,uf4UE9,Province.Limpopo,Musina
HJ4j5r,,Ammxku,i4A9Um,Province.Limpopo,Thulamela
CoX9uQ,,7MVzBU,DPhBeQ,Province.EasternCape,Dr Beyers Naudé
kKjBhR,,7MVzBU,zPB8Pc,Province.EasternCape,Walter Sisulu
RVvcZM,,7MVzBU,EfoZzM,Province.FreeState,Kopanong
b5dkrN,,7MVzBU,uGHkwp,Province.FreeState,Letsemeng
xQh6tC,,7MVzBU,XWyJiv,Province.FreeState,Masilonyana
PK5vfE,,7MVzBU,nhQJuT,Province.FreeState,Matjhabeng
vSENT9,,7MVzBU,fFDhPX,Province.FreeState,Nala
JAKyTL,,7MVzBU,HZJoEq,Province.FreeState,Tswelopele
6hRzYH,,7MVzBU,oeM5d4,Province.Gauteng,City of Johannesburg
RaEQww,,7MVzBU,k8AS44,Province.Gauteng,City of Tshwane
EZZQFg,,7MVzBU,dPw4Tm,Province.Gauteng,Dipaleseng
4SBK6b,,7MVzBU,5ge92Q,Province.Gauteng,City of Ekurhuleni
ptDS3s,,7MVzBU,Z6tbde,Province.Gauteng,Lesedi
rJMoWN,,7MVzBU,aCbUgh,Province.Gauteng,Mogale City
SFw9Gu,,7MVzBU,4PkMEC,Province.NorthWest,Madibeng
pF6eJ5,,7MVzBU,ofg5a8,Province.NorthWest,JB Marks
SmVQnD,,7MVzBU,F7FQMv,Province.NorthWest,JB Marks
nMwQAK,,7MVzBU,oYSNoU,Province.NorthernCape,Siyancuma
8DDWAJ,,7MVzBU,sK3Hy2,Province.NorthernCape,Siyathemba
geKnqu,,7MVzBU,CkvHco,Province.NorthernCape,Sol Plaatje
tXYYHx,,7MVzBU,mGYiYL,Province.NorthernCape,Tsantsabane
xHSMbG,,7MVzBU,2nK7Dg,Province.NorthernCape,Ubuntu
FjJdRf,,7MVzBU,vn3Snb,Province.NorthernCape,Umsobomvu
2xNjja,,7MVzBU,Fao3nf,Province.WesternCape,Beaufort West
SQygtr,,7MVzBU,RKmfhF,Province.WesternCape,Bergrivier
x9ZWZB,,7MVzBU,Sp4gVb,Province.WesternCape,City of Cape Town
ZSKhdU,,7MVzBU,vS8H9j,Province.WesternCape,Drakenstein
wgiq8d,,7MVzBU,yXg6L6,Province.WesternCape,Overstrand
si8BcL,,7MVzBU,svRSUP,Province.WesternCape,Prince Albert
JqhCso,,7MVzBU,MQW73Q,Province.WesternCape,Stellenbosch
DakD5S,,7MVzBU,MaV6m2,Province.WesternCape,Swartland
9gz2nW,,PnADoF,cXDXRo,Province.EasternCape,Amahlathi
EGoLbp,,PnADoF,nCd3zG,Province.EasternCape,Buffalo City
C3eApV,,PnADoF,Gtokqb,Province.EasternCape,Elundini
zG9THw,,PnADoF,KpSUBW,Province.EasternCape,Emalahleni
ScTZhS,,PnADoF,e43xqN,Province.EasternCape,Engcobo
WzrMZu,,PnADoF,kCxUBy,Province.EasternCape,Enoch Mgijima
vED4mm,,PnADoF,UMJQCw,Province.EasternCape,Matatiele
YREx8X,,PnADoF,JyT4us,Province.EasternCape,Winnie Madikizela-Mandela
VC6Dmd,,PnADoF,up564x,Province.EasternCape,Mhlontlo
JjT7d8,,PnADoF,m3mdA8,Province.EasternCape,Raymond Mhlaba
rJTZ4G,,PnADoF,y82qM7,Province.EasternCape,Ntabankulu
j3xv8N,,PnADoF,FWBMKd,Province.EasternCape,Sakhisizwe
NwxyXK,,PnADoF,75f2Ka,Province.EasternCape,Senqu
k28HVE,,PnADoF,jF9ev4,Province.EasternCape,Enoch Mgijima
Uu9uYC,,PnADoF,hhoxqg,Province.EasternCape,Umzimvubu
gcDvif,,PnADoF,v8Esgw,Province.FreeState,Mafube
dhoKnT,,PnADoF,HLcSoB,Province.KwazuluNatal,Abaqulusi
kKKqeG,,PnADoF,LfmwYc,Province.KwazuluNatal,Dannhauser
mbrcFi,,PnADoF,LWozit,Province.KwazuluNatal,Alfred Duma
HnTy96,,PnADoF,GvtJzS,Province.KwazuluNatal,Ray Nkonyeni
i8RuMW,,PnADoF,RqCzbx,Province.KwazuluNatal,Greater Kokstad
pEfFbx,,PnADoF,mJxa55,Province.KwazuluNatal,Ray Nkonyeni
kXJR2N,,PnADoF,z9EMv6,Province.KwazuluNatal,Jozini
kNNfn3,,PnADoF,KvpZk2,Province.KwazuluNatal,Newcastle
6tns6c,,PnADoF,p7dDNo,Province.KwazuluNatal,Nqutu
tXw4YP,,PnADoF,cHZBjW,Province.KwazuluNatal,Msunduzi
MvfBQM,,PnADoF,dw4pLJ,Province.KwazuluNatal,Ulundi
Mq95uT,,PnADoF,hqJebR,Province.KwazuluNatal,Umdoni
vAeZ5o,,PnADoF,KA4WDW,Province.KwazuluNatal,uMhlabuyalingana
m292f3,,PnADoF,JDSiX4,Province.KwazuluNatal,uMuziwabantu
sNDg8B,,PnADoF,dRhYzS,Province.KwazuluNatal,Umzimkhulu
7G73DN,,PnADoF,V7tEES,Province.KwazuluNatal,Umzumbe
bfztdy,,PnADoF,66gXsy,Province.KwazuluNatal,Vulamehlo
3D44oa,,PnADoF,djLh53,Province.Limpopo,Greater Tzaneen
toZKUD,,PnADoF,Zz8Nhm,Province.Limpopo,Lepelle-Nkumpi
jLoZke,,PnADoF,5kahzE,Province.Limpopo,Molemole
uEE8ZE,,PnADoF,m7mETy,Province.Limpopo,Polokwane
A7uUYc,,PnADoF,tbgDTg,Province.NorthWest,Madibeng
QTcnqW,,PnADoF,DzkVki,Province.NorthWest,Rustenburg
QmnZyB,,YhUhqS,b7GJZF,Province.FreeState,Mangaung
5EjZDD,,YhUhqS,7vstxj,Province.FreeState,Mantsopa
uA6RLx,,YhUhqS,VJjmmc,Province.FreeState,Masilonyana
ww3DDv,,YhUhqS,id7rZj,Province.FreeState,Matjhabeng
GfbzoS,,YhUhqS,fJb3Cy,Province.FreeState,Metsimaholo
QZH3yQ,,YhUhqS,BM8S7B,Province.FreeState,Mohokare
KTZvnx,,YhUhqS,o2wDQE,Province.FreeState,Moqhaka
5XGPcQ,,YhUhqS,aPtukj,Province.FreeState,Mangaung
oszULp,,YhUhqS,bVoEue,Province.Gauteng,City of Johannesburg
Jdr8gx,,YhUhqS,NpLRaA,Province.Gauteng,City of Ekurhuleni
PbxDH3,,YhUhqS,imY2co,Province.Gauteng,Midvaal
yRURbd,,YhUhqS,TN3BXB,Province.NorthWest,City of Matlosana
t8PfwY,,YhUhqS,GrkyGT,Province.NorthWest,Ditsobotla
exXRKn,,YhUhqS,s2iv8b,Province.NorthWest,Greater Taung
7ChzVX,,YhUhqS,GhyGdQ,Province.NorthWest,Mangaung
Kgt6zC,,YhUhqS,EEtfMH,Province.NorthWest,Kagisano-Molopo
8LtciY,,YhUhqS,5zy5SX,Province.NorthWest,Tswaing
MJbKpa,,YhUhqS,nBKp9M,Province.NorthWest,JB Marks
ba6FDQ,,YhUhqS,n23ysj,Province.NorthernCape,Dikgatlong
mpdzze,,YhUhqS,hrBsSi,Province.NorthernCape,Ga-Segonyana
XSdYww,,YhUhqS,ziHohc,Province.NorthernCape,Gamagara
QfYibH,,YhUhqS,UEMr9c,Province.NorthernCape,Joe Morolong
jPHyZ2,,YhUhqS,8DwXJ3,Province.NorthernCape,Phokwane
sqdUD2,,YhUhqS,6A23a8,Province.WesternCape,Bergrivier
eXE9rn,,YhUhqS,8DiZCQ,Province.WesternCape,Breede Valley
EXb9qW,,YhUhqS,qC9ByH,Province.WesternCape,Cape Agulhas
QASDSi,,YhUhqS,zJwtyy,Province.WesternCape,George
NHV4uz,,YhUhqS,qXbhq6,Province.WesternCape,Kannaland
6SRXbC,,YhUhqS,QGHxyH,Province.WesternCape,Langeberg
8uFLm5,,YhUhqS,3grNyc,Province.WesternCape,Oudtshoorn
NJun5a,,YhUhqS,gCgHeN,Province.WesternCape,Overstrand
RV7iVD,,YhUhqS,WEJxre,Province.WesternCape,Saldanha Bay
xuZ4iT,,YhUhqS,ozLWwo,Province.WesternCape,Swartland
ZWyZdF,,YhUhqS,AbGYNp,Province.WesternCape,Theewaterskloof
6QMJ5m,,EuA2L6,L7hLXW,Province.EasternCape,Amahlathi
pfGzvd,,EuA2L6,HkbMK4,Province.EasternCape,Dr Beyers Naudé
BwbbWZ,,EuA2L6,dLuEda,Province.EasternCape,Emalahleni
YCiz5x,,EuA2L6,VPzrPk,Province.EasternCape,Walter Sisulu
hXUo2e,,EuA2L6,SHeGHe,Province.EasternCape,Enoch Mgijima
WWVkiZ,,EuA2L6,MkAcMx,Province.EasternCape,Inxuba Yethemba
btLS2H,,EuA2L6,oh4B6s,Province.EasternCape,King Sabata Dalindyebo
oq8vU9,,EuA2L6,BvkyWk,Province.EasternCape,Enoch Mgijima
7VQ2cC,,EuA2L6,3D57j5,Province.EasternCape,Winnie Madikizela-Mandela
DeqhiV,,EuA2L6,MWnF4W,Province.EasternCape,Raymond Mhlaba
QYFhxZ,,EuA2L6,b2Et7v,Province.EasternCape,Raymond Mhlaba
fgAXdx,,EuA2L6,afWJzC,Province.EasternCape,Enoch Mgijima
VBQNTE,,EuA2L6,z3ysgk,Province.FreeState,Phumelela
Szi6sQ,,EuA2L6,hbpgjZ,Province.KwazuluNatal,Dannhauser
ZCtj9X,,EuA2L6,gk7nKS,Province.KwazuluNatal,eThekwini
EtxcH3,,EuA2L6,gRoShy,Province.KwazuluNatal,Ray Nkonyeni
NDJn2j,,EuA2L6,RHRazK,Province.KwazuluNatal,Ray Nkonyeni
GjuDmb,,EuA2L6,Vjm3Qj,Province.KwazuluNatal,Impendle
jTeUT2,,EuA2L6,3XJdzc,Province.KwazuluNatal,Newcastle
hmwxLb,,EuA2L6,YZsjUh,Province.KwazuluNatal,Msunduzi
yoeN7Y,,EuA2L6,3h3PrP,Province.KwazuluNatal,uMhlathuze
byhny4,,EuA2L6,koPJk8,Province.Limpopo,Elias Motsoaledi
rk8LUS,,EuA2L6,Ve3Fdc,Province.Limpopo,Ephraim Mogale
zprLE9,,EuA2L6,J87TJw,Province.Limpopo,Fetakgomo Tubatse
3ZRFiL,,EuA2L6,bDKY3x,Province.Limpopo,Fetakgomo Tubatse
78VPqt,,EuA2L6,LscMkr,Province.Limpopo,Lepelle-Nkumpi
