id,schedule_id,display_name,munic_id,name_aliases_id
ndnkng,eskm1e,aandenking,kpnng,
lcdl,eskm1e,alicedale,kpnng,
allep,eskm1e,allep,kpnng,
aqua,eskm1e,aqua,kpnng,
rbtrsfn,eskm1e,arbitersfontein,kpnng,
bknkp,eskm1e,bakenkop,kpnng,
brglngs,eskm1e,berglangs,kpnng,
brgpls,eskm1e,bergplaas-a,kpnng,
brgpnt,eskm1e,bergpunt-a,kpnng,
blbshk,eskm1e,blouboshoek,kpnng,
blydskp,eskm1e,blydskap-a,kpnng,
bschrnd,eskm1e,boschrand-a,kpnng,
chrlsvl,eskm1e,charlesville,kpnng,
cnstnt,eskm1e,constantia,kpnng,
deputa,eskm1e,de-put-a,kpnng,
dlfntn,eskm1e,deelfontein,kpnng,
donum,eskm1e,donum,kpnng,
dttsrs,eskm1e,du-toitsrus,kpnng,
nglskl,eskm1e,engelaskuil,kpnng,
fanida,eskm1e,fanida,kpnng,
frsmth,eskm1e,fauresmith,kpnng,
flrnc,eskm1e,florence,kpnng,
fntntj,eskm1e,fonteintjie-a,kpnng,
frtsg,eskm1e,fraaiuitsig,kpnng,
fryvll,eskm1e,frayville,kpnng,
glksfnt,eskm1e,geluksfontein-a,kpnng,
grpfntn,eskm1e,grapfontein,kpnng,
grnvl,eskm1e,groenvlei-a,kpnng,
grtprzf,eskm1e,groot-preezfontein,kpnng,
hrtbsfn,eskm1e,hartebeesfontein-a,kpnng,
hnnwrsk,eskm1e,heenenweerskop,kpnng,
hlpmkr,eskm1e,helpmekaar,kpnng,
hlstn,eskm1e,holstein,kpnng,
hnngvlt,eskm1e,honingvliet,kpnng,
hthlbrg,eskm1e,houthaalberg,kpnng,
htkpps,eskm1e,houtkoppies,kpnng,
ipopeng,eskm1e,ipopeng,kpnng,
ppngsp,eskm1e,ipopeng-sp,kpnng,
jgrsfnt,eskm1e,jagersfontein,kpnng,
klkfntn,eskm1e,kalkfontein,kpnng,
knnfntn,eskm1e,kanonfontein,kpnng,
krblt,eskm1e,kareebult,kpnng,
krfntn,eskm1e,kareefontein-a,kpnng,
kprsl,eskm1e,kiepersol,kpnng,
klrwtr,eskm1e,klaarwater,kpnng,
klndwrs,eskm1e,klein-dwarsvlei,kpnng,
kkskrl,eskm1e,kokskraal,kpnng,
kppsfnt,eskm1e,koppiesfontein,kpnng,
klfntn,eskm1e,kuilfontein-a,kpnng,
lfntn,eskm1e,leeufontein,kpnng,
lrvrsd,eskm1e,leeurivier-suid,kpnng,
lmnklf,eskm1e,lemoenkloof,kpnng,
lmnstr,eskm1e,leominster,kpnng,
lbnbrgs,eskm1e,liebenbergspan,kpnng,
lucerne,eskm1e,lucerne,kpnng,
lsthf,eskm1e,lusthof-a,kpnng,
lsthff,eskm1e,lusthoff,kpnng,
maraa,eskm1e,mara-a,kpnng,
merwede,eskm1e,merwede,kpnng,
metz,eskm1e,metz,kpnng,
mddlkrl,eskm1e,middelkraal,kpnng,
mddlvl,eskm1e,middelvlei,kpnng,
mimosa,eskm1e,mimosa,kpnng,
mttsg,eskm1e,mooituitsig,kpnng,
mvlkt,eskm1e,mooivlakte,kpnng,
ndhlpsd,eskm1e,noodhulpsdam,kpnng,
nrthdl,eskm1e,north-dale,kpnng,
olyf,eskm1e,olyf,kpnng,
nggnd,eskm1e,ongegund,kpnng,
nvrwcht,eskm1e,onverwacht,kpnng,
parys,eskm1e,parys,kpnng,
ptrysfn,eskm1e,patrysfontein,kpnng,
peilkop,eskm1e,peilkop,kpnng,
pella,eskm1e,pella,kpnng,
pltbrg,eskm1e,platberg,kpnng,
przfntn,eskm1e,preezfontein-noord,kpnng,
prspct,eskm1e,prospect,kpnng,
rddrsfn,eskm1e,reddersfontein,kpnng,
rtptsdm,eskm1e,rietputsdam,kpnng,
rooidam,eskm1e,rooidam,kpnng,
rotorua,eskm1e,rotorua,kpnng,
rgtvl,eskm1e,ruigtevlei-a,kpnng,
rstpnt,eskm1e,rustpunt,kpnng,
samar,eskm1e,samar,kpnng,
sndymnt,eskm1e,sandymount-park,kpnng,
sktmkr,eskm1e,skietmekaar,kpnng,
sknvlkt,eskm1e,skoonvlakte,kpnng,
sltlspr,eskm1e,sleutelspoort,kpnng,
srgvlt,eskm1e,sorgvliet,kpnng,
sptskp,eskm1e,spitskop,kpnng,
stnbkfn,eskm1e,steenbokfontein,kpnng,
stllrst,eskm1e,stillerust,kpnng,
snnysd,eskm1e,sunnyside,kpnng,
srfntn,eskm1e,suurfontein,kpnng,
swrtkpp,eskm1e,swartkoppies,kpnng,
tbslgt,eskm1e,taaiboslaagte,kpnng,
tlgrffn,eskm1e,telegraaffontein,kpnng,
tierpan,eskm1e,tierpan,kpnng,
ttspn,eskm1e,titiespan,kpnng,
twfntn,eskm1e,touwfontein,kpnng,
twsprng,eskm1e,tweesprong,kpnng,
tnhgsdr,eskm1e,uitenhagesdoorn,kpnng,
tspnkp,eskm1e,uitspankop,kpnng,
uitval,eskm1e,uitval,kpnng,
tvlskp,eskm1e,uitvalskop,kpnng,
vlbnk,eskm1e,vaalbank-a,kpnng,
vlshp,eskm1e,val's-hope,kpnng,
vrkfntn,eskm1e,varkfontein,kpnng,
vljnsdm,eskm1e,viljoensdam,kpnng,
vglfntn,eskm1e,vogelfontein-a,kpnng,
vredea,eskm1e,vrede-a,kpnng,
vrdvl,eskm1e,vredevlei,kpnng,
wtrbrn,eskm1e,waterbron-a,kpnng,
wlglgn,eskm1e,welgelegen-a,kpnng,
wlgmnd,eskm1e,welgemeend,kpnng,
welkom,eskm1e,welkom,kpnng,
werda,eskm1e,werda,kpnng,
whldn,eskm1e,wheeldon,kpnng,
whtbrn,eskm1e,whitbourne,kpnng,
wntrspr,eskm1e,winterspoort-a,kpnng,
rfntn,eskm1e,aarfontein,ltsmng,
bndrh,eskm1e,abendruhe,ltsmng,
brdn,eskm1e,aberdeen,ltsmng,
dmshp,eskm1e,adamshoop,ltsmng,
fvllngs,eskm1e,afvallingskop,ltsmng,
alex,eskm1e,alex,ltsmng,
lxndrst,eskm1e,alexandria-estate,ltsmng,
aloekop,eskm1e,aloekop,ltsmng,
mndldm,eskm1e,amandeldam,ltsmng,
nnsdl,eskm1e,annasdal,ltsmng,
rbdsgnt,eskm1e,arbeidsgenot,ltsmng,
rchrsbr,eskm1e,archersberg,ltsmng,
sbsdm,eskm1e,asbosdam,ltsmng,
ttsdm,eskm1e,attiesdam,ltsmng,
ttlbrgh,eskm1e,attleborough,ltsmng,
aurora,eskm1e,aurora,ltsmng,
vndsrst,eskm1e,avondsrust,ltsmng,
vnstr,eskm1e,avonster,ltsmng,
4sj-coe,eskm1e,bakenkop,ltsmng,
bknsrnt,eskm1e,bakensrant,ltsmng,
bnksdrf,eskm1e,banksdrift,ltsmng,
bnksfnt,eskm1e,banksfontein,ltsmng,
brndspn,eskm1e,barendspan,ltsmng,
begin,eskm1e,begin,ltsmng,
blgrv,eskm1e,belgravia,ltsmng,
bllv,eskm1e,bellevue,ltsmng,
belmont,eskm1e,belmont,ltsmng,
brgfntn,eskm1e,bergfontein,ltsmng,
3qg-1yy,eskm1e,bergpunt,ltsmng,
neh-ptb,eskm1e,bergrivier,ltsmng,
brgrvrn,eskm1e,bergrivier-noord,ltsmng,
berlyn,eskm1e,berlyn,ltsmng,
bssdm,eskm1e,bessiedam,ltsmng,
bstrspt,eskm1e,bestersput,ltsmng,
bzdnhts,eskm1e,bezuidenhoutskraal,ltsmng,
bsblt,eskm1e,biesiebult,ltsmng,
bimthal,eskm1e,bimthal,ltsmng,
bsmrck,eskm1e,bismarck,ltsmng,
blwhwl,eskm1e,blaauwheuwel,ltsmng,
blbnk,eskm1e,bloubank,ltsmng,
blbnkdr,eskm1e,bloubankdrif,ltsmng,
blbspn,eskm1e,bloubospan,ltsmng,
cfh-8ug,eskm1e,bloubospan-a,ltsmng,
blkpps,eskm1e,bloukoppies,ltsmng,
blkrns,eskm1e,bloukrans,ltsmng,
j2u-vie,eskm1e,blydskap,ltsmng,
bbbjnkr,eskm1e,bobbejaankrans,ltsmng,
brpls,eskm1e,boereplaas,ltsmng,
bsmnspt,eskm1e,boesmansput,ltsmng,
blknng,eskm1e,bolokanang,ltsmng,
blknngt,eskm1e,bolokanang-outlying,ltsmng,
bshffdm,eskm1e,boshoffdam,ltsmng,
bsjspn,eskm1e,bosjespan,ltsmng,
bssspn,eskm1e,bossiespan,ltsmng,
bthvll,eskm1e,bothaville,ltsmng,
bttrhk,eskm1e,botterhoek,ltsmng,
brakdam,eskm1e,brakdam,ltsmng,
brklgt,eskm1e,braklaagte,ltsmng,
brakpan,eskm1e,brakpan,ltsmng,
brkvl,eskm1e,brakvlei,ltsmng,
brndkp,eskm1e,brandkop,ltsmng,
brtsdm,eskm1e,britsdam,ltsmng,
brlfntn,eskm1e,brulfontein,ltsmng,
ctrct,eskm1e,cataract,ltsmng,
cheddar,eskm1e,cheddar,ltsmng,
chspk,eskm1e,chesapeake,ltsmng,
8pk-eu6,eskm1e,constantia,ltsmng,
cnstnz,eskm1e,constanza,ltsmng,
crsstll,eskm1e,crasstella,ltsmng,
cyprshk,eskm1e,cypreshoek,ltsmng,
dahlia,eskm1e,dahlia,ltsmng,
dmfntn,eskm1e,damfontein,ltsmng,
danera,eskm1e,danera,ltsmng,
dnkbr,eskm1e,dankbaar,ltsmng,
danzig,eskm1e,danzig,ltsmng,
dsssprt,eskm1e,dassiespoort,ltsmng,
dekalk,eskm1e,de-kalk,ltsmng,
dklwst,eskm1e,de-kiel-west,ltsmng,
dekroon,eskm1e,de-kroon,ltsmng,
depoort,eskm1e,de-poort,ltsmng,
vvo-qsv,eskm1e,de-put-a,ltsmng,
derus,eskm1e,de-rus,ltsmng,
derust,eskm1e,de-rust,ltsmng,
dvllrsh,eskm1e,de-villiershoop,ltsmng,
dewerf,eskm1e,de-werf,ltsmng,
deeldam,eskm1e,deeldam,ltsmng,
vj7-yeo,eskm1e,deelfontein,ltsmng,
deelpan,eskm1e,deelpan,ltsmng,
dlwrshp,eskm1e,delwershoop,ltsmng,
uzx-hpp,eskm1e,derust,ltsmng,
diamant,eskm1e,diamant,ltsmng,
diepan,eskm1e,die-pan,ltsmng,
dplt,eskm1e,die-plaat,ltsmng,
dpdr,eskm1e,diepdraai,ltsmng,
dpfntn,eskm1e,diepfontein,ltsmng,
drnhk,eskm1e,doornhoek,ltsmng,
fql-ifk,eskm1e,doornhoek-a,ltsmng,
drnkp,eskm1e,doornkop,ltsmng,
drnpn,eskm1e,doornpan,ltsmng,
drnplt,eskm1e,doornplaat,ltsmng,
drngtjs,eskm1e,doringtjies,ltsmng,
drbspn,eskm1e,draaibospan,ltsmng,
drhk,eskm1e,draaihoek,ltsmng,
drfntn,eskm1e,driefontein,ltsmng,
drkpps,eskm1e,driekoppies,ltsmng,
drpmp,eskm1e,driepomp,ltsmng,
drieput,eskm1e,drieput,ltsmng,
dundee,eskm1e,dundee,ltsmng,
drvll,eskm1e,duraville,ltsmng,
bnhsr,eskm1e,ebenhaeser,ltsmng,
bnhzr,eskm1e,ebenhaezer,ltsmng,
eden,eskm1e,eden,ltsmng,
ldrd,eskm1e,eldorado,ltsmng,
elkanen,eskm1e,elkanen,ltsmng,
mmnl,eskm1e,emmanuel,ltsmng,
nslsdl,eskm1e,enselsdal,ltsmng,
erfdeel,eskm1e,erfdeel,ltsmng,
sprns,eskm1e,esperansa,ltsmng,
