_id,filename,sources_id,info_id,last_updated,valid_from,valid_until
CZHMns,eskom-direct-1-even.ics,QyvkKk,KfLT6x,,,
Ammxku,eskom-direct-1-odd.ics,QyvkKk,KfLT6x,,,
7MVzBU,eskom-direct-2-even.ics,QyvkKk,KfLT6x,,,
PnADoF,eskom-direct-2-odd.ics,QyvkKk,KfLT6x,,,
YhUhqS,eskom-direct-3-even.ics,QyvkKk,KfLT6x,,,
EuA2L6,eskom-direct-3-odd.ics,QyvkKk,KfLT6x,,,
RjjNsB,eskom-direct-4-even.ics,QyvkKk,KfLT6x,,,
qR9kPD,eskom-direct-4-odd.ics,QyvkKk,KfLT6x,,,
P3kr2k,eskom-direct-7-even.ics,QyvkKk,KfLT6x,,,
wbXf9d,eskom-direct-7-odd.ics,QyvkKk,KfLT6x,,,
itBxaj,eskom-direct-8-even.ics,QyvkKk,KfLT6x,,,
DqBGnS,eskom-direct-8-odd.ics,QyvkKk,KfLT6x,,,
P96sei,eskom-direct-9-even.ics,QyvkKk,KfLT6x,,,
6xZYcT,eskom-direct-9-odd.ics,QyvkKk,KfLT6x,,,
KzyQa9,eskom-direct-10-even.ics,QyvkKk,KfLT6x,,,
gKST7e,eskom-direct-10-odd.ics,QyvkKk,KfLT6x,,,
de8Ktp,eskom-direct-11-even.ics,QyvkKk,KfLT6x,,,
CiykTV,eskom-direct-11-odd.ics,QyvkKk,KfLT6x,,,
x3HR6g,eskom-direct-12-even.ics,QyvkKk,KfLT6x,,,
yzJGPv,eskom-direct-12-odd.ics,QyvkKk,KfLT6x,,,
57D88G,eskom-direct-13-even.ics,QyvkKk,KfLT6x,,,
NEt5yR,eskom-direct-13-odd.ics,QyvkKk,KfLT6x,,,
EsE4CU,eskom-direct-14-even.ics,QyvkKk,KfLT6x,,,
SW698e,eskom-direct-14-odd.ics,QyvkKk,KfLT6x,,,
ronswo,eskom-direct-15-even.ics,QyvkKk,KfLT6x,,,
mQXZQ5,eskom-direct-15-odd.ics,QyvkKk,KfLT6x,,,
vFTwQo,eskom-direct-16-even.ics,QyvkKk,KfLT6x,,,
VA2DVz,eskom-direct-16-odd.ics,QyvkKk,KfLT6x,,,
pyNVMS,city-of-cape-town-area-1.ics,AUoBem,56moo3,,,
amGyhd,city-of-cape-town-area-10.ics,AUoBem,56moo3,,,
ChrtiR,city-of-cape-town-area-11.ics,AUoBem,56moo3,,,
oMmiPg,city-of-cape-town-area-12.ics,AUoBem,56moo3,,,
YTVBL9,city-of-cape-town-area-13.ics,AUoBem,56moo3,,,
ecMzDb,city-of-cape-town-area-14.ics,AUoBem,56moo3,,,
XcTG3h,city-of-cape-town-area-15.ics,AUoBem,56moo3,,,
hQmSJe,city-of-cape-town-area-16.ics,AUoBem,56moo3,,,
SpizhK,city-of-cape-town-area-2.ics,AUoBem,56moo3,,,
Xc3Z8y,city-of-cape-town-area-3.ics,AUoBem,56moo3,,,
hrHV2v,city-of-cape-town-area-4.ics,AUoBem,56moo3,,,
yQVdX3,city-of-cape-town-area-5.ics,AUoBem,56moo3,,,
xCpKC9,city-of-cape-town-area-6.ics,AUoBem,56moo3,,,
