id,filename,sources_id,info_id,last_updated,valid_from,valid_until
s_eskm1e,eskom-direct-1-even,35,36,2023-01-26 11:00:02,2023-01-26 11:00:02,
s_eskm1o,eskom-direct-1-odd,35,36,2023-01-25 16:53:02,2023-01-25 16:53:02,
s_eskm2e,eskom-direct-2-even,35,36,2023-01-26 11:00:02,2023-01-26 11:00:02,
s_eskm2o,eskom-direct-2-odd,35,36,2023-01-25 16:53:02,2023-01-25 16:53:02,
s_eskm3e,eskom-direct-3-even,35,36,2023-01-26 11:00:02,2023-01-26 11:00:02,
s_eskm3o,eskom-direct-3-odd,35,36,2023-01-25 16:53:02,2023-01-25 16:53:02,
s_eskm4e,eskom-direct-4-even,35,36,2023-01-26 11:00:02,2023-01-26 11:00:02,
s_eskm4o,eskom-direct-4-odd,35,36,2023-01-25 16:53:02,2023-01-25 16:53:02,
s_eskm5e,eskom-direct-5-even,35,36,2023-01-26 11:00:02,2023-01-26 11:00:02,
s_eskm5o,eskom-direct-5-odd,35,36,2023-01-25 16:53:02,2023-01-25 16:53:02,
s_eskm6e,eskom-direct-6-even,35,36,2023-01-26 11:00:02,2023-01-26 11:00:02,
s_eskm6o,eskom-direct-6-odd,35,36,2023-01-25 16:53:02,2023-01-25 16:53:02,
s_eskm7e,eskom-direct-7-even,35,36,2023-01-26 11:00:02,2023-01-26 11:00:02,
s_eskm7o,eskom-direct-7-odd,35,36,2023-01-25 16:53:02,2023-01-25 16:53:02,
s_eskm8e,eskom-direct-8-even,35,36,2023-01-26 11:00:02,2023-01-26 11:00:02,
s_eskm8o,eskom-direct-8-odd,35,36,2023-01-25 16:53:02,2023-01-25 16:53:02,
s_eskm9e,eskom-direct-9-even,35,36,2023-01-26 11:00:02,2023-01-26 11:00:02,
s_eskm9o,eskom-direct-9-odd,35,36,2023-01-25 16:53:02,2023-01-25 16:53:02,
s_eskm10e,eskom-direct-10-even,35,36,2023-01-26 11:00:02,2023-01-26 11:00:02,
s_eskm10o,eskom-direct-10-odd,35,36,2023-01-25 16:53:02,2023-01-25 16:53:02,
s_eskm11e,eskom-direct-11-even,35,36,2023-01-26 11:00:02,2023-01-26 11:00:02,
s_eskm11o,eskom-direct-11-odd,35,36,2023-01-25 16:53:02,2023-01-25 16:53:02,
s_eskm12e,eskom-direct-12-even,35,36,2023-01-26 11:00:02,2023-01-26 11:00:02,
s_eskm12o,eskom-direct-12-odd,35,36,2023-01-25 16:53:02,2023-01-25 16:53:02,
s_eskm13e,eskom-direct-13-even,35,36,2023-01-26 11:00:02,2023-01-26 11:00:02,
s_eskm13o,eskom-direct-13-odd,35,36,2023-01-25 16:53:02,2023-01-25 16:53:02,
s_eskm14e,eskom-direct-14-even,35,36,2023-01-26 11:00:02,2023-01-26 11:00:02,
s_eskm14o,eskom-direct-14-odd,35,36,2023-01-25 16:53:02,2023-01-25 16:53:02,
s_eskm15e,eskom-direct-15-even,35,36,2023-01-26 11:00:02,2023-01-26 11:00:02,
s_eskm15o,eskom-direct-15-odd,35,36,2023-01-25 16:53:02,2023-01-25 16:53:02,
s_eskm16e,eskom-direct-16-even,35,36,2023-01-26 11:00:02,2023-01-26 11:00:02,
