id,url
qqw-inf,https://www.eskom.co.za/distribution/wp-content/uploads/2022/09/WesternCape_LS.xlsx
td7-am4,https://www.eskom.co.za/distribution/customer-service/outages/downloadable-loadshedding-spreadsheets-for-eskom-customers/
3uf-30i,https://www.capetown.gov.za/Loadshedding1/loadshedding/Load_Shedding_All_Areas_Schedule_and_Map.pdf
gi0-4dx,https://www.capetown.gov.za/Family%20and%20home/Residential-utility-services/Residential-electricity-services/Load-shedding-and-outages
mr1-2hg,https://www.citypower.co.za/customers/Pages/Load-Shedding-Information.aspx
gz7-qr8,https://www.citypower.co.za/customers/Pages/Load_Shedding_Downloads.aspx
6qr-ll0,https://www.eskom.co.za/distribution/customer-service/outages/municipal-loadshedding-schedules/eastern-cape/
icz-aug,https://www.eskom.co.za/distribution/customer-service/outages/municipal-loadshedding-schedules/
xxr-xu7,https://www.eskom.co.za/distribution/customer-service/outages/municipal-loadshedding-schedules/free-state/
fzs-mq6,https://www.ekurhuleni.gov.za/wp-content/uploads/2021/11/Ekurhuleni-Load-Shedding-Schedule.pdf
7ox-7jo,https://www.ekurhuleni.gov.za/for-me/load-shedding-schedules/
osz-kus,http://emfuleni.gov.za/images/docs/electricity/2019/notice_load_shedding2015.pdf
ce1-jea,https://www.emfuleni.gov.za/index.php/documents-77289/electricity
pe6-7iv,https://www.tshwane.gov.za/wp-admin/admin-ajax.php?juwpfisadmin=false&action=wpfd&task=file.download&wpfd_category_id=293&wpfd_file_id=38390
njv-n62,https://www.tshwane.gov.za/?page_id=1124
p7c-0c7,https://www.eskom.co.za/distribution/customer-service/outages/municipal-loadshedding-schedules/kwazulu-natal/
ts4-t8k,https://www.eskom.co.za/distribution/customer-service/outages/municipal-loadshedding-schedules/limpopo/
ztx-hjy,https://www.eskom.co.za/distribution/customer-service/outages/municipal-loadshedding-schedules/mpumalanga/
swo-ev2,https://www.eskom.co.za/distribution/customer-service/outages/municipal-loadshedding-schedules/north-west/
4zr-p8y,https://www.eskom.co.za/distribution/customer-service/outages/municipal-loadshedding-schedules/northern-cape/
g3y-kcy,https://www.eskom.co.za/distribution/customer-service/outages/municipal-loadshedding-schedules/western-cape/
7bx-5hg,https://twitter.com/Eskom_SA
glw-zp3,https://twitter.com/CityofCT
qdn-m3m,https://www.buffalocity.gov.za/CM/uploads/documents/20201001011578662845LoadsheddingInformationPackV5.pdf
j98-60d,https://www.buffalocity.gov.za/folder.php?id=CA4FCA0
xh1-p0p,https://www.centlec.co.za/LoadShedding/ViewFile?filePath=wwwroot%2FUploadedFiles%2FLoadShedding%2FCENTLEC%20Load%20Shedding%20Schedule%202022%20Updated_245d.pdf
dfp-diw,https://www.centlec.co.za/LoadShedding/LoadSheddingDocuments
lm6-3ko,https://www.durban.gov.za/storage/Documents/Electricity%20Forms/load-shedding/Load%20Shedding%20Schedule%202022%20on%20A4%20v03.pdf
j7v-txc,https://www.durban.gov.za/pages/residents/load-shedding
uns-tyr,https://www.durban.gov.za/storage/LoadSheddingSchedule2023.pdf
