date_of_month,start_time,finsh_time,stage
3,00:00,03:00,1
5,09:00,12:00,1
7,18:00,21:00,1
10,03:00,06:00,1
12,12:00,15:00,1
14,21:00,00:00,1
17,06:00,09:00,1
19,15:00,18:00,1
22,00:00,03:00,1
24,09:00,12:00,1
26,18:00,21:00,1
29,03:00,06:00,1
31,12:00,15:00,1
2,09:00,12:00,2
3,00:00,03:00,2
4,18:00,21:00,2
5,09:00,12:00,2
7,03:00,06:00,2
7,18:00,21:00,2
9,12:00,15:00,2
10,03:00,06:00,2
11,21:00,00:00,2
12,12:00,15:00,2
14,06:00,09:00,2
14,21:00,00:00,2
16,15:00,18:00,2
17,06:00,09:00,2
19,00:00,03:00,2
19,15:00,18:00,2
21,09:00,12:00,2
22,00:00,03:00,2
23,18:00,21:00,2
24,09:00,12:00,2
26,03:00,06:00,2
26,18:00,21:00,2
28,12:00,15:00,2
29,03:00,06:00,2
30,21:00,00:00,2
31,12:00,15:00,2
1,18:00,21:00,3
2,09:00,12:00,3
3,00:00,03:00,3
4,03:00,06:00,3
4,18:00,21:00,3
5,09:00,12:00,3
6,12:00,15:00,3
7,03:00,06:00,3
7,18:00,21:00,3
8,21:00,00:00,3
9,12:00,15:00,3
10,03:00,06:00,3
11,06:00,09:00,3
11,21:00,00:00,3
12,12:00,15:00,3
13,15:00,18:00,3
14,06:00,09:00,3
14,21:00,00:00,3
16,00:00,03:00,3
16,15:00,18:00,3
17,06:00,09:00,3
18,09:00,12:00,3
19,00:00,03:00,3
19,15:00,18:00,3
20,18:00,21:00,3
21,09:00,12:00,3
22,00:00,03:00,3
23,03:00,06:00,3
23,18:00,21:00,3
24,09:00,12:00,3
25,12:00,15:00,3
26,03:00,06:00,3
26,18:00,21:00,3
27,21:00,00:00,3
28,12:00,15:00,3
29,03:00,06:00,3
30,06:00,09:00,3
30,21:00,00:00,3
31,12:00,15:00,3
1,03:00,06:00,4
1,18:00,21:00,4
2,09:00,12:00,4
3,00:00,03:00,4
3,12:00,15:00,4
4,03:00,06:00,4
4,18:00,21:00,4
5,09:00,12:00,4
5,21:00,00:00,4
6,12:00,15:00,4
7,03:00,06:00,4
7,18:00,21:00,4
8,06:00,09:00,4
8,21:00,00:00,4
9,12:00,15:00,4
10,03:00,06:00,4
10,15:00,18:00,4
11,06:00,09:00,4
11,21:00,00:00,4
12,12:00,15:00,4
13,00:00,03:00,4
13,15:00,18:00,4
14,06:00,09:00,4
14,21:00,00:00,4
15,09:00,12:00,4
16,00:00,03:00,4
16,15:00,18:00,4
17,06:00,09:00,4
17,18:00,21:00,4
18,09:00,12:00,4
19,00:00,03:00,4
19,15:00,18:00,4
20,03:00,06:00,4
20,18:00,21:00,4
21,09:00,12:00,4
22,00:00,03:00,4
22,12:00,15:00,4
23,03:00,06:00,4
23,18:00,21:00,4
24,09:00,12:00,4
24,21:00,00:00,4
25,12:00,15:00,4
26,03:00,06:00,4
26,18:00,21:00,4
27,06:00,09:00,4
27,21:00,00:00,4
28,12:00,15:00,4
29,03:00,06:00,4
29,15:00,18:00,4
30,06:00,09:00,4
30,21:00,00:00,4
31,12:00,15:00,4
3,08:00,11:00,5
5,17:00,20:00,5
8,02:00,05:00,5
10,11:00,14:00,5
12,20:00,23:00,5
15,05:00,08:00,5
17,14:00,17:00,5
19,23:00,02:00,5
22,08:00,11:00,5
24,17:00,20:00,5
27,02:00,05:00,5
29,11:00,14:00,5
31,20:00,23:00,5
2,17:00,20:00,6
3,08:00,11:00,6
5,02:00,05:00,6
5,17:00,20:00,6
7,11:00,14:00,6
8,02:00,05:00,6
9,20:00,23:00,6
10,11:00,14:00,6
12,05:00,08:00,6
12,20:00,23:00,6
14,14:00,17:00,6
15,05:00,08:00,6
16,23:00,02:00,6
17,14:00,17:00,6
19,08:00,11:00,6
19,23:00,02:00,6
21,17:00,20:00,6
22,08:00,11:00,6
24,02:00,05:00,6
24,17:00,20:00,6
26,11:00,14:00,6
27,02:00,05:00,6
28,20:00,23:00,6
29,11:00,14:00,6
31,05:00,08:00,6
31,20:00,23:00,6
2,02:00,05:00,7
2,17:00,20:00,7
3,08:00,11:00,7
4,11:00,14:00,7
5,02:00,05:00,7
5,17:00,20:00,7
6,20:00,23:00,7
7,11:00,14:00,7
8,02:00,05:00,7
9,05:00,08:00,7
9,20:00,23:00,7
10,11:00,14:00,7
11,14:00,17:00,7
12,05:00,08:00,7
12,20:00,23:00,7
13,23:00,02:00,7
14,14:00,17:00,7
15,05:00,08:00,7
16,08:00,11:00,7
16,23:00,02:00,7
17,14:00,17:00,7
18,17:00,20:00,7
19,08:00,11:00,7
19,23:00,02:00,7
21,02:00,05:00,7
21,17:00,20:00,7
22,08:00,11:00,7
23,11:00,14:00,7
24,02:00,05:00,7
24,17:00,20:00,7
25,20:00,23:00,7
26,11:00,14:00,7
27,02:00,05:00,7
28,05:00,08:00,7
28,20:00,23:00,7
29,11:00,14:00,7
30,14:00,17:00,7
31,05:00,08:00,7
31,20:00,23:00,7
1,11:00,14:00,8
2,02:00,05:00,8
2,17:00,20:00,8
3,08:00,11:00,8
3,20:00,23:00,8
4,11:00,14:00,8
5,02:00,05:00,8
5,17:00,20:00,8
6,05:00,08:00,8
6,20:00,23:00,8
7,11:00,14:00,8
8,02:00,05:00,8
8,14:00,17:00,8
9,05:00,08:00,8
9,20:00,23:00,8
10,11:00,14:00,8
10,23:00,02:00,8
11,14:00,17:00,8
12,05:00,08:00,8
12,20:00,23:00,8
13,08:00,11:00,8
13,23:00,02:00,8
14,14:00,17:00,8
15,05:00,08:00,8
15,17:00,20:00,8
16,08:00,11:00,8
16,23:00,02:00,8
17,14:00,17:00,8
18,02:00,05:00,8
18,17:00,20:00,8
19,08:00,11:00,8
19,23:00,02:00,8
20,11:00,14:00,8
21,02:00,05:00,8
21,17:00,20:00,8
22,08:00,11:00,8
22,20:00,23:00,8
23,11:00,14:00,8
24,02:00,05:00,8
24,17:00,20:00,8
25,05:00,08:00,8
25,20:00,23:00,8
26,11:00,14:00,8
27,02:00,05:00,8
27,14:00,17:00,8
28,05:00,08:00,8
28,20:00,23:00,8
29,11:00,14:00,8
29,23:00,02:00,8
30,14:00,17:00,8
31,05:00,08:00,8
31,20:00,23:00,8
