date_of_month,start_time,finsh_time,stage
1,00:00,02:30,7
1,00:00,02:30,8
1,04:00,06:30,2
1,04:00,06:30,3
1,04:00,06:30,4
1,04:00,06:30,5
1,04:00,06:30,6
1,04:00,06:30,7
1,04:00,06:30,8
1,08:00,10:30,5
1,08:00,10:30,6
1,08:00,10:30,7
1,08:00,10:30,8
1,12:00,14:30,1
1,12:00,14:30,2
1,12:00,14:30,3
1,12:00,14:30,4
1,12:00,14:30,5
1,12:00,14:30,6
1,12:00,14:30,7
1,12:00,14:30,8
1,16:00,18:30,3
1,16:00,18:30,4
1,16:00,18:30,5
1,16:00,18:30,6
1,16:00,18:30,7
1,16:00,18:30,8
1,20:00,22:30,4
1,20:00,22:30,5
1,20:00,22:30,6
1,20:00,22:30,7
1,20:00,22:30,8
2,02:00,04:30,1
2,02:00,04:30,2
2,02:00,04:30,3
2,02:00,04:30,4
2,02:00,04:30,5
2,02:00,04:30,6
2,02:00,04:30,7
2,02:00,04:30,8
2,06:00,08:30,8
2,10:00,12:30,6
2,10:00,12:30,7
2,10:00,12:30,8
2,14:00,16:30,5
2,14:00,16:30,6
2,14:00,16:30,7
2,14:00,16:30,8
2,18:00,20:30,2
2,18:00,20:30,3
2,18:00,20:30,4
2,18:00,20:30,5
2,18:00,20:30,6
2,18:00,20:30,7
2,18:00,20:30,8
2,22:00,00:30,7
2,22:00,00:30,8
3,02:00,04:30,2
3,02:00,04:30,3
3,02:00,04:30,4
3,02:00,04:30,5
3,02:00,04:30,6
3,02:00,04:30,7
3,02:00,04:30,8
3,06:00,08:30,7
3,06:00,08:30,8
3,10:00,12:30,5
3,10:00,12:30,6
3,10:00,12:30,7
3,10:00,12:30,8
3,14:00,16:30,1
3,14:00,16:30,2
3,14:00,16:30,3
3,14:00,16:30,4
3,14:00,16:30,5
3,14:00,16:30,6
3,14:00,16:30,7
3,14:00,16:30,8
3,18:00,20:30,3
3,18:00,20:30,4
3,18:00,20:30,5
3,18:00,20:30,6
3,18:00,20:30,7
3,18:00,20:30,8
3,22:00,00:30,4
3,22:00,00:30,5
3,22:00,00:30,6
3,22:00,00:30,7
3,22:00,00:30,8
4,00:00,02:30,2
4,00:00,02:30,3
4,00:00,02:30,4
4,00:00,02:30,5
4,00:00,02:30,6
4,00:00,02:30,7
4,00:00,02:30,8
4,04:00,06:30,7
4,04:00,06:30,8
4,08:00,10:30,1
4,08:00,10:30,2
4,08:00,10:30,3
4,08:00,10:30,4
4,08:00,10:30,5
4,08:00,10:30,6
4,08:00,10:30,7
4,08:00,10:30,8
4,12:00,14:30,8
4,16:00,18:30,6
4,16:00,18:30,7
4,16:00,18:30,8
4,20:00,22:30,5
4,20:00,22:30,6
4,20:00,22:30,7
4,20:00,22:30,8
5,02:00,04:30,8
5,06:00,08:30,1
5,06:00,08:30,2
5,06:00,08:30,3
5,06:00,08:30,4
5,06:00,08:30,5
5,06:00,08:30,6
5,06:00,08:30,7
5,06:00,08:30,8
5,10:00,12:30,7
5,10:00,12:30,8
5,14:00,16:30,4
5,14:00,16:30,5
5,14:00,16:30,6
5,14:00,16:30,7
5,14:00,16:30,8
5,18:00,20:30,6
5,18:00,20:30,7
5,18:00,20:30,8
5,22:00,00:30,5
5,22:00,00:30,6
5,22:00,00:30,7
5,22:00,00:30,8
6,00:00,02:30,6
6,00:00,02:30,7
6,00:00,02:30,8
6,04:00,06:30,1
6,04:00,06:30,2
6,04:00,06:30,3
6,04:00,06:30,4
6,04:00,06:30,5
6,04:00,06:30,6
6,04:00,06:30,7
6,04:00,06:30,8
6,08:00,10:30,8
6,12:00,14:30,4
6,12:00,14:30,5
6,12:00,14:30,6
6,12:00,14:30,7
6,12:00,14:30,8
6,16:00,18:30,2
6,16:00,18:30,3
6,16:00,18:30,4
6,16:00,18:30,5
6,16:00,18:30,6
6,16:00,18:30,7
6,16:00,18:30,8
6,20:00,22:30,3
6,20:00,22:30,4
6,20:00,22:30,5
6,20:00,22:30,6
6,20:00,22:30,7
6,20:00,22:30,8
7,02:00,04:30,7
7,02:00,04:30,8
7,06:00,08:30,2
7,06:00,08:30,3
7,06:00,08:30,4
7,06:00,08:30,5
7,06:00,08:30,6
7,06:00,08:30,7
7,06:00,08:30,8
7,10:00,12:30,8
7,14:00,16:30,3
7,14:00,16:30,4
7,14:00,16:30,5
7,14:00,16:30,6
7,14:00,16:30,7
7,14:00,16:30,8
7,18:00,20:30,5
7,18:00,20:30,6
7,18:00,20:30,7
7,18:00,20:30,8
7,22:00,00:30,6
7,22:00,00:30,7
7,22:00,00:30,8
8,00:00,02:30,1
8,00:00,02:30,2
8,00:00,02:30,3
8,00:00,02:30,4
8,00:00,02:30,5
8,00:00,02:30,6
8,00:00,02:30,7
8,00:00,02:30,8
8,04:00,06:30,8
8,08:00,10:30,4
8,08:00,10:30,5
8,08:00,10:30,6
8,08:00,10:30,7
8,08:00,10:30,8
8,12:00,14:30,7
8,12:00,14:30,8
8,16:00,18:30,5
8,16:00,18:30,6
8,16:00,18:30,7
8,16:00,18:30,8
8,20:00,22:30,6
8,20:00,22:30,7
8,20:00,22:30,8
9,02:00,04:30,3
9,02:00,04:30,4
9,02:00,04:30,5
9,02:00,04:30,6
9,02:00,04:30,7
9,02:00,04:30,8
9,06:00,08:30,6
9,06:00,08:30,7
9,06:00,08:30,8
9,10:00,12:30,4
9,10:00,12:30,5
9,10:00,12:30,6
9,10:00,12:30,7
9,10:00,12:30,8
9,14:00,16:30,2
9,14:00,16:30,3
9,14:00,16:30,4
9,14:00,16:30,5
9,14:00,16:30,6
9,14:00,16:30,7
9,14:00,16:30,8
9,18:00,20:30,8
9,22:00,00:30,1
9,22:00,00:30,2
9,22:00,00:30,3
9,22:00,00:30,4
9,22:00,00:30,5
9,22:00,00:30,6
9,22:00,00:30,7
9,22:00,00:30,8
10,00:00,02:30,3
10,00:00,02:30,4
10,00:00,02:30,5
10,00:00,02:30,6
10,00:00,02:30,7
10,00:00,02:30,8
10,04:00,06:30,6
10,04:00,06:30,7
10,04:00,06:30,8
10,08:00,10:30,2
10,08:00,10:30,3
10,08:00,10:30,4
10,08:00,10:30,5
10,08:00,10:30,6
10,08:00,10:30,7
10,08:00,10:30,8
10,12:00,14:30,5
10,12:00,14:30,6
10,12:00,14:30,7
10,12:00,14:30,8
10,16:00,18:30,7
10,16:00,18:30,8
10,20:00,22:30,8
11,02:00,04:30,5
11,02:00,04:30,6
11,02:00,04:30,7
11,02:00,04:30,8
11,06:00,08:30,4
11,06:00,08:30,5
11,06:00,08:30,6
11,06:00,08:30,7
11,06:00,08:30,8
11,10:00,12:30,2
11,10:00,12:30,3
11,10:00,12:30,4
11,10:00,12:30,5
11,10:00,12:30,6
11,10:00,12:30,7
11,10:00,12:30,8
11,14:00,16:30,6
11,14:00,16:30,7
11,14:00,16:30,8
11,18:00,20:30,7
11,18:00,20:30,8
11,22:00,00:30,3
11,22:00,00:30,4
11,22:00,00:30,5
11,22:00,00:30,6
11,22:00,00:30,7
11,22:00,00:30,8
12,02:00,04:30,4
12,02:00,04:30,5
12,02:00,04:30,6
12,02:00,04:30,7
12,02:00,04:30,8
12,06:00,08:30,5
12,06:00,08:30,6
12,06:00,08:30,7
12,06:00,08:30,8
12,10:00,12:30,3
12,10:00,12:30,4
12,10:00,12:30,5
12,10:00,12:30,6
12,10:00,12:30,7
12,10:00,12:30,8
12,14:00,16:30,8
12,18:00,20:30,1
12,18:00,20:30,2
12,18:00,20:30,3
12,18:00,20:30,4
12,18:00,20:30,5
12,18:00,20:30,6
12,18:00,20:30,7
12,18:00,20:30,8
12,22:00,00:30,2
12,22:00,00:30,3
12,22:00,00:30,4
12,22:00,00:30,5
12,22:00,00:30,6
12,22:00,00:30,7
12,22:00,00:30,8
13,00:00,02:30,8
13,04:00,06:30,3
13,04:00,06:30,4
13,04:00,06:30,5
13,04:00,06:30,6
13,04:00,06:30,7
13,04:00,06:30,8
13,08:00,10:30,6
13,08:00,10:30,7
13,08:00,10:30,8
13,12:00,14:30,2
13,12:00,14:30,3
13,12:00,14:30,4
13,12:00,14:30,5
13,12:00,14:30,6
13,12:00,14:30,7
13,12:00,14:30,8
13,16:00,18:30,4
13,16:00,18:30,5
13,16:00,18:30,6
13,16:00,18:30,7
13,16:00,18:30,8
13,20:00,22:30,1
13,20:00,22:30,2
13,20:00,22:30,3
13,20:00,22:30,4
13,20:00,22:30,5
13,20:00,22:30,6
13,20:00,22:30,7
13,20:00,22:30,8
14,00:00,02:30,4
14,00:00,02:30,5
14,00:00,02:30,6
14,00:00,02:30,7
14,00:00,02:30,8
14,04:00,06:30,5
14,04:00,06:30,6
14,04:00,06:30,7
14,04:00,06:30,8
14,08:00,10:30,3
14,08:00,10:30,4
14,08:00,10:30,5
14,08:00,10:30,6
14,08:00,10:30,7
14,08:00,10:30,8
14,12:00,14:30,6
14,12:00,14:30,7
14,12:00,14:30,8
14,16:00,18:30,8
14,20:00,22:30,7
14,20:00,22:30,8
15,02:00,04:30,6
15,02:00,04:30,7
15,02:00,04:30,8
15,06:00,08:30,3
15,06:00,08:30,4
15,06:00,08:30,5
15,06:00,08:30,6
15,06:00,08:30,7
15,06:00,08:30,8
15,10:00,12:30,1
15,10:00,12:30,2
15,10:00,12:30,3
15,10:00,12:30,4
15,10:00,12:30,5
15,10:00,12:30,6
15,10:00,12:30,7
15,10:00,12:30,8
15,14:00,16:30,7
15,14:00,16:30,8
15,18:00,20:30,4
15,18:00,20:30,5
15,18:00,20:30,6
15,18:00,20:30,7
15,18:00,20:30,8
15,22:00,00:30,8
16,00:00,02:30,5
16,00:00,02:30,6
16,00:00,02:30,7
16,00:00,02:30,8
16,04:00,06:30,4
16,04:00,06:30,5
16,04:00,06:30,6
16,04:00,06:30,7
16,04:00,06:30,8
16,08:00,10:30,7
16,08:00,10:30,8
16,12:00,14:30,3
16,12:00,14:30,4
16,12:00,14:30,5
16,12:00,14:30,6
