date_of_month,start_time,finsh_time,stage
1,01:00,03:30,0
1,03:00,05:30,0
1,05:00,07:30,0
1,07:00,09:30,1
1,07:00,09:30,2
1,09:00,11:30,1
1,09:00,11:30,2
1,09:00,11:30,3
1,09:00,11:30,4
1,09:00,11:30,5
1,09:00,11:30,6
1,11:00,13:30,0
1,13:00,15:30,0
1,15:00,17:30,1
1,17:00,19:30,1
1,17:00,19:30,2
1,17:00,19:30,3
1,17:00,19:30,4
1,17:00,19:30,5
1,19:00,21:30,0
1,21:00,23:30,0
1,23:00,01:30,1
1,23:00,01:30,2
1,23:00,01:30,3
1,23:00,01:30,4
2,01:00,03:30,1
2,01:00,03:30,2
2,01:00,03:30,3
2,01:00,03:30,4
2,01:00,03:30,5
2,01:00,03:30,6
2,01:00,03:30,7
2,01:00,03:30,8
2,03:00,05:30,0
2,05:00,07:30,0
2,07:00,09:30,1
2,07:00,09:30,2
2,07:00,09:30,3
2,09:00,11:30,1
2,09:00,11:30,2
2,09:00,11:30,3
2,09:00,11:30,4
2,09:00,11:30,5
2,09:00,11:30,6
2,09:00,11:30,7
2,11:00,13:30,0
2,13:00,15:30,0
2,15:00,17:30,1
2,15:00,17:30,2
2,17:00,19:30,1
2,17:00,19:30,2
2,17:00,19:30,3
2,17:00,19:30,4
2,17:00,19:30,5
2,17:00,19:30,6
2,19:00,21:30,0
2,21:00,23:30,0
2,23:00,01:30,1
3,01:00,03:30,1
3,01:00,03:30,2
3,01:00,03:30,3
3,01:00,03:30,4
3,01:00,03:30,5
3,03:00,05:30,0
3,05:00,07:30,0
3,07:00,09:30,1
3,07:00,09:30,2
3,07:00,09:30,3
3,07:00,09:30,4
3,09:00,11:30,1
3,09:00,11:30,2
3,09:00,11:30,3
3,09:00,11:30,4
3,09:00,11:30,5
3,09:00,11:30,6
3,09:00,11:30,7
3,09:00,11:30,8
3,11:00,13:30,0
3,13:00,15:30,0
3,15:00,17:30,1
3,15:00,17:30,2
3,15:00,17:30,3
3,17:00,19:30,1
3,17:00,19:30,2
3,17:00,19:30,3
3,17:00,19:30,4
3,17:00,19:30,5
3,17:00,19:30,6
3,17:00,19:30,7
3,19:00,21:30,0
3,21:00,23:30,0
3,23:00,01:30,1
3,23:00,01:30,2
4,01:00,03:30,1
4,01:00,03:30,2
4,01:00,03:30,3
4,01:00,03:30,4
4,01:00,03:30,5
4,01:00,03:30,6
4,03:00,05:30,0
4,05:00,07:30,0
4,07:00,09:30,1
4,09:00,11:30,1
4,09:00,11:30,2
4,09:00,11:30,3
4,09:00,11:30,4
4,09:00,11:30,5
4,11:00,13:30,0
4,13:00,15:30,0
4,15:00,17:30,1
4,15:00,17:30,2
4,15:00,17:30,3
4,15:00,17:30,4
4,17:00,19:30,1
4,17:00,19:30,2
4,17:00,19:30,3
4,17:00,19:30,4
4,17:00,19:30,5
4,17:00,19:30,6
4,17:00,19:30,7
4,17:00,19:30,8
4,19:00,21:30,0
4,21:00,23:30,0
4,23:00,01:30,1
4,23:00,01:30,2
4,23:00,01:30,3
5,01:00,03:30,1
5,01:00,03:30,2
5,01:00,03:30,3
5,01:00,03:30,4
5,01:00,03:30,5
5,01:00,03:30,6
5,01:00,03:30,7
5,03:00,05:30,0
5,05:00,07:30,1
5,05:00,07:30,2
5,07:00,09:30,1
5,07:00,09:30,2
5,07:00,09:30,3
5,07:00,09:30,4
5,07:00,09:30,5
5,07:00,09:30,6
5,09:00,11:30,0
5,11:00,13:30,0
5,13:00,15:30,1
5,15:00,17:30,1
5,15:00,17:30,2
5,15:00,17:30,3
5,15:00,17:30,4
5,15:00,17:30,5
5,17:00,19:30,0
5,19:00,21:30,0
5,21:00,23:30,1
5,21:00,23:30,2
5,21:00,23:30,3
5,21:00,23:30,4
5,23:00,01:30,1
5,23:00,01:30,2
5,23:00,01:30,3
5,23:00,01:30,4
5,23:00,01:30,5
5,23:00,01:30,6
5,23:00,01:30,7
5,23:00,01:30,8
6,01:00,03:30,0
6,03:00,05:30,0
6,05:00,07:30,1
6,05:00,07:30,2
6,05:00,07:30,3
6,07:00,09:30,1
6,07:00,09:30,2
6,07:00,09:30,3
6,07:00,09:30,4
6,07:00,09:30,5
6,07:00,09:30,6
6,07:00,09:30,7
6,09:00,11:30,0
6,11:00,13:30,0
6,13:00,15:30,1
6,13:00,15:30,2
6,15:00,17:30,1
6,15:00,17:30,2
6,15:00,17:30,3
6,15:00,17:30,4
