date_of_month,start_time,finsh_time,stage
1,00:00,02:30,0
1,02:00,04:30,0
1,04:00,06:30,0
1,06:00,08:30,0
1,08:00,10:30,0
1,10:00,12:30,0
1,12:00,14:30,0
1,14:00,16:30,0
1,16:00,18:30,0
1,18:00,20:30,0
1,20:00,22:30,0
1,22:00,00:30,0
2,00:00,02:30,0
2,02:00,04:30,0
2,04:00,06:30,0
2,06:00,08:30,0
2,08:00,10:30,0
2,10:00,12:30,0
2,12:00,14:30,0
2,14:00,16:30,0
2,16:00,18:30,0
2,18:00,20:30,0
2,20:00,22:30,0
2,22:00,00:30,0
3,00:00,02:30,0
3,02:00,04:30,0
3,04:00,06:30,0
3,06:00,08:30,0
3,08:00,10:30,0
3,10:00,12:30,0
3,12:00,14:30,0
3,14:00,16:30,0
3,16:00,18:30,0
3,18:00,20:30,0
3,20:00,22:30,0
3,22:00,00:30,0
4,00:00,02:30,0
4,02:00,04:30,0
4,04:00,06:30,0
4,06:00,08:30,0
4,08:00,10:30,0
4,10:00,12:30,0
4,12:00,14:30,0
4,14:00,16:30,0
4,16:00,18:30,0
4,18:00,20:30,0
4,20:00,22:30,0
4,22:00,00:30,0
5,00:00,02:30,0
5,02:00,04:30,0
5,04:00,06:30,0
5,06:00,08:30,0
5,08:00,10:30,0
5,10:00,12:30,0
5,12:00,14:30,0
5,14:00,16:30,0
5,16:00,18:30,0
5,18:00,20:30,0
5,20:00,22:30,0
5,22:00,00:30,0
6,00:00,02:30,0
6,02:00,04:30,0
6,04:00,06:30,0
6,06:00,08:30,0
6,08:00,10:30,0
6,10:00,12:30,0
6,12:00,14:30,0
6,14:00,16:30,0
6,16:00,18:30,0
6,18:00,20:30,0
6,20:00,22:30,0
6,22:00,00:30,0
7,00:00,02:30,0
7,02:00,04:30,0
7,04:00,06:30,0
7,06:00,08:30,0
7,08:00,10:30,0
7,10:00,12:30,0
7,12:00,14:30,0
7,14:00,16:30,0
7,16:00,18:30,0
7,18:00,20:30,0
7,20:00,22:30,0
7,22:00,00:30,0
8,00:00,02:30,0
8,02:00,04:30,0
8,04:00,06:30,0
8,06:00,08:30,0
8,08:00,10:30,0
8,10:00,12:30,0
8,12:00,14:30,0
8,14:00,16:30,0
8,16:00,18:30,0
8,18:00,20:30,0
8,20:00,22:30,0
8,22:00,00:30,0
9,00:00,02:30,0
9,02:00,04:30,0
9,04:00,06:30,0
9,06:00,08:30,0
9,08:00,10:30,0
9,10:00,12:30,0
9,12:00,14:30,0
9,14:00,16:30,0
9,16:00,18:30,0
9,18:00,20:30,0
9,20:00,22:30,0
9,22:00,00:30,0
10,00:00,02:30,0
10,02:00,04:30,0
10,04:00,06:30,0
10,06:00,08:30,0
10,08:00,10:30,0
10,10:00,12:30,0
10,12:00,14:30,0
10,14:00,16:30,0
10,16:00,18:30,0
10,18:00,20:30,0
10,20:00,22:30,0
