date_of_month,start_time,finsh_time,stage
1,01:00,03:30,7
1,01:00,03:30,8
1,03:00,05:30,0
1,05:00,07:30,1
1,05:00,07:30,2
1,05:00,07:30,3
1,05:00,07:30,4
1,05:00,07:30,5
1,05:00,07:30,6
1,05:00,07:30,7
1,05:00,07:30,8
1,07:00,09:30,5
1,07:00,09:30,6
1,07:00,09:30,7
1,07:00,09:30,8
1,09:00,11:30,0
1,11:00,13:30,0
1,13:00,15:30,4
1,13:00,15:30,5
1,13:00,15:30,6
1,13:00,15:30,7
1,13:00,15:30,8
1,15:00,17:30,8
1,17:00,19:30,0
1,19:00,21:30,0
1,21:00,23:30,3
1,21:00,23:30,4
1,21:00,23:30,5
1,21:00,23:30,6
1,21:00,23:30,7
1,21:00,23:30,8
1,23:00,01:30,7
1,23:00,01:30,8
2,01:00,03:30,0
2,03:00,05:30,0
2,05:00,07:30,2
2,05:00,07:30,3
2,05:00,07:30,4
2,05:00,07:30,5
2,05:00,07:30,6
2,05:00,07:30,7
2,05:00,07:30,8
2,07:00,09:30,6
2,07:00,09:30,7
2,07:00,09:30,8
2,09:00,11:30,0
2,11:00,13:30,0
2,13:00,15:30,1
2,13:00,15:30,2
2,13:00,15:30,3
2,13:00,15:30,4
2,13:00,15:30,5
2,13:00,15:30,6
2,13:00,15:30,7
2,13:00,15:30,8
2,15:00,17:30,5
2,15:00,17:30,6
2,15:00,17:30,7
2,15:00,17:30,8
2,17:00,19:30,0
2,19:00,21:30,0
2,21:00,23:30,4
2,21:00,23:30,5
2,21:00,23:30,6
2,21:00,23:30,7
2,21:00,23:30,8
2,23:00,01:30,8
3,01:00,03:30,0
3,03:00,05:30,0
3,05:00,07:30,3
3,05:00,07:30,4
3,05:00,07:30,5
3,05:00,07:30,6
3,05:00,07:30,7
3,05:00,07:30,8
3,07:00,09:30,7
3,07:00,09:30,8
3,09:00,11:30,0
3,11:00,13:30,0
3,13:00,15:30,2
3,13:00,15:30,3
3,13:00,15:30,4
3,13:00,15:30,5
3,13:00,15:30,6
3,13:00,15:30,7
3,13:00,15:30,8
3,15:00,17:30,6
3,15:00,17:30,7
3,15:00,17:30,8
3,17:00,19:30,0
3,19:00,21:30,0
3,21:00,23:30,1
3,21:00,23:30,2
3,21:00,23:30,3
3,21:00,23:30,4
3,21:00,23:30,5
3,21:00,23:30,6
3,21:00,23:30,7
3,21:00,23:30,8
3,23:00,01:30,5
3,23:00,01:30,6
3,23:00,01:30,7
3,23:00,01:30,8
4,01:00,03:30,0
4,03:00,05:30,0
4,05:00,07:30,4
4,05:00,07:30,5
4,05:00,07:30,6
4,05:00,07:30,7
4,05:00,07:30,8
4,07:00,09:30,8
4,09:00,11:30,0
4,11:00,13:30,0
4,13:00,15:30,3
4,13:00,15:30,4
4,13:00,15:30,5
4,13:00,15:30,6
4,13:00,15:30,7
4,13:00,15:30,8
4,15:00,17:30,7
4,15:00,17:30,8
4,17:00,19:30,0
4,19:00,21:30,0
4,21:00,23:30,2
4,21:00,23:30,3
4,21:00,23:30,4
4,21:00,23:30,5
4,21:00,23:30,6
4,21:00,23:30,7
4,21:00,23:30,8
4,23:00,01:30,6
4,23:00,01:30,7
4,23:00,01:30,8
5,01:00,03:30,0
5,03:00,05:30,1
