date_of_month,start_time,finsh_time,stage
1,22:00,00:30,2
1,14:00,16:30,3
1,22:00,00:30,3
1,06:00,08:30,4
1,14:00,16:30,4
1,22:00,00:30,4
1,06:00,08:30,5
1,14:00,16:30,5
1,22:00,00:30,5
1,06:00,08:30,6
1,14:00,16:30,6
1,22:00,00:30,6
1,06:00,08:30,7
1,14:00,18:30,7
1,22:00,00:30,7
1,06:00,10:30,8
1,14:00,18:30,8
1,22:00,00:30,8
2,06:00,08:30,1
2,06:00,08:30,2
2,06:00,08:30,3
2,22:00,00:30,3
2,06:00,08:30,4
2,14:00,16:30,4
2,22:00,00:30,4
2,06:00,10:30,5
2,14:00,16:30,5
2,22:00,00:30,5
2,00:00,02:30,6
2,06:00,10:30,6
2,14:00,16:30,6
2,22:00,00:30,6
2,00:00,02:30,7
2,06:00,10:30,7
2,14:00,16:30,7
2,22:00,00:30,7
2,00:00,02:30,8
2,06:00,10:30,8
2,14:00,18:30,8
2,22:00,00:30,8
3,14:00,16:30,1
3,06:00,08:30,2
3,14:00,16:30,2
3,06:00,08:30,3
3,14:00,16:30,3
3,06:00,08:30,4
3,14:00,16:30,4
3,22:00,00:30,4
3,06:00,08:30,5
3,14:00,18:30,5
3,22:00,00:30,5
3,06:00,10:30,6
3,14:00,18:30,6
3,22:00,00:30,6
3,00:00,02:30,7
3,06:00,10:30,7
3,14:00,18:30,7
3,22:00,00:30,7
3,00:00,02:30,8
3,06:00,10:30,8
3,14:00,18:30,8
3,22:00,00:30,8
4,22:00,00:30,1
4,14:00,16:30,2
4,22:00,00:30,2
4,06:00,08:30,3
4,14:00,16:30,3
4,22:00,00:30,3
4,06:00,08:30,4
4,14:00,16:30,4
4,22:00,00:30,4
4,06:00,08:30,5
4,14:00,16:30,5
4,22:00,00:30,5
4,06:00,08:30,6
4,14:00,18:30,6
4,22:00,00:30,6
4,06:00,10:30,7
4,14:00,18:30,7
4,22:00,00:30,7
4,00:00,02:30,8
4,06:00,10:30,8
4,14:00,18:30,8
4,22:00,00:30,8
5,20:00,22:30,2
5,12:00,14:30,3
5,20:00,22:30,3
5,04:00,06:30,4
5,12:00,14:30,4
5,20:00,22:30,4
5,00:00,02:30,5
5,04:00,06:30,5
5,12:00,14:30,5
5,20:00,22:30,5
5,00:00,02:30,6
5,04:00,06:30,6
5,12:00,14:30,6
5,20:00,22:30,6
5,22:00,00:30,6
5,00:00,02:30,7
5,04:00,06:30,7
5,12:00,16:30,7
5,20:00,22:30,7
5,22:00,00:30,7
5,00:00,02:30,8
5,04:00,08:30,8
5,12:00,16:30,8
5,20:00,22:30,8
5,22:00,00:30,8
6,04:00,06:30,1
6,04:00,06:30,2
6,04:00,06:30,3
6,20:00,22:30,3
6,04:00,06:30,4
6,12:00,14:30,4
6,20:00,22:30,4
6,04:00,08:30,5
6,12:00,14:30,5
6,20:00,22:30,5
6,04:00,08:30,6
6,12:00,14:30,6
6,20:00,22:30,6
6,04:00,08:30,7
6,12:00,14:30,7
6,20:00,22:30,7
6,22:00,00:30,7
6,04:00,08:30,8
6,12:00,16:30,8
6,20:00,22:30,8
6,22:00,00:30,8
7,12:00,14:30,1
7,04:00,06:30,2
7,12:00,14:30,2
7,04:00,06:30,3
7,12:00,14:30,3
7,04:00,06:30,4
7,12:00,14:30,4
7,20:00,22:30,4
7,04:00,06:30,5
7,12:00,16:30,5
7,20:00,22:30,5
7,04:00,08:30,6
7,12:00,16:30,6
7,20:00,22:30,6
7,04:00,08:30,7
7,12:00,16:30,7
7,20:00,22:30,7
7,04:00,08:30,8
7,12:00,16:30,8
7,20:00,22:30,8
7,22:00,00:30,8
8,20:00,22:30,1
8,12:00,14:30,2
8,20:00,22:30,2
8,04:00,06:30,3
8,12:00,14:30,3
8,20:00,22:30,3
8,04:00,06:30,4
8,12:00,14:30,4
8,20:00,22:30,4
8,04:00,06:30,5
8,12:00,14:30,5
8,20:00,22:30,5
8,22:00,00:30,5
8,04:00,06:30,6
8,12:00,16:30,6
8,20:00,22:30,6
8,22:00,00:30,6
8,04:00,08:30,7
8,12:00,16:30,7
8,20:00,22:30,7
8,22:00,00:30,7
8,04:00,08:30,8
8,12:00,16:30,8
8,20:00,22:30,8
8,22:00,00:30,8
9,18:00,20:30,2
9,10:00,12:30,3
9,18:00,20:30,3
9,02:00,04:30,4
9,10:00,12:30,4
9,18:00,20:30,4
9,02:00,04:30,5
9,10:00,12:30,5
9,18:00,20:30,5
9,02:00,04:30,6
9,10:00,12:30,6
9,18:00,22:30,6
9,02:00,04:30,7
9,10:00,14:30,7
9,18:00,22:30,7
9,02:00,06:30,8
9,10:00,14:30,8
9,18:00,22:30,8
10,02:00,04:30,1
10,02:00,04:30,2
10,02:00,04:30,3
10,18:00,20:30,3
10,02:00,04:30,4
10,10:00,12:30,4
10,18:00,20:30,4
10,02:00,06:30,5
10,10:00,12:30,5
10,18:00,20:30,5
10,02:00,06:30,6
10,10:00,12:30,6
10,18:00,20:30,6
10,02:00,06:30,7
10,10:00,12:30,7
10,18:00,22:30,7
10,02:00,06:30,8
10,10:00,14:30,8
10,18:00,22:30,8
11,10:00,12:30,1
11,02:00,04:30,2
11,10:00,12:30,2
11,02:00,04:30,3
11,10:00,12:30,3
11,02:00,04:30,4
11,10:00,12:30,4
11,18:00,20:30,4
11,02:00,04:30,5
11,10:00,14:30,5
11,18:00,20:30,5
11,02:00,06:30,6
11,10:00,14:30,6
11,18:00,20:30,6
11,02:00,06:30,7
11,10:00,14:30,7
11,18:00,20:30,7
11,02:00,06:30,8
11,10:00,14:30,8
11,18:00,22:30,8
12,18:00,20:30,1
12,10:00,12:30,2
12,18:00,20:30,2
12,02:00,04:30,3
12,10:00,12:30,3
12,18:00,20:30,3
12,02:00,04:30,4
12,10:00,12:30,4
12,18:00,20:30,4
12,02:00,04:30,5
12,10:00,12:30,5
12,18:00,22:30,5
12,02:00,04:30,6
12,10:00,14:30,6
12,18:00,22:30,6
12,02:00,06:30,7
12,10:00,14:30,7
12,18:00,22:30,7
12,02:00,06:30,8
12,10:00,14:30,8
12,18:00,22:30,8
13,16:00,18:30,2
13,08:00,10:30,3
13,16:00,18:30,3
13,00:00,02:30,4
13,08:00,10:30,4
13,16:00,18:30,4
13,00:00,02:30,5
13,08:00,10:30,5
13,16:00,18:30,5
13,00:00,02:30,6
13,08:00,10:30,6
13,16:00,20:30,6
13,00:00,02:30,7
13,08:00,12:30,7
13,16:00,20:30,7
13,00:00,04:30,8
13,08:00,12:30,8
13,16:00,20:30,8
14,00:00,02:30,1
14,00:00,02:30,2
14,00:00,02:30,3
14,16:00,18:30,3
14,00:00,02:30,4
14,08:00,10:30,4
14,16:00,18:30,4
14,00:00,04:30,5
14,08:00,10:30,5
14,16:00,18:30,5
14,00:00,04:30,6
14,08:00,10:30,6
14,16:00,18:30,6
14,00:00,04:30,7
14,08:00,10:30,7
14,16:00,20:30,7
14,00:00,04:30,8
14,08:00,12:30,8
14,16:00,20:30,8
15,08:00,10:30,1
15,00:00,02:30,2
15,08:00,10:30,2
15,00:00,02:30,3
15,08:00,10:30,3
15,00:00,02:30,4
15,08:00,10:30,4
15,16:00,18:30,4
15,00:00,02:30,5
15,08:00,12:30,5
15,16:00,18:30,5
15,00:00,04:30,6
15,08:00,12:30,6
15,16:00,18:30,6
15,00:00,04:30,7
15,08:00,12:30,7
15,16:00,18:30,7
15,00:00,04:30,8
15,08:00,12:30,8
15,16:00,20:30,8
16,16:00,18:30,1
16,08:00,10:30,2
16,16:00,18:30,2
16,00:00,02:30,3
16,08:00,10:30,3
16,16:00,18:30,3
16,00:00,02:30,4
16,08:00,10:30,4
16,16:00,18:30,4
16,00:00,02:30,5
16,08:00,10:30,5
16,16:00,20:30,5
16,00:00,02:30,6
16,08:00,12:30,6
16,16:00,20:30,6
16,00:00,04:30,7
16,08:00,12:30,7
16,16:00,20:30,7
16,00:00,04:30,8
16,08:00,12:30,8
16,16:00,20:30,8
17,22:00,00:30,1
17,14:00,16:30,2
17,22:00,00:30,2
17,06:00,08:30,3
17,14:00,16:30,3
17,22:00,00:30,3
17,06:00,08:30,4
17,14:00,16:30,4
17,22:00,00:30,4
17,06:00,08:30,5
17,14:00,16:30,5
17,22:00,00:30,5
17,06:00,08:30,6
17,14:00,18:30,6
17,22:00,00:30,6
17,06:00,10:30,7
17,14:00,18:30,7
17,22:00,00:30,7
17,06:00,10:30,8
17,14:00,18:30,8
17,22:00,00:30,8
18,22:00,00:30,2
18,14:00,16:30,3
18,22:00,00:30,3
18,06:00,08:30,4
18,14:00,16:30,4
18,22:00,00:30,4
18,00:00,02:30,5
18,06:00,08:30,5
18,14:00,16:30,5
18,22:00,00:30,5
18,00:00,02:30,6
18,06:00,08:30,6
18,14:00,16:30,6
18,22:00,00:30,6
18,00:00,02:30,7
18,06:00,08:30,7
18,14:00,18:30,7
18,22:00,00:30,7
18,00:00,02:30,8
18,06:00,10:30,8
18,14:00,18:30,8
18,22:00,00:30,8
19,06:00,08:30,1
19,06:00,08:30,2
19,06:00,08:30,3
19,22:00,00:30,3
19,06:00,08:30,4
19,14:00,16:30,4
19,22:00,00:30,4
19,06:00,10:30,5
19,14:00,16:30,5
19,22:00,00:30,5
19,00:00,02:30,6
19,06:00,10:30,6
19,14:00,16:30,6
19,22:00,00:30,6
19,00:00,02:30,7
19,06:00,10:30,7
19,14:00,16:30,7
19,22:00,00:30,7
19,00:00,02:30,8
19,06:00,10:30,8
19,14:00,18:30,8
19,22:00,00:30,8
20,14:00,16:30,1
20,06:00,08:30,2
20,14:00,16:30,2
20,06:00,08:30,3
20,14:00,16:30,3
20,06:00,08:30,4
20,14:00,16:30,4
20,22:00,00:30,4
20,06:00,08:30,5
20,14:00,18:30,5
20,22:00,00:30,5
20,06:00,10:30,6
20,14:00,18:30,6
20,22:00,00:30,6
20,00:00,02:30,7
20,06:00,10:30,7
20,14:00,18:30,7
20,22:00,00:30,7
20,00:00,02:30,8
20,06:00,10:30,8
20,14:00,18:30,8
20,22:00,00:30,8
21,20:00,22:30,1
21,12:00,14:30,2
21,20:00,22:30,2
21,04:00,06:30,3
21,12:00,14:30,3
21,20:00,22:30,3
21,04:00,06:30,4
21,12:00,14:30,4
21,20:00,22:30,4
