date_of_month,start_time,finsh_time,stage
1,15:00,17:30,1
1,07:00,09:30,2
1,15:00,17:30,2
1,07:00,09:30,3
1,15:00,17:30,3
1,07:00,09:30,4
1,15:00,17:30,4
1,23:00,01:30,4
1,07:00,09:30,5
1,15:00,19:30,5
1,23:00,01:30,5
1,07:00,11:30,6
1,15:00,19:30,6
1,23:00,01:30,6
1,07:00,11:30,7
1,15:00,19:30,7
1,23:00,01:30,7
1,07:00,11:30,8
1,15:00,19:30,8
1,23:00,01:30,8
2,23:00,01:30,1
2,15:00,17:30,2
2,23:00,01:30,2
2,07:00,09:30,3
2,15:00,17:30,3
2,23:00,01:30,3
2,07:00,09:30,4
2,15:00,17:30,4
2,23:00,01:30,4
2,07:00,09:30,5
2,15:00,17:30,5
2,23:00,01:30,5
2,07:00,09:30,6
2,15:00,19:30,6
2,23:00,01:30,6
2,07:00,11:30,7
2,15:00,19:30,7
2,23:00,01:30,7
2,01:00,03:30,8
2,07:00,11:30,8
2,15:00,19:30,8
2,23:00,01:30,8
3,23:00,01:30,2
3,15:00,17:30,3
3,23:00,01:30,3
3,07:00,09:30,4
3,15:00,17:30,4
3,23:00,01:30,4
3,01:00,03:30,5
3,07:00,09:30,5
3,15:00,17:30,5
3,23:00,01:30,5
3,01:00,03:30,6
3,07:00,09:30,6
3,15:00,17:30,6
3,23:00,01:30,6
3,01:00,03:30,7
3,07:00,09:30,7
3,15:00,19:30,7
3,23:00,01:30,7
3,01:00,03:30,8
3,07:00,11:30,8
3,15:00,19:30,8
3,23:00,01:30,8
4,07:00,09:30,1
4,07:00,09:30,2
4,07:00,09:30,3
4,23:00,01:30,3
4,07:00,09:30,4
4,15:00,17:30,4
4,23:00,01:30,4
4,07:00,11:30,5
4,15:00,17:30,5
4,23:00,01:30,5
4,01:00,03:30,6
4,07:00,11:30,6
4,15:00,17:30,6
4,23:00,01:30,6
4,01:00,03:30,7
4,07:00,11:30,7
4,15:00,17:30,7
4,23:00,01:30,7
4,01:00,03:30,8
4,07:00,11:30,8
4,15:00,19:30,8
4,23:00,01:30,8
5,13:00,15:30,1
5,05:00,07:30,2
5,13:00,15:30,2
5,05:00,07:30,3
5,13:00,15:30,3
5,05:00,07:30,4
5,13:00,15:30,4
5,21:00,23:30,4
5,05:00,07:30,5
5,13:00,17:30,5
5,21:00,23:30,5
5,05:00,09:30,6
5,13:00,17:30,6
5,21:00,23:30,6
5,01:00,03:30,7
5,05:00,09:30,7
5,13:00,17:30,7
5,21:00,23:30,7
5,01:00,03:30,8
5,05:00,09:30,8
5,13:00,17:30,8
5,21:00,23:30,8
5,23:00,01:30,8
6,21:00,23:30,1
6,13:00,15:30,2
6,21:00,23:30,2
6,05:00,07:30,3
6,13:00,15:30,3
6,21:00,23:30,3
6,05:00,07:30,4
6,13:00,15:30,4
6,21:00,23:30,4
