start_time,finsh_time,date_of_month,stage
00:00,02:30,1,4
00:00,02:30,2,1
00:00,02:30,3,2
00:00,02:30,4,3
00:00,02:30,5,0
00:00,02:30,6,5
00:00,02:30,7,6
00:00,02:30,8,7
00:00,02:30,9,8
00:00,02:30,10,0
00:00,02:30,11,0
00:00,02:30,12,0
00:00,02:30,13,0
00:00,02:30,14,0
00:00,02:30,15,0
00:00,02:30,16,0
00:00,02:30,17,3
00:00,02:30,18,4
00:00,02:30,19,1
00:00,02:30,20,2
00:00,02:30,21,0
00:00,02:30,22,8
00:00,02:30,23,5
00:00,02:30,24,6
00:00,02:30,25,7
00:00,02:30,26,0
00:00,02:30,27,0
00:00,02:30,28,0
00:00,02:30,29,0
00:00,02:30,30,0
00:00,02:30,31,0
02:00,04:30,1,8
02:00,04:30,2,5
02:00,04:30,3,6
02:00,04:30,4,7
02:00,04:30,5,0
02:00,04:30,6,0
02:00,04:30,7,0
02:00,04:30,8,0
02:00,04:30,9,0
02:00,04:30,10,0
02:00,04:30,11,0
02:00,04:30,12,0
02:00,04:30,13,3
02:00,04:30,14,4
02:00,04:30,15,1
02:00,04:30,16,2
02:00,04:30,17,7
02:00,04:30,18,8
02:00,04:30,19,5
02:00,04:30,20,6
02:00,04:30,21,0
02:00,04:30,22,0
02:00,04:30,23,0
02:00,04:30,24,0
02:00,04:30,25,0
02:00,04:30,26,0
02:00,04:30,27,0
02:00,04:30,28,0
02:00,04:30,29,2
02:00,04:30,30,3
02:00,04:30,31,4
04:00,06:30,1,0
04:00,06:30,2,0
04:00,06:30,3,0
04:00,06:30,4,0
04:00,06:30,5,0
04:00,06:30,6,0
04:00,06:30,7,0
04:00,06:30,8,0
04:00,06:30,9,3
04:00,06:30,10,4
04:00,06:30,11,1
04:00,06:30,12,2
04:00,06:30,13,7
04:00,06:30,14,8
04:00,06:30,15,5
04:00,06:30,16,6
04:00,06:30,17,0
04:00,06:30,18,0
04:00,06:30,19,0
04:00,06:30,20,0
04:00,06:30,21,0
04:00,06:30,22,0
04:00,06:30,23,0
04:00,06:30,24,0
04:00,06:30,25,2
04:00,06:30,26,3
04:00,06:30,27,4
04:00,06:30,28,1
04:00,06:30,29,6
04:00,06:30,30,7
04:00,06:30,31,8
06:00,08:30,1,0
06:00,08:30,2,0
06:00,08:30,3,0
06:00,08:30,4,0
06:00,08:30,5,3
06:00,08:30,6,4
06:00,08:30,7,1
06:00,08:30,8,2
06:00,08:30,9,7
06:00,08:30,10,8
06:00,08:30,11,5
06:00,08:30,12,6
06:00,08:30,13,0
06:00,08:30,14,0
06:00,08:30,15,0
06:00,08:30,16,0
06:00,08:30,17,0
06:00,08:30,18,0
06:00,08:30,19,0
06:00,08:30,20,0
06:00,08:30,21,2
06:00,08:30,22,3
06:00,08:30,23,4
06:00,08:30,24,1
06:00,08:30,25,6
06:00,08:30,26,7
06:00,08:30,27,8
06:00,08:30,28,5
06:00,08:30,29,0
06:00,08:30,30,0
06:00,08:30,31,0
08:00,10:30,1,3
08:00,10:30,2,4
08:00,10:30,3,1
08:00,10:30,4,2
08:00,10:30,5,7
08:00,10:30,6,8
08:00,10:30,7,5
08:00,10:30,8,6
08:00,10:30,9,0
08:00,10:30,10,0
08:00,10:30,11,0
08:00,10:30,12,0
08:00,10:30,13,0
08:00,10:30,14,0
08:00,10:30,15,0
08:00,10:30,16,0
08:00,10:30,17,2
08:00,10:30,18,3
08:00,10:30,19,4
08:00,10:30,20,1
08:00,10:30,21,6
08:00,10:30,22,7
08:00,10:30,23,8
08:00,10:30,24,5
08:00,10:30,25,0
08:00,10:30,26,0
08:00,10:30,27,0
08:00,10:30,28,0
08:00,10:30,29,0
08:00,10:30,30,0
08:00,10:30,31,0
10:00,12:30,1,7
10:00,12:30,2,8
10:00,12:30,3,5
10:00,12:30,4,6
10:00,12:30,5,0
10:00,12:30,6,0
10:00,12:30,7,0
10:00,12:30,8,0
10:00,12:30,9,0
10:00,12:30,10,0
10:00,12:30,11,0
10:00,12:30,12,0
10:00,12:30,13,2
10:00,12:30,14,3
10:00,12:30,15,4
10:00,12:30,16,1
10:00,12:30,17,6
10:00,12:30,18,7
10:00,12:30,19,8
10:00,12:30,20,5
10:00,12:30,21,0
10:00,12:30,22,0
10:00,12:30,23,0
10:00,12:30,24,0
10:00,12:30,25,0
10:00,12:30,26,0
10:00,12:30,27,0
10:00,12:30,28,0
10:00,12:30,29,1
10:00,12:30,30,2
10:00,12:30,31,3
12:00,14:30,1,0
12:00,14:30,2,0
12:00,14:30,3,0
12:00,14:30,4,0
12:00,14:30,5,0
12:00,14:30,6,0
12:00,14:30,7,0
12:00,14:30,8,0
12:00,14:30,9,2
12:00,14:30,10,3
12:00,14:30,11,4
12:00,14:30,12,1
12:00,14:30,13,6
12:00,14:30,14,7
12:00,14:30,15,8
