start_time,finsh_time,date_of_month,stage
00:00,02:30,1,1
00:00,02:30,2,2
00:00,02:30,3,3
00:00,02:30,4,4
00:00,02:30,5,0
00:00,02:30,6,6
00:00,02:30,7,7
00:00,02:30,8,8
00:00,02:30,9,5
00:00,02:30,10,0
00:00,02:30,11,0
00:00,02:30,12,0
00:00,02:30,13,0
00:00,02:30,14,0
00:00,02:30,15,0
00:00,02:30,16,0
00:00,02:30,17,4
00:00,02:30,18,1
00:00,02:30,19,2
00:00,02:30,20,3
00:00,02:30,21,0
00:00,02:30,22,5
00:00,02:30,23,6
00:00,02:30,24,7
00:00,02:30,25,8
00:00,02:30,26,0
00:00,02:30,27,0
00:00,02:30,28,0
00:00,02:30,29,0
00:00,02:30,30,0
00:00,02:30,31,0
02:00,04:30,1,5
02:00,04:30,2,6
02:00,04:30,3,7
02:00,04:30,4,8
02:00,04:30,5,0
02:00,04:30,6,0
02:00,04:30,7,0
02:00,04:30,8,0
02:00,04:30,9,0
02:00,04:30,10,0
02:00,04:30,11,0
02:00,04:30,12,0
02:00,04:30,13,4
02:00,04:30,14,1
02:00,04:30,15,2
02:00,04:30,16,3
02:00,04:30,17,8
02:00,04:30,18,5
02:00,04:30,19,6
02:00,04:30,20,7
02:00,04:30,21,0
02:00,04:30,22,0
02:00,04:30,23,0
02:00,04:30,24,0
02:00,04:30,25,0
02:00,04:30,26,0
02:00,04:30,27,0
02:00,04:30,28,0
02:00,04:30,29,3
02:00,04:30,30,4
02:00,04:30,31,1
04:00,06:30,1,0
04:00,06:30,2,0
04:00,06:30,3,0
04:00,06:30,4,0
04:00,06:30,5,0
04:00,06:30,6,0
04:00,06:30,7,0
04:00,06:30,8,0
04:00,06:30,9,4
04:00,06:30,10,1
04:00,06:30,11,2
04:00,06:30,12,3
04:00,06:30,13,8
04:00,06:30,14,5
04:00,06:30,15,6
04:00,06:30,16,7
04:00,06:30,17,0
04:00,06:30,18,0
04:00,06:30,19,0
04:00,06:30,20,0
04:00,06:30,21,0
04:00,06:30,22,0
04:00,06:30,23,0
04:00,06:30,24,0
04:00,06:30,25,3
04:00,06:30,26,4
04:00,06:30,27,1
04:00,06:30,28,2
04:00,06:30,29,7
04:00,06:30,30,8
04:00,06:30,31,5
06:00,08:30,1,0
06:00,08:30,2,0
06:00,08:30,3,0
06:00,08:30,4,0
06:00,08:30,5,4
06:00,08:30,6,1
06:00,08:30,7,2
06:00,08:30,8,3
06:00,08:30,9,8
06:00,08:30,10,5
06:00,08:30,11,6
06:00,08:30,12,7
06:00,08:30,13,0
06:00,08:30,14,0
06:00,08:30,15,0
06:00,08:30,16,0
06:00,08:30,17,0
06:00,08:30,18,0
06:00,08:30,19,0
06:00,08:30,20,0
06:00,08:30,21,3
06:00,08:30,22,4
06:00,08:30,23,1
06:00,08:30,24,2
06:00,08:30,25,7
06:00,08:30,26,8
06:00,08:30,27,5
06:00,08:30,28,6
06:00,08:30,29,0
06:00,08:30,30,0
06:00,08:30,31,0
08:00,10:30,1,4
08:00,10:30,2,1
08:00,10:30,3,2
08:00,10:30,4,3
08:00,10:30,5,8
08:00,10:30,6,5
08:00,10:30,7,6
08:00,10:30,8,7
08:00,10:30,9,0
08:00,10:30,10,0
08:00,10:30,11,0
08:00,10:30,12,0
08:00,10:30,13,0
08:00,10:30,14,0
08:00,10:30,15,0
08:00,10:30,16,0
08:00,10:30,17,3
08:00,10:30,18,4
08:00,10:30,19,1
08:00,10:30,20,2
08:00,10:30,21,7
08:00,10:30,22,8
08:00,10:30,23,5
08:00,10:30,24,6
08:00,10:30,25,0
08:00,10:30,26,0
08:00,10:30,27,0
08:00,10:30,28,0
08:00,10:30,29,0
08:00,10:30,30,0
08:00,10:30,31,0
10:00,12:30,1,8
10:00,12:30,2,5
10:00,12:30,3,6
10:00,12:30,4,7
10:00,12:30,5,0
10:00,12:30,6,0
10:00,12:30,7,0
10:00,12:30,8,0
10:00,12:30,9,0
10:00,12:30,10,0
10:00,12:30,11,0
10:00,12:30,12,0
10:00,12:30,13,3
10:00,12:30,14,4
10:00,12:30,15,1
10:00,12:30,16,2
10:00,12:30,17,7
10:00,12:30,18,8
10:00,12:30,19,5
10:00,12:30,20,6
10:00,12:30,21,0
10:00,12:30,22,0
10:00,12:30,23,0
10:00,12:30,24,0
10:00,12:30,25,0
10:00,12:30,26,0
10:00,12:30,27,0
10:00,12:30,28,0
10:00,12:30,29,2
10:00,12:30,30,3
10:00,12:30,31,4
12:00,14:30,1,0
12:00,14:30,2,0
12:00,14:30,3,0
12:00,14:30,4,0
12:00,14:30,5,0
12:00,14:30,6,0
12:00,14:30,7,0
12:00,14:30,8,0
12:00,14:30,9,3
12:00,14:30,10,4
12:00,14:30,11,1
12:00,14:30,12,2
12:00,14:30,13,7
12:00,14:30,14,8
12:00,14:30,15,5
12:00,14:30,16,6
12:00,14:30,17,0
12:00,14:30,18,0
12:00,14:30,19,0
12:00,14:30,20,0
12:00,14:30,21,0
12:00,14:30,22,0
12:00,14:30,23,0
12:00,14:30,24,0
12:00,14:30,25,2
12:00,14:30,26,3
12:00,14:30,27,4
12:00,14:30,28,1
12:00,14:30,29,6
12:00,14:30,30,7
12:00,14:30,31,8
14:00,16:30,1,0
14:00,16:30,2,0
14:00,16:30,3,0
14:00,16:30,4,0
14:00,16:30,5,3
14:00,16:30,6,4
14:00,16:30,7,1
14:00,16:30,8,2
14:00,16:30,9,7
14:00,16:30,10,8
14:00,16:30,11,5
14:00,16:30,12,6
14:00,16:30,13,0
14:00,16:30,14,0
14:00,16:30,15,0
14:00,16:30,16,0
14:00,16:30,17,0
14:00,16:30,18,0
14:00,16:30,19,0
14:00,16:30,20,0
14:00,16:30,21,2
14:00,16:30,22,3
14:00,16:30,23,4
14:00,16:30,24,1
14:00,16:30,25,6
14:00,16:30,26,7
14:00,16:30,27,8
14:00,16:30,28,5
14:00,16:30,29,0
14:00,16:30,30,0
14:00,16:30,31,0
16:00,18:30,1,3
16:00,18:30,2,4
16:00,18:30,3,1
16:00,18:30,4,2
16:00,18:30,5,7
16:00,18:30,6,8
16:00,18:30,7,5
16:00,18:30,8,6
16:00,18:30,9,0
16:00,18:30,10,0
16:00,18:30,11,0
16:00,18:30,12,0
16:00,18:30,13,0
16:00,18:30,14,0
16:00,18:30,15,0
16:00,18:30,16,0
16:00,18:30,17,2
16:00,18:30,18,3
16:00,18:30,19,4
16:00,18:30,20,1
16:00,18:30,21,6
16:00,18:30,22,7
16:00,18:30,23,8
16:00,18:30,24,5
16:00,18:30,25,0
16:00,18:30,26,0
16:00,18:30,27,0
16:00,18:30,28,0
16:00,18:30,29,0
16:00,18:30,30,0
16:00,18:30,31,0
18:00,20:30,1,7
18:00,20:30,2,8
18:00,20:30,3,5
18:00,20:30,4,6
18:00,20:30,5,0
18:00,20:30,6,0
18:00,20:30,7,0
18:00,20:30,8,0
18:00,20:30,9,0
18:00,20:30,10,0
18:00,20:30,11,0
18:00,20:30,12,0
18:00,20:30,13,2
18:00,20:30,14,3
18:00,20:30,15,4
18:00,20:30,16,1
18:00,20:30,17,6
18:00,20:30,18,7
18:00,20:30,19,8
18:00,20:30,20,5
18:00,20:30,21,0
18:00,20:30,22,0
18:00,20:30,23,0
18:00,20:30,24,0
18:00,20:30,25,0
18:00,20:30,26,0
18:00,20:30,27,0
18:00,20:30,28,0
18:00,20:30,29,1
18:00,20:30,30,2
18:00,20:30,31,3
20:00,22:30,1,0
20:00,22:30,2,0
20:00,22:30,3,0
20:00,22:30,4,0
20:00,22:30,5,0
20:00,22:30,6,0
20:00,22:30,7,0
20:00,22:30,8,0
20:00,22:30,9,2
20:00,22:30,10,3
20:00,22:30,11,4
20:00,22:30,12,1
20:00,22:30,13,6
20:00,22:30,14,7
20:00,22:30,15,8
20:00,22:30,16,5
20:00,22:30,17,0
20:00,22:30,18,0
20:00,22:30,19,0
20:00,22:30,20,0
20:00,22:30,21,0
20:00,22:30,22,0
20:00,22:30,23,0
20:00,22:30,24,0
20:00,22:30,25,1
20:00,22:30,26,2
20:00,22:30,27,3
20:00,22:30,28,4
20:00,22:30,29,5
20:00,22:30,30,6
20:00,22:30,31,7
22:00,00:30,1,0
22:00,00:30,2,0
22:00,00:30,3,0
22:00,00:30,4,0
22:00,00:30,5,2
22:00,00:30,6,3
22:00,00:30,7,4
22:00,00:30,8,1
22:00,00:30,9,6
22:00,00:30,10,7
22:00,00:30,11,8
22:00,00:30,12,5
22:00,00:30,13,0
22:00,00:30,14,0
22:00,00:30,15,0
22:00,00:30,16,0
22:00,00:30,17,0
22:00,00:30,18,0
22:00,00:30,19,0
22:00,00:30,20,0
22:00,00:30,21,1
22:00,00:30,22,2
22:00,00:30,23,3
22:00,00:30,24,4
22:00,00:30,25,5
22:00,00:30,26,6
22:00,00:30,27,7
22:00,00:30,28,8
22:00,00:30,29,0
22:00,00:30,30,0
22:00,00:30,31,0
