date_of_month,start_time,finsh_time,stage
1,00:00,02:30,2
1,00:00,02:30,3
1,00:00,02:30,4
1,00:00,02:30,5
1,00:00,02:30,6
1,00:00,02:30,7
1,00:00,02:30,8
1,02:00,04:30,6
1,02:00,04:30,7
1,02:00,04:30,8
1,04:00,06:30,0
1,06:00,08:30,0
1,08:00,10:30,1
1,08:00,10:30,2
1,08:00,10:30,3
1,08:00,10:30,4
1,08:00,10:30,5
1,08:00,10:30,6
1,08:00,10:30,7
1,08:00,10:30,8
1,10:00,12:30,5
1,10:00,12:30,6
1,10:00,12:30,7
1,10:00,12:30,8
1,12:00,14:30,0
1,14:00,16:30,0
1,16:00,18:30,4
1,16:00,18:30,5
1,16:00,18:30,6
1,16:00,18:30,7
1,16:00,18:30,8
1,18:00,20:30,8
1,20:00,22:30,0
1,22:00,00:30,0
2,00:00,02:30,3
2,00:00,02:30,4
2,00:00,02:30,5
2,00:00,02:30,6
2,00:00,02:30,7
2,00:00,02:30,8
2,02:00,04:30,7
2,02:00,04:30,8
2,04:00,06:30,0
2,06:00,08:30,0
2,08:00,10:30,2
2,08:00,10:30,3
2,08:00,10:30,4
2,08:00,10:30,5
2,08:00,10:30,6
2,08:00,10:30,7
2,08:00,10:30,8
2,10:00,12:30,6
2,10:00,12:30,7
2,10:00,12:30,8
2,12:00,14:30,0
2,14:00,16:30,0
2,16:00,18:30,1
2,16:00,18:30,2
2,16:00,18:30,3
2,16:00,18:30,4
2,16:00,18:30,5
2,16:00,18:30,6
2,16:00,18:30,7
2,16:00,18:30,8
2,18:00,20:30,5
2,18:00,20:30,6
2,18:00,20:30,7
2,18:00,20:30,8
2,20:00,22:30,0
2,22:00,00:30,0
3,00:00,02:30,4
3,00:00,02:30,5
3,00:00,02:30,6
3,00:00,02:30,7
3,00:00,02:30,8
3,02:00,04:30,8
3,04:00,06:30,0
3,06:00,08:30,0
3,08:00,10:30,3
3,08:00,10:30,4
3,08:00,10:30,5
3,08:00,10:30,6
3,08:00,10:30,7
3,08:00,10:30,8
3,10:00,12:30,7
3,10:00,12:30,8
3,12:00,14:30,0
3,14:00,16:30,0
3,16:00,18:30,2
3,16:00,18:30,3
3,16:00,18:30,4
3,16:00,18:30,5
3,16:00,18:30,6
3,16:00,18:30,7
3,16:00,18:30,8
3,18:00,20:30,6
3,18:00,20:30,7
3,18:00,20:30,8
3,20:00,22:30,0
3,22:00,00:30,0
4,00:00,02:30,1
4,00:00,02:30,2
4,00:00,02:30,3
4,00:00,02:30,4
4,00:00,02:30,5
4,00:00,02:30,6
4,00:00,02:30,7
4,00:00,02:30,8
4,02:00,04:30,5
4,02:00,04:30,6
4,02:00,04:30,7
4,02:00,04:30,8
4,04:00,06:30,0
4,06:00,08:30,0
4,08:00,10:30,4
4,08:00,10:30,5
4,08:00,10:30,6
4,08:00,10:30,7
4,08:00,10:30,8
4,10:00,12:30,8
4,12:00,14:30,0
4,14:00,16:30,0
4,16:00,18:30,3
4,16:00,18:30,4
4,16:00,18:30,5
4,16:00,18:30,6
4,16:00,18:30,7
4,16:00,18:30,8
4,18:00,20:30,7
4,18:00,20:30,8
4,20:00,22:30,0
4,22:00,00:30,0
5,00:00,02:30,0
5,02:00,04:30,0
5,04:00,06:30,0
5,06:00,08:30,1
5,06:00,08:30,2
5,06:00,08:30,3
5,06:00,08:30,4
5,06:00,08:30,5
5,06:00,08:30,6
5,06:00,08:30,7
5,06:00,08:30,8
5,08:00,10:30,5
5,08:00,10:30,6
5,08:00,10:30,7
5,08:00,10:30,8
5,10:00,12:30,0
5,12:00,14:30,0
5,14:00,16:30,4
5,14:00,16:30,5
5,14:00,16:30,6
5,14:00,16:30,7
5,14:00,16:30,8
5,16:00,18:30,8
5,18:00,20:30,0
5,20:00,22:30,0
5,22:00,00:30,3
5,22:00,00:30,4
5,22:00,00:30,5
5,22:00,00:30,6
5,22:00,00:30,7
5,22:00,00:30,8
6,00:00,02:30,7
6,00:00,02:30,8
6,02:00,04:30,0
6,04:00,06:30,0
6,06:00,08:30,2
6,06:00,08:30,3
6,06:00,08:30,4
6,06:00,08:30,5
6,06:00,08:30,6
6,06:00,08:30,7
6,06:00,08:30,8
6,08:00,10:30,6
6,08:00,10:30,7
6,08:00,10:30,8
6,10:00,12:30,0
6,12:00,14:30,0
6,14:00,16:30,1
6,14:00,16:30,2
6,14:00,16:30,3
6,14:00,16:30,4
6,14:00,16:30,5
6,14:00,16:30,6
6,14:00,16:30,7
6,14:00,16:30,8
6,16:00,18:30,5
6,16:00,18:30,6
6,16:00,18:30,7
6,16:00,18:30,8
6,18:00,20:30,0
6,20:00,22:30,0
6,22:00,00:30,4
6,22:00,00:30,5
6,22:00,00:30,6
6,22:00,00:30,7
6,22:00,00:30,8
7,00:00,02:30,8
7,02:00,04:30,0
7,04:00,06:30,0
7,06:00,08:30,3
7,06:00,08:30,4
7,06:00,08:30,5
7,06:00,08:30,6
7,06:00,08:30,7
7,06:00,08:30,8
7,08:00,10:30,7
7,08:00,10:30,8
7,10:00,12:30,0
7,12:00,14:30,0
7,14:00,16:30,2
7,14:00,16:30,3
7,14:00,16:30,4
7,14:00,16:30,5
7,14:00,16:30,6
7,14:00,16:30,7
7,14:00,16:30,8
7,16:00,18:30,6
7,16:00,18:30,7
7,16:00,18:30,8
7,18:00,20:30,0
7,20:00,22:30,0
7,22:00,00:30,1
7,22:00,00:30,2
7,22:00,00:30,3
7,22:00,00:30,4
7,22:00,00:30,5
7,22:00,00:30,6
7,22:00,00:30,7
7,22:00,00:30,8
8,00:00,02:30,5
8,00:00,02:30,6
8,00:00,02:30,7
8,00:00,02:30,8
8,02:00,04:30,0
8,04:00,06:30,0
8,06:00,08:30,4
8,06:00,08:30,5
8,06:00,08:30,6
8,06:00,08:30,7
8,06:00,08:30,8
8,08:00,10:30,8
8,10:00,12:30,0
8,12:00,14:30,0
8,14:00,16:30,3
8,14:00,16:30,4
8,14:00,16:30,5
8,14:00,16:30,6
8,14:00,16:30,7
8,14:00,16:30,8
8,16:00,18:30,7
8,16:00,18:30,8
8,18:00,20:30,0
8,20:00,22:30,0
8,22:00,00:30,2
8,22:00,00:30,3
8,22:00,00:30,4
8,22:00,00:30,5
8,22:00,00:30,6
8,22:00,00:30,7
8,22:00,00:30,8
9,00:00,02:30,6
9,00:00,02:30,7
9,00:00,02:30,8
9,02:00,04:30,0
9,04:00,06:30,1
9,04:00,06:30,2
9,04:00,06:30,3
9,04:00,06:30,4
9,04:00,06:30,5
9,04:00,06:30,6
9,04:00,06:30,7
9,04:00,06:30,8
9,06:00,08:30,5
9,06:00,08:30,6
9,06:00,08:30,7
9,06:00,08:30,8
9,08:00,10:30,0
9,10:00,12:30,0
9,12:00,14:30,4
9,12:00,14:30,5
9,12:00,14:30,6
9,12:00,14:30,7
9,12:00,14:30,8
9,14:00,16:30,8
9,16:00,18:30,0
9,18:00,20:30,0
9,20:00,22:30,3
9,20:00,22:30,4
9,20:00,22:30,5
9,20:00,22:30,6
9,20:00,22:30,7
9,20:00,22:30,8
9,22:00,00:30,7
9,22:00,00:30,8
10,00:00,02:30,0
10,02:00,04:30,0
10,04:00,06:30,2
10,04:00,06:30,3
10,04:00,06:30,4
10,04:00,06:30,5
10,04:00,06:30,6
10,04:00,06:30,7
10,04:00,06:30,8
10,06:00,08:30,6
10,06:00,08:30,7
10,06:00,08:30,8
10,08:00,10:30,0
10,10:00,12:30,0
10,12:00,14:30,1
10,12:00,14:30,2
10,12:00,14:30,3
10,12:00,14:30,4
10,12:00,14:30,5
10,12:00,14:30,6
10,12:00,14:30,7
10,12:00,14:30,8
10,14:00,16:30,5
10,14:00,16:30,6
10,14:00,16:30,7
10,14:00,16:30,8
10,16:00,18:30,0
10,18:00,20:30,0
10,20:00,22:30,4
10,20:00,22:30,5
10,20:00,22:30,6
10,20:00,22:30,7
10,20:00,22:30,8
10,22:00,00:30,8
11,00:00,02:30,0
11,02:00,04:30,0
11,04:00,06:30,3
11,04:00,06:30,4
11,04:00,06:30,5
11,04:00,06:30,6
11,04:00,06:30,7
11,04:00,06:30,8
11,06:00,08:30,7
11,06:00,08:30,8
11,08:00,10:30,0
11,10:00,12:30,0
11,12:00,14:30,2
11,12:00,14:30,3
11,12:00,14:30,4
11,12:00,14:30,5
11,12:00,14:30,6
11,12:00,14:30,7
11,12:00,14:30,8
11,14:00,16:30,6
11,14:00,16:30,7
11,14:00,16:30,8
11,16:00,18:30,0
11,18:00,20:30,0
11,20:00,22:30,1
11,20:00,22:30,2
11,20:00,22:30,3
11,20:00,22:30,4
11,20:00,22:30,5
11,20:00,22:30,6
11,20:00,22:30,7
11,20:00,22:30,8
11,22:00,00:30,5
11,22:00,00:30,6
11,22:00,00:30,7
11,22:00,00:30,8
12,00:00,02:30,0
12,02:00,04:30,0
12,04:00,06:30,4
12,04:00,06:30,5
12,04:00,06:30,6
12,04:00,06:30,7
12,04:00,06:30,8
12,06:00,08:30,8
12,08:00,10:30,0
12,10:00,12:30,0
12,12:00,14:30,3
12,12:00,14:30,4
12,12:00,14:30,5
12,12:00,14:30,6
12,12:00,14:30,7
12,12:00,14:30,8
12,14:00,16:30,7
12,14:00,16:30,8
12,16:00,18:30,0
12,18:00,20:30,0
12,20:00,22:30,2
12,20:00,22:30,3
12,20:00,22:30,4
12,20:00,22:30,5
12,20:00,22:30,6
12,20:00,22:30,7
12,20:00,22:30,8
12,22:00,00:30,6
12,22:00,00:30,7
12,22:00,00:30,8
13,00:00,02:30,0
13,02:00,04:30,1
13,02:00,04:30,2
13,02:00,04:30,3
13,02:00,04:30,4
13,02:00,04:30,5
13,02:00,04:30,6
13,02:00,04:30,7
13,02:00,04:30,8
13,04:00,06:30,5
13,04:00,06:30,6
13,04:00,06:30,7
13,04:00,06:30,8
13,06:00,08:30,0
13,08:00,10:30,0
13,10:00,12:30,4
13,10:00,12:30,5
13,10:00,12:30,6
13,10:00,12:30,7
13,10:00,12:30,8
13,12:00,14:30,8
13,14:00,16:30,0
13,16:00,18:30,0
13,18:00,20:30,3
13,18:00,20:30,4
13,18:00,20:30,5
13,18:00,20:30,6
13,18:00,20:30,7
13,18:00,20:30,8
13,20:00,22:30,7
13,20:00,22:30,8
13,22:00,00:30,0
14,00:00,02:30,0
14,02:00,04:30,2
14,02:00,04:30,3
14,02:00,04:30,4
14,02:00,04:30,5
14,02:00,04:30,6
14,02:00,04:30,7
14,02:00,04:30,8
14,04:00,06:30,6
14,04:00,06:30,7
14,04:00,06:30,8
14,06:00,08:30,0
14,08:00,10:30,0
14,10:00,12:30,1
14,10:00,12:30,2
14,10:00,12:30,3
14,10:00,12:30,4
14,10:00,12:30,5
14,10:00,12:30,6
14,10:00,12:30,7
14,10:00,12:30,8
14,12:00,14:30,5
14,12:00,14:30,6
14,12:00,14:30,7
14,12:00,14:30,8
14,14:00,16:30,0
14,16:00,18:30,0
14,18:00,20:30,4
14,18:00,20:30,5
14,18:00,20:30,6
14,18:00,20:30,7
14,18:00,20:30,8
14,20:00,22:30,8
14,22:00,00:30,0
15,00:00,02:30,0
15,02:00,04:30,3
15,02:00,04:30,4
15,02:00,04:30,5
15,02:00,04:30,6
15,02:00,04:30,7
15,02:00,04:30,8
15,04:00,06:30,7
15,04:00,06:30,8
15,06:00,08:30,0
15,08:00,10:30,0
15,10:00,12:30,2
15,10:00,12:30,3
15,10:00,12:30,4
15,10:00,12:30,5
15,10:00,12:30,6
15,10:00,12:30,7
15,10:00,12:30,8
15,12:00,14:30,6
15,12:00,14:30,7
15,12:00,14:30,8
15,14:00,16:30,0
15,16:00,18:30,0
15,18:00,20:30,1
15,18:00,20:30,2
15,18:00,20:30,3
15,18:00,20:30,4
15,18:00,20:30,5
15,18:00,20:30,6
15,18:00,20:30,7
15,18:00,20:30,8
15,20:00,22:30,5
15,20:00,22:30,6
15,20:00,22:30,7
15,20:00,22:30,8
15,22:00,00:30,0
16,00:00,02:30,0
16,02:00,04:30,4
16,02:00,04:30,5
16,02:00,04:30,6
16,02:00,04:30,7
16,02:00,04:30,8
16,04:00,06:30,8
16,06:00,08:30,0
16,08:00,10:30,0
16,10:00,12:30,3
16,10:00,12:30,4
16,10:00,12:30,5
16,10:00,12:30,6
16,10:00,12:30,7
16,10:00,12:30,8
16,12:00,14:30,7
16,12:00,14:30,8
16,14:00,16:30,0
16,16:00,18:30,0
16,18:00,20:30,2
16,18:00,20:30,3
16,18:00,20:30,4
16,18:00,20:30,5
16,18:00,20:30,6
16,18:00,20:30,7
16,18:00,20:30,8
16,20:00,22:30,6
16,20:00,22:30,7
16,20:00,22:30,8
16,22:00,00:30,0
17,00:00,02:30,1
17,00:00,02:30,2
17,00:00,02:30,3
17,00:00,02:30,4
17,00:00,02:30,5
17,00:00,02:30,6
17,00:00,02:30,7
17,00:00,02:30,8
17,02:00,04:30,5
17,02:00,04:30,6
17,02:00,04:30,7
17,02:00,04:30,8
17,04:00,06:30,0
17,06:00,08:30,0
17,08:00,10:30,4
17,08:00,10:30,5
17,08:00,10:30,6
17,08:00,10:30,7
17,08:00,10:30,8
17,10:00,12:30,8
17,12:00,14:30,0
17,14:00,16:30,0
17,16:00,18:30,3
17,16:00,18:30,4
17,16:00,18:30,5
17,16:00,18:30,6
17,16:00,18:30,7
17,16:00,18:30,8
17,18:00,20:30,7
17,18:00,20:30,8
17,20:00,22:30,0
17,22:00,00:30,0
18,00:00,02:30,2
18,00:00,02:30,3
18,00:00,02:30,4
18,00:00,02:30,5
18,00:00,02:30,6
18,00:00,02:30,7
18,00:00,02:30,8
18,02:00,04:30,6
18,02:00,04:30,7
18,02:00,04:30,8
18,04:00,06:30,0
18,06:00,08:30,0
18,08:00,10:30,1
18,08:00,10:30,2
18,08:00,10:30,3
18,08:00,10:30,4
18,08:00,10:30,5
18,08:00,10:30,6
18,08:00,10:30,7
18,08:00,10:30,8
18,10:00,12:30,5
18,10:00,12:30,6
18,10:00,12:30,7
18,10:00,12:30,8
18,12:00,14:30,0
18,14:00,16:30,0
18,16:00,18:30,4
18,16:00,18:30,5
18,16:00,18:30,6
18,16:00,18:30,7
18,16:00,18:30,8
18,18:00,20:30,8
18,20:00,22:30,0
18,22:00,00:30,0
19,00:00,02:30,3
19,00:00,02:30,4
19,00:00,02:30,5
19,00:00,02:30,6
19,00:00,02:30,7
19,00:00,02:30,8
19,02:00,04:30,7
19,02:00,04:30,8
19,04:00,06:30,0
19,06:00,08:30,0
19,08:00,10:30,2
19,08:00,10:30,3
19,08:00,10:30,4
19,08:00,10:30,5
19,08:00,10:30,6
19,08:00,10:30,7
19,08:00,10:30,8
19,10:00,12:30,6
19,10:00,12:30,7
19,10:00,12:30,8
19,12:00,14:30,0
19,14:00,16:30,0
19,16:00,18:30,1
19,16:00,18:30,2
19,16:00,18:30,3
19,16:00,18:30,4
19,16:00,18:30,5
19,16:00,18:30,6
19,16:00,18:30,7
19,16:00,18:30,8
19,18:00,20:30,5
19,18:00,20:30,6
19,18:00,20:30,7
19,18:00,20:30,8
19,20:00,22:30,0
19,22:00,00:30,0
20,00:00,02:30,4
20,00:00,02:30,5
20,00:00,02:30,6
20,00:00,02:30,7
20,00:00,02:30,8
20,02:00,04:30,8
20,04:00,06:30,0
20,06:00,08:30,0
20,08:00,10:30,3
20,08:00,10:30,4
20,08:00,10:30,5
20,08:00,10:30,6
20,08:00,10:30,7
20,08:00,10:30,8
20,10:00,12:30,7
20,10:00,12:30,8
20,12:00,14:30,0
20,14:00,16:30,0
20,16:00,18:30,2
20,16:00,18:30,3
20,16:00,18:30,4
20,16:00,18:30,5
20,16:00,18:30,6
20,16:00,18:30,7
20,16:00,18:30,8
20,18:00,20:30,6
20,18:00,20:30,7
20,18:00,20:30,8
20,20:00,22:30,0
20,22:00,00:30,0
21,00:00,02:30,0
21,02:00,04:30,0
21,04:00,06:30,0
21,06:00,08:30,4
21,06:00,08:30,5
21,06:00,08:30,6
21,06:00,08:30,7
21,06:00,08:30,8
21,08:00,10:30,8
21,10:00,12:30,0
21,12:00,14:30,0
21,14:00,16:30,3
21,14:00,16:30,4
21,14:00,16:30,5
21,14:00,16:30,6
21,14:00,16:30,7
21,14:00,16:30,8
21,16:00,18:30,7
21,16:00,18:30,8
21,18:00,20:30,0
21,20:00,22:30,0
21,22:00,00:30,2
21,22:00,00:30,3
21,22:00,00:30,4
21,22:00,00:30,5
21,22:00,00:30,6
21,22:00,00:30,7
21,22:00,00:30,8
22,00:00,02:30,6
22,00:00,02:30,7
22,00:00,02:30,8
22,02:00,04:30,0
22,04:00,06:30,0
22,06:00,08:30,1
22,06:00,08:30,2
