day_of_week,start_time,finsh_time,stage
1,00:00,04:00,4
1,00:00,04:00,5
1,00:00,04:00,6
1,00:00,04:00,7
1,00:00,04:00,8
1,16:00,20:00,4
1,16:00,20:00,5
1,16:00,20:00,6
1,16:00,20:00,7
1,16:00,20:00,8
2,04:00,08:00,4
2,04:00,08:00,5
2,04:00,08:00,6
2,04:00,08:00,7
2,04:00,08:00,8
2,12:00,16:00,8
2,20:00,00:00,8
3,08:00,12:00,4
3,08:00,12:00,5
3,08:00,12:00,6
3,08:00,12:00,7
3,08:00,12:00,8
3,16:00,20:00,8
4,04:00,08:00,8
4,20:00,00:00,4
4,20:00,00:00,5
4,20:00,00:00,6
4,20:00,00:00,7
4,20:00,00:00,8
5,08:00,12:00,4
5,08:00,12:00,5
5,08:00,12:00,7
5,08:00,12:00,8
6,12:00,16:00,8
6,20:00,00:00,8
7,00:00,04:00,4
7,00:00,04:00,5
7,00:00,04:00,6
7,00:00,04:00,7
7,00:00,04:00,8
7,16:00,20:00,8
