day_of_week,start_time,finsh_time,stage
1,02:00,04:00,4
1,02:00,04:00,5
1,02:00,04:00,6
1,02:00,04:00,7
1,02:00,04:00,8
1,08:00,10:00,6
1,08:00,10:00,7
1,08:00,10:00,8
1,16:00,18:00,2
1,16:00,18:00,3
1,16:00,18:00,4
1,16:00,18:00,5
1,16:00,18:00,6
1,16:00,18:00,7
1,16:00,18:00,8
2,00:00,02:00,5
2,00:00,02:00,6
2,00:00,02:00,7
2,00:00,02:00,8
2,14:00,16:00,4
2,14:00,16:00,5
2,14:00,16:00,6
2,14:00,16:00,7
2,14:00,16:00,8
3,04:00,06:00,3
3,04:00,06:00,4
3,04:00,06:00,5
3,04:00,06:00,6
3,04:00,06:00,7
3,04:00,06:00,8
3,12:00,14:00,5
3,12:00,14:00,6
3,12:00,14:00,7
3,12:00,14:00,8
3,20:00,22:00,1
3,20:00,22:00,2
3,20:00,22:00,3
3,20:00,22:00,4
3,20:00,22:00,5
3,20:00,22:00,6
3,20:00,22:00,7
3,20:00,22:00,8
4,02:00,04:00,6
4,02:00,04:00,7
4,02:00,04:00,8
4,10:00,12:00,8
4,18:00,20:00,3
4,18:00,20:00,4
4,18:00,20:00,5
4,18:00,20:00,6
4,18:00,20:00,7
4,18:00,20:00,8
5,08:00,10:00,2
5,08:00,10:00,3
5,08:00,10:00,4
5,08:00,10:00,5
5,08:00,10:00,6
5,08:00,10:00,7
5,08:00,10:00,8
5,16:00,18:00,6
5,16:00,18:00,7
5,16:00,18:00,8
5,22:00,00:00,8
6,10:00,12:00,3
6,10:00,12:00,4
6,10:00,12:00,5
6,10:00,12:00,6
6,10:00,12:00,7
6,10:00,12:00,8
6,18:00,20:00,8
6,22:00,00:00,2
6,22:00,00:00,3
6,22:00,00:00,4
6,22:00,00:00,5
6,22:00,00:00,6
6,22:00,00:00,7
6,22:00,00:00,8
7,06:00,08:00,1
7,06:00,08:00,2
7,06:00,08:00,3
7,06:00,08:00,4
7,06:00,08:00,5
7,06:00,08:00,6
7,06:00,08:00,7
7,06:00,08:00,8
7,14:00,16:00,5
7,14:00,16:00,6
7,14:00,16:00,7
7,14:00,16:00,8
7,22:00,00:00,7
7,22:00,00:00,8
