day_of_week,start_time,finsh_time,stage
1,00:00,02:00,6
1,00:00,02:00,7
1,00:00,02:00,8
1,08:00,10:00,2
1,08:00,10:00,3
1,08:00,10:00,4
1,08:00,10:00,5
1,08:00,10:00,6
1,08:00,10:00,7
1,08:00,10:00,8
1,16:00,18:00,6
1,16:00,18:00,7
1,16:00,18:00,8
2,00:00,02:00,1
2,00:00,02:00,2
2,00:00,02:00,3
2,00:00,02:00,4
2,00:00,02:00,5
2,00:00,02:00,6
2,00:00,02:00,7
2,00:00,02:00,8
2,08:00,10:00,6
2,08:00,10:00,7
2,08:00,10:00,8
2,16:00,18:00,2
2,16:00,18:00,3
2,16:00,18:00,4
2,16:00,18:00,5
2,16:00,18:00,6
2,16:00,18:00,7
2,16:00,18:00,8
3,02:00,04:00,2
3,02:00,04:00,3
3,02:00,04:00,4
3,02:00,04:00,5
3,02:00,04:00,6
3,02:00,04:00,7
3,02:00,04:00,8
3,10:00,12:00,5
3,10:00,12:00,6
3,10:00,12:00,7
3,10:00,12:00,8
3,18:00,20:00,1
3,18:00,20:00,2
3,18:00,20:00,3
3,18:00,20:00,4
3,18:00,20:00,5
3,18:00,20:00,6
3,18:00,20:00,7
3,18:00,20:00,8
4,06:00,08:00,1
4,06:00,08:00,2
4,06:00,08:00,3
4,06:00,08:00,4
4,06:00,08:00,5
4,06:00,08:00,6
4,06:00,08:00,7
4,06:00,08:00,8
4,14:00,16:00,5
4,14:00,16:00,6
4,14:00,16:00,7
4,14:00,16:00,8
4,22:00,00:00,6
4,22:00,00:00,7
4,22:00,00:00,8
5,04:00,06:00,2
5,04:00,06:00,3
5,04:00,06:00,4
5,04:00,06:00,5
5,04:00,06:00,6
5,04:00,06:00,7
5,04:00,06:00,8
5,12:00,14:00,2
5,12:00,14:00,3
5,12:00,14:00,4
5,12:00,14:00,5
5,12:00,14:00,6
5,12:00,14:00,7
5,12:00,14:00,8
5,20:00,22:00,6
5,20:00,22:00,7
5,20:00,22:00,8
6,02:00,04:00,1
6,02:00,04:00,2
6,02:00,04:00,3
6,02:00,04:00,4
6,02:00,04:00,5
6,02:00,04:00,6
6,02:00,04:00,7
6,02:00,04:00,8
6,06:00,08:00,6
6,06:00,08:00,7
6,06:00,08:00,8
6,14:00,16:00,2
6,14:00,16:00,3
6,14:00,16:00,4
6,14:00,16:00,5
6,14:00,16:00,6
6,14:00,16:00,7
6,14:00,16:00,8
7,04:00,06:00,5
7,04:00,06:00,6
7,04:00,06:00,7
7,04:00,06:00,8
7,12:00,14:00,5
7,12:00,14:00,6
7,12:00,14:00,7
7,12:00,14:00,8
7,20:00,22:00,1
7,20:00,22:00,2
7,20:00,22:00,3
7,20:00,22:00,4
7,20:00,22:00,5
7,20:00,22:00,6
7,20:00,22:00,7
7,20:00,22:00,8
