day_of_week,start_time,finsh_time,stage
1,04:00,06:00,5
1,04:00,06:00,6
1,04:00,06:00,7
1,04:00,06:00,8
1,12:00,14:00,4
1,12:00,14:00,5
1,12:00,14:00,6
1,12:00,14:00,7
1,12:00,14:00,8
2,18:00,20:00,5
2,18:00,20:00,6
2,18:00,20:00,7
2,18:00,20:00,8
3,08:00,10:00,4
3,08:00,10:00,5
3,08:00,10:00,6
3,08:00,10:00,7
3,08:00,10:00,8
3,22:00,00:00,5
3,22:00,00:00,6
3,22:00,00:00,7
3,22:00,00:00,8
4,10:00,12:00,5
4,10:00,12:00,6
4,10:00,12:00,7
4,10:00,12:00,8
4,22:00,00:00,4
4,22:00,00:00,5
4,22:00,00:00,6
4,22:00,00:00,7
4,22:00,00:00,8
5,20:00,22:00,4
5,20:00,22:00,5
5,20:00,22:00,6
5,20:00,22:00,7
5,20:00,22:00,8
6,06:00,08:00,5
6,06:00,08:00,6
6,06:00,08:00,7
6,06:00,08:00,8
7,16:00,18:00,4
7,16:00,18:00,5
7,16:00,18:00,6
7,16:00,18:00,7
7,16:00,18:00,8
