date_of_month,start_time,finsh_time,stage
1,01:00,03:30,3
1,01:00,03:30,4
1,01:00,03:30,5
1,01:00,03:30,6
1,01:00,05:30,7
1,01:00,05:30,8
1,09:00,11:30,2
1,09:00,11:30,3
1,09:00,11:30,4
1,09:00,11:30,5
1,09:00,13:30,6
1,09:00,13:30,7
1,09:00,13:30,8
1,17:00,19:30,1
1,17:00,19:30,2
1,17:00,19:30,3
1,17:00,19:30,4
1,17:00,21:30,5
1,17:00,21:30,6
1,17:00,21:30,7
1,17:00,21:30,8
2,01:00,03:30,4
2,01:00,03:30,5
2,01:00,03:30,6
2,01:00,03:30,7
2,01:00,05:30,8
2,09:00,11:30,3
2,09:00,11:30,4
2,09:00,11:30,5
2,09:00,11:30,6
2,09:00,13:30,7
2,09:00,13:30,8
2,17:00,19:30,2
2,17:00,19:30,3
2,17:00,19:30,4
2,17:00,19:30,5
2,17:00,21:30,6
2,17:00,21:30,7
2,17:00,21:30,8
3,01:00,03:30,1
3,01:00,03:30,2
3,01:00,03:30,3
3,01:00,03:30,4
3,01:00,05:30,5
3,01:00,05:30,6
3,01:00,05:30,7
3,01:00,05:30,8
3,09:00,11:30,4
3,09:00,11:30,5
3,09:00,11:30,6
3,09:00,11:30,7
3,09:00,13:30,8
3,17:00,19:30,3
3,17:00,19:30,4
3,17:00,19:30,5
3,17:00,19:30,6
3,17:00,21:30,7
3,17:00,21:30,8
4,01:00,03:30,2
4,01:00,03:30,3
4,01:00,03:30,4
4,01:00,03:30,5
4,01:00,05:30,6
4,01:00,05:30,7
4,01:00,05:30,8
4,09:00,11:30,1
4,09:00,11:30,2
4,09:00,11:30,3
4,09:00,11:30,4
4,09:00,13:30,5
4,09:00,13:30,6
4,09:00,13:30,7
4,09:00,13:30,8
4,17:00,19:30,4
4,17:00,19:30,5
4,17:00,19:30,6
4,17:00,19:30,7
4,17:00,21:30,8
5,07:00,09:30,2
5,07:00,09:30,3
5,07:00,09:30,4
5,07:00,09:30,5
5,07:00,11:30,6
5,07:00,11:30,7
5,07:00,11:30,8
5,15:00,17:30,1
5,15:00,17:30,2
5,15:00,17:30,3
5,15:00,17:30,4
5,15:00,19:30,5
5,15:00,19:30,6
5,15:00,19:30,7
5,15:00,19:30,8
5,23:00,01:30,4
5,23:00,01:30,5
5,23:00,01:30,6
5,23:00,01:30,7
5,23:00,01:30,8
6,01:00,03:30,8
6,07:00,09:30,3
6,07:00,09:30,4
6,07:00,09:30,5
6,07:00,09:30,6
6,07:00,11:30,7
6,07:00,11:30,8
6,15:00,17:30,2
6,15:00,17:30,3
6,15:00,17:30,4
6,15:00,17:30,5
6,15:00,19:30,6
6,15:00,19:30,7
6,15:00,19:30,8
6,23:00,01:30,1
6,23:00,01:30,2
6,23:00,01:30,3
6,23:00,01:30,4
6,23:00,01:30,5
6,23:00,01:30,6
6,23:00,01:30,7
6,23:00,01:30,8
7,01:00,03:30,5
7,01:00,03:30,6
7,01:00,03:30,7
7,01:00,03:30,8
7,07:00,09:30,4
7,07:00,09:30,5
7,07:00,09:30,6
7,07:00,09:30,7
7,07:00,11:30,8
7,15:00,17:30,3
7,15:00,17:30,4
7,15:00,17:30,5
7,15:00,17:30,6
7,15:00,19:30,7
7,15:00,19:30,8
7,23:00,01:30,2
7,23:00,01:30,3
7,23:00,01:30,4
7,23:00,01:30,5
7,23:00,01:30,6
7,23:00,01:30,7
7,23:00,01:30,8
8,01:00,03:30,6
8,01:00,03:30,7
8,01:00,03:30,8
8,07:00,09:30,1
8,07:00,09:30,2
