date_of_month,start_time,finsh_time,stage
1,01:00,03:30,1
1,01:00,03:30,2
1,01:00,03:30,3
1,03:00,05:30,1
1,03:00,05:30,2
1,03:00,05:30,3
1,03:00,05:30,4
1,03:00,05:30,5
1,03:00,05:30,6
1,03:00,05:30,7
1,05:00,07:30,0
1,07:00,09:30,0
1,09:00,11:30,1
1,09:00,11:30,2
1,11:00,13:30,1
1,11:00,13:30,2
1,11:00,13:30,3
1,11:00,13:30,4
1,11:00,13:30,5
1,11:00,13:30,6
1,13:00,15:30,0
1,15:00,17:30,0
1,17:00,19:30,1
1,19:00,21:30,1
1,19:00,21:30,2
1,19:00,21:30,3
1,19:00,21:30,4
1,19:00,21:30,5
1,21:00,23:30,0
1,23:00,01:30,0
2,01:00,03:30,1
2,01:00,03:30,2
2,01:00,03:30,3
2,01:00,03:30,4
2,03:00,05:30,1
2,03:00,05:30,2
2,03:00,05:30,3
2,03:00,05:30,4
2,03:00,05:30,5
2,03:00,05:30,6
2,03:00,05:30,7
2,03:00,05:30,8
2,05:00,07:30,0
2,07:00,09:30,0
2,09:00,11:30,1
2,09:00,11:30,2
2,09:00,11:30,3
2,11:00,13:30,1
2,11:00,13:30,2
2,11:00,13:30,3
2,11:00,13:30,4
2,11:00,13:30,5
2,11:00,13:30,6
2,11:00,13:30,7
2,13:00,15:30,0
2,15:00,17:30,0
2,17:00,19:30,1
2,17:00,19:30,2
2,19:00,21:30,1
2,19:00,21:30,2
2,19:00,21:30,3
2,19:00,21:30,4
2,19:00,21:30,5
2,19:00,21:30,6
2,21:00,23:30,0
2,23:00,01:30,0
3,01:00,03:30,1
3,03:00,05:30,1
3,03:00,05:30,2
3,03:00,05:30,3
3,03:00,05:30,4
3,03:00,05:30,5
3,05:00,07:30,0
3,07:00,09:30,0
3,09:00,11:30,1
3,09:00,11:30,2
3,09:00,11:30,3
3,09:00,11:30,4
3,11:00,13:30,1
3,11:00,13:30,2
3,11:00,13:30,3
3,11:00,13:30,4
3,11:00,13:30,5
3,11:00,13:30,6
3,11:00,13:30,7
3,11:00,13:30,8
3,13:00,15:30,0
3,15:00,17:30,0
3,17:00,19:30,1
3,17:00,19:30,2
3,17:00,19:30,3
3,19:00,21:30,1
3,19:00,21:30,2
3,19:00,21:30,3
3,19:00,21:30,4
3,19:00,21:30,5
3,19:00,21:30,6
3,19:00,21:30,7
3,21:00,23:30,0
3,23:00,01:30,0
4,01:00,03:30,1
4,01:00,03:30,2
4,03:00,05:30,1
4,03:00,05:30,2
4,03:00,05:30,3
4,03:00,05:30,4
4,03:00,05:30,5
4,03:00,05:30,6
4,05:00,07:30,0
4,07:00,09:30,0
4,09:00,11:30,1
4,11:00,13:30,1
4,11:00,13:30,2
4,11:00,13:30,3
4,11:00,13:30,4
4,11:00,13:30,5
4,13:00,15:30,0
4,15:00,17:30,0
4,17:00,19:30,1
4,17:00,19:30,2
4,17:00,19:30,3
4,17:00,19:30,4
4,19:00,21:30,1
4,19:00,21:30,2
4,19:00,21:30,3
4,19:00,21:30,4
4,19:00,21:30,5
4,19:00,21:30,6
4,19:00,21:30,7
4,19:00,21:30,8
4,21:00,23:30,0
4,23:00,01:30,0
5,01:00,03:30,0
5,03:00,05:30,0
5,05:00,07:30,0
5,07:00,09:30,1
5,07:00,09:30,2
5,09:00,11:30,1
5,09:00,11:30,2
5,09:00,11:30,3
5,09:00,11:30,4
5,09:00,11:30,5
5,09:00,11:30,6
5,11:00,13:30,0
5,13:00,15:30,0
5,15:00,17:30,1
5,17:00,19:30,1
5,17:00,19:30,2
5,17:00,19:30,3
5,17:00,19:30,4
5,17:00,19:30,5
5,19:00,21:30,0
5,21:00,23:30,0
5,23:00,01:30,1
5,23:00,01:30,2
5,23:00,01:30,3
5,23:00,01:30,4
6,01:00,03:30,1
6,01:00,03:30,2
6,01:00,03:30,3
6,01:00,03:30,4
6,01:00,03:30,5
6,01:00,03:30,6
6,01:00,03:30,7
6,01:00,03:30,8
6,03:00,05:30,0
6,05:00,07:30,0
6,07:00,09:30,1
6,07:00,09:30,2
6,07:00,09:30,3
6,09:00,11:30,1
6,09:00,11:30,2
6,09:00,11:30,3
6,09:00,11:30,4
6,09:00,11:30,5
6,09:00,11:30,6
6,09:00,11:30,7
6,11:00,13:30,0
6,13:00,15:30,0
6,15:00,17:30,1
6,15:00,17:30,2
6,17:00,19:30,1
6,17:00,19:30,2
6,17:00,19:30,3
6,17:00,19:30,4
6,17:00,19:30,5
6,17:00,19:30,6
6,19:00,21:30,0
6,21:00,23:30,0
6,23:00,01:30,1
7,01:00,03:30,1
7,01:00,03:30,2
7,01:00,03:30,3
7,01:00,03:30,4
7,01:00,03:30,5
7,03:00,05:30,0
7,05:00,07:30,0
7,07:00,09:30,1
7,07:00,09:30,2
7,07:00,09:30,3
7,07:00,09:30,4
7,09:00,11:30,1
7,09:00,11:30,2
7,09:00,11:30,3
7,09:00,11:30,4
7,09:00,11:30,5
7,09:00,11:30,6
7,09:00,11:30,7
7,09:00,11:30,8
7,11:00,13:30,0
7,13:00,15:30,0
7,15:00,17:30,1
7,15:00,17:30,2
7,15:00,17:30,3
7,17:00,19:30,1
7,17:00,19:30,2
7,17:00,19:30,3
7,17:00,19:30,4
7,17:00,19:30,5
7,17:00,19:30,6
7,17:00,19:30,7
7,19:00,21:30,0
7,21:00,23:30,0
7,23:00,01:30,1
7,23:00,01:30,2
8,01:00,03:30,1
8,01:00,03:30,2
8,01:00,03:30,3
8,01:00,03:30,4
8,01:00,03:30,5
8,01:00,03:30,6
8,03:00,05:30,0
8,05:00,07:30,0
8,07:00,09:30,1
8,09:00,11:30,1
8,09:00,11:30,2
8,09:00,11:30,3
8,09:00,11:30,4
8,09:00,11:30,5
8,11:00,13:30,0
8,13:00,15:30,0
8,15:00,17:30,1
8,15:00,17:30,2
8,15:00,17:30,3
8,15:00,17:30,4
8,17:00,19:30,1
8,17:00,19:30,2
8,17:00,19:30,3
8,17:00,19:30,4
8,17:00,19:30,5
8,17:00,19:30,6
8,17:00,19:30,7
8,17:00,19:30,8
8,19:00,21:30,0
8,21:00,23:30,0
8,23:00,01:30,1
8,23:00,01:30,2
8,23:00,01:30,3
9,01:00,03:30,1
9,01:00,03:30,2
9,01:00,03:30,3
9,01:00,03:30,4
9,01:00,03:30,5
9,01:00,03:30,6
9,01:00,03:30,7
9,03:00,05:30,0
9,05:00,07:30,1
9,05:00,07:30,2
9,07:00,09:30,1
9,07:00,09:30,2
9,07:00,09:30,3
9,07:00,09:30,4
9,07:00,09:30,5
9,07:00,09:30,6
9,09:00,11:30,0
9,11:00,13:30,0
9,13:00,15:30,1
9,15:00,17:30,1
9,15:00,17:30,2
9,15:00,17:30,3
9,15:00,17:30,4
9,15:00,17:30,5
9,17:00,19:30,0
9,19:00,21:30,0
9,21:00,23:30,1
9,21:00,23:30,2
9,21:00,23:30,3
9,21:00,23:30,4
9,23:00,01:30,1
9,23:00,01:30,2
9,23:00,01:30,3
9,23:00,01:30,4
9,23:00,01:30,5
9,23:00,01:30,6
9,23:00,01:30,7
9,23:00,01:30,8
10,01:00,03:30,0
10,03:00,05:30,0
10,05:00,07:30,1
10,05:00,07:30,2
10,05:00,07:30,3
10,07:00,09:30,1
10,07:00,09:30,2
10,07:00,09:30,3
10,07:00,09:30,4
10,07:00,09:30,5
10,07:00,09:30,6
10,07:00,09:30,7
10,09:00,11:30,0
10,11:00,13:30,0
10,13:00,15:30,1
10,13:00,15:30,2
10,15:00,17:30,1
10,15:00,17:30,2
10,15:00,17:30,3
10,15:00,17:30,4
10,15:00,17:30,5
10,15:00,17:30,6
10,17:00,19:30,0
10,19:00,21:30,0
10,21:00,23:30,1
10,23:00,01:30,1
10,23:00,01:30,2
10,23:00,01:30,3
10,23:00,01:30,4
10,23:00,01:30,5
11,01:00,03:30,0
11,03:00,05:30,0
11,05:00,07:30,1
11,05:00,07:30,2
