date_of_month,start_time,finsh_time,stage
1,03:00,05:30,1
1,03:00,05:30,2
1,03:00,05:30,3
1,03:00,05:30,4
1,03:00,07:30,5
1,03:00,07:30,6
1,03:00,07:30,7
1,03:00,07:30,8
1,11:00,13:30,4
1,11:00,13:30,5
1,11:00,13:30,6
1,11:00,13:30,7
1,11:00,15:30,8
1,19:00,21:30,3
1,19:00,21:30,4
1,19:00,21:30,5
1,19:00,21:30,6
1,19:00,23:30,7
1,19:00,23:30,8
2,03:00,05:30,2
2,03:00,05:30,3
2,03:00,05:30,4
2,03:00,05:30,5
2,03:00,07:30,6
2,03:00,07:30,7
2,03:00,07:30,8
2,11:00,13:30,1
2,11:00,13:30,2
2,11:00,13:30,3
2,11:00,13:30,4
2,11:00,15:30,5
2,11:00,15:30,6
2,11:00,15:30,7
2,11:00,15:30,8
2,19:00,21:30,4
2,19:00,21:30,5
2,19:00,21:30,6
2,19:00,21:30,7
2,19:00,23:30,8
3,03:00,05:30,3
3,03:00,05:30,4
3,03:00,05:30,5
3,03:00,05:30,6
3,03:00,07:30,7
3,03:00,07:30,8
3,11:00,13:30,2
3,11:00,13:30,3
3,11:00,13:30,4
3,11:00,13:30,5
3,11:00,15:30,6
3,11:00,15:30,7
3,11:00,15:30,8
3,19:00,21:30,1
3,19:00,21:30,2
3,19:00,21:30,3
3,19:00,21:30,4
3,19:00,23:30,5
3,19:00,23:30,6
3,19:00,23:30,7
3,19:00,23:30,8
4,03:00,05:30,4
4,03:00,05:30,5
4,03:00,05:30,6
4,03:00,05:30,7
4,03:00,07:30,8
4,11:00,13:30,3
4,11:00,13:30,4
4,11:00,13:30,5
4,11:00,13:30,6
4,11:00,15:30,7
4,11:00,15:30,8
4,19:00,21:30,2
4,19:00,21:30,3
4,19:00,21:30,4
4,19:00,21:30,5
4,19:00,23:30,6
4,19:00,23:30,7
4,19:00,23:30,8
5,01:00,03:30,1
5,01:00,03:30,2
5,01:00,03:30,3
5,01:00,03:30,4
5,01:00,05:30,5
5,01:00,05:30,6
5,01:00,05:30,7
5,01:00,05:30,8
5,09:00,11:30,4
5,09:00,11:30,5
5,09:00,11:30,6
5,09:00,11:30,7
5,09:00,13:30,8
5,17:00,19:30,3
5,17:00,19:30,4
5,17:00,19:30,5
5,17:00,19:30,6
5,17:00,21:30,7
5,17:00,21:30,8
6,01:00,03:30,2
6,01:00,03:30,3
6,01:00,03:30,4
6,01:00,03:30,5
6,01:00,05:30,6
6,01:00,05:30,7
6,01:00,05:30,8
6,09:00,11:30,1
6,09:00,11:30,2
6,09:00,11:30,3
6,09:00,11:30,4
6,09:00,13:30,5
6,09:00,13:30,6
6,09:00,13:30,7
6,09:00,13:30,8
6,17:00,19:30,4
6,17:00,19:30,5
6,17:00,19:30,6
6,17:00,19:30,7
6,17:00,21:30,8
7,01:00,03:30,3
7,01:00,03:30,4
7,01:00,03:30,5
7,01:00,03:30,6
7,01:00,05:30,7
7,01:00,05:30,8
7,09:00,11:30,2
7,09:00,11:30,3
7,09:00,11:30,4
7,09:00,11:30,5
7,09:00,13:30,6
7,09:00,13:30,7
7,09:00,13:30,8
7,17:00,19:30,1
7,17:00,19:30,2
7,17:00,19:30,3
7,17:00,19:30,4
7,17:00,21:30,5
7,17:00,21:30,6
7,17:00,21:30,7
7,17:00,21:30,8
8,01:00,03:30,4
8,01:00,03:30,5
8,01:00,03:30,6
8,01:00,03:30,7
8,01:00,05:30,8
8,09:00,11:30,3
8,09:00,11:30,4
8,09:00,11:30,5
8,09:00,11:30,6
8,09:00,13:30,7
8,09:00,13:30,8
8,17:00,19:30,2
8,17:00,19:30,3
8,17:00,19:30,4
8,17:00,19:30,5
8,17:00,21:30,6
8,17:00,21:30,7
8,17:00,21:30,8
9,07:00,09:30,4
9,07:00,09:30,5
9,07:00,09:30,6
9,07:00,09:30,7
9,07:00,11:30,8
9,15:00,17:30,3
9,15:00,17:30,4
9,15:00,17:30,5
9,15:00,17:30,6
9,15:00,19:30,7
9,15:00,19:30,8
9,23:00,01:30,2
9,23:00,01:30,3
9,23:00,01:30,4
9,23:00,01:30,5
9,23:00,01:30,6
9,23:00,01:30,7
9,23:00,01:30,8
10,01:00,03:30,6
10,01:00,03:30,7
10,01:00,03:30,8
10,07:00,09:30,1
10,07:00,09:30,2
10,07:00,09:30,3
10,07:00,09:30,4
10,07:00,11:30,5
10,07:00,11:30,6
10,07:00,11:30,7
10,07:00,11:30,8
10,15:00,17:30,4
10,15:00,17:30,5
10,15:00,17:30,6
10,15:00,17:30,7
10,15:00,19:30,8
10,23:00,01:30,3
10,23:00,01:30,4
10,23:00,01:30,5
10,23:00,01:30,6
10,23:00,01:30,7
10,23:00,01:30,8
11,01:00,03:30,7
11,01:00,03:30,8
11,07:00,09:30,2
11,07:00,09:30,3
11,07:00,09:30,4
11,07:00,09:30,5
11,07:00,11:30,6
11,07:00,11:30,7
11,07:00,11:30,8
11,15:00,17:30,1
11,15:00,17:30,2
11,15:00,17:30,3
11,15:00,17:30,4
11,15:00,19:30,5
11,15:00,19:30,6
11,15:00,19:30,7
11,15:00,19:30,8
11,23:00,01:30,4
11,23:00,01:30,5
11,23:00,01:30,6
11,23:00,01:30,7
11,23:00,01:30,8
12,01:00,03:30,8
12,07:00,09:30,3
12,07:00,09:30,4
12,07:00,09:30,5
12,07:00,09:30,6
12,07:00,11:30,7
12,07:00,11:30,8
12,15:00,17:30,2
12,15:00,17:30,3
12,15:00,17:30,4
12,15:00,17:30,5
12,15:00,19:30,6
12,15:00,19:30,7
12,15:00,19:30,8
12,23:00,01:30,1
12,23:00,01:30,2
12,23:00,01:30,3
12,23:00,01:30,4
12,23:00,01:30,5
12,23:00,01:30,6
12,23:00,01:30,7
12,23:00,01:30,8
13,01:00,03:30,5
13,01:00,03:30,6
13,01:00,03:30,7
13,01:00,03:30,8
13,05:00,07:30,4
13,05:00,07:30,5
13,05:00,07:30,6
13,05:00,07:30,7
13,05:00,09:30,8
13,13:00,15:30,3
13,13:00,15:30,4
13,13:00,15:30,5
13,13:00,15:30,6
13,13:00,17:30,7
13,13:00,17:30,8
13,21:00,23:30,2
13,21:00,23:30,3
13,21:00,23:30,4
13,21:00,23:30,5
13,21:00,23:30,6
13,21:00,23:30,7
13,21:00,23:30,8
13,23:00,01:30,6
13,23:00,01:30,7
13,23:00,01:30,8
14,05:00,07:30,1
14,05:00,07:30,2
14,05:00,07:30,3
14,05:00,07:30,4
14,05:00,09:30,5
14,05:00,09:30,6
14,05:00,09:30,7
14,05:00,09:30,8
14,13:00,15:30,4
14,13:00,15:30,5
14,13:00,15:30,6
14,13:00,15:30,7
14,13:00,17:30,8
14,21:00,23:30,3
14,21:00,23:30,4
14,21:00,23:30,5
14,21:00,23:30,6
14,21:00,23:30,7
14,21:00,23:30,8
14,23:00,01:30,7
14,23:00,01:30,8
15,05:00,07:30,2
15,05:00,07:30,3
15,05:00,07:30,4
15,05:00,07:30,5
15,05:00,09:30,6
15,05:00,09:30,7
15,05:00,09:30,8
15,13:00,15:30,1
15,13:00,15:30,2
15,13:00,15:30,3
15,13:00,15:30,4
15,13:00,17:30,5
15,13:00,17:30,6
15,13:00,17:30,7
15,13:00,17:30,8
15,21:00,23:30,4
15,21:00,23:30,5
15,21:00,23:30,6
15,21:00,23:30,7
15,21:00,23:30,8
15,23:00,01:30,8
16,05:00,07:30,3
16,05:00,07:30,4
16,05:00,07:30,5
16,05:00,07:30,6
16,05:00,09:30,7
16,05:00,09:30,8
16,13:00,15:30,2
16,13:00,15:30,3
16,13:00,15:30,4
16,13:00,15:30,5
16,13:00,17:30,6
16,13:00,17:30,7
16,13:00,17:30,8
16,21:00,23:30,1
16,21:00,23:30,2
16,21:00,23:30,3
16,21:00,23:30,4
16,21:00,23:30,5
16,21:00,23:30,6
16,21:00,23:30,7
16,21:00,23:30,8
16,23:00,01:30,5
16,23:00,01:30,6
16,23:00,01:30,7
16,23:00,01:30,8
17,03:00,05:30,4
17,03:00,05:30,5
17,03:00,05:30,6
17,03:00,05:30,7
17,03:00,07:30,8
17,11:00,13:30,3
17,11:00,13:30,4
17,11:00,13:30,5
17,11:00,13:30,6
17,11:00,15:30,7
17,11:00,15:30,8
17,19:00,21:30,2
17,19:00,21:30,3
17,19:00,21:30,4
17,19:00,21:30,5
