day_of_week,start_time,finsh_time,stage
1,02:00,04:00,5
1,02:00,04:00,6
1,02:00,04:00,7
1,02:00,04:00,8
1,10:00,12:00,1
1,10:00,12:00,2
1,10:00,12:00,3
1,10:00,12:00,4
1,10:00,12:00,5
1,10:00,12:00,6
1,10:00,12:00,7
1,10:00,12:00,8
1,14:00,16:00,5
1,14:00,16:00,6
1,14:00,16:00,7
1,14:00,16:00,8
1,22:00,00:00,1
1,22:00,00:00,2
1,22:00,00:00,3
1,22:00,00:00,4
1,22:00,00:00,5
1,22:00,00:00,6
1,22:00,00:00,7
1,22:00,00:00,8
2,02:00,04:00,5
2,02:00,04:00,6
2,02:00,04:00,7
2,02:00,04:00,8
2,12:00,14:00,1
2,12:00,14:00,2
2,12:00,14:00,3
2,12:00,14:00,4
2,12:00,14:00,5
2,12:00,14:00,6
2,12:00,14:00,7
2,12:00,14:00,8
2,16:00,18:00,5
2,16:00,18:00,6
2,16:00,18:00,7
2,16:00,18:00,8
3,00:00,02:00,1
3,00:00,02:00,2
3,00:00,02:00,3
3,00:00,02:00,4
3,00:00,02:00,5
3,00:00,02:00,6
3,00:00,02:00,7
3,00:00,02:00,8
3,04:00,06:00,5
3,04:00,06:00,6
3,04:00,06:00,7
3,04:00,06:00,8
3,14:00,16:00,1
3,14:00,16:00,2
3,14:00,16:00,3
3,14:00,16:00,4
3,14:00,16:00,5
3,14:00,16:00,6
3,14:00,16:00,7
3,14:00,16:00,8
3,18:00,20:00,5
3,18:00,20:00,6
3,18:00,20:00,7
3,18:00,20:00,8
4,02:00,04:00,1
4,02:00,04:00,2
4,02:00,04:00,3
4,02:00,04:00,4
4,02:00,04:00,6
4,02:00,04:00,7
4,02:00,04:00,8
4,02:00,04:00,8
4,08:00,10:00,5
4,08:00,10:00,5
4,08:00,10:00,6
4,08:00,10:00,7
4,16:00,18:00,1
4,16:00,18:00,2
4,16:00,18:00,3
4,16:00,18:00,4
4,16:00,18:00,5
4,16:00,18:00,6
4,16:00,18:00,7
4,16:00,18:00,8
4,20:00,22:00,5
4,20:00,22:00,6
4,20:00,22:00,7
4,20:00,22:00,8
5,04:00,06:00,1
5,04:00,06:00,2
5,04:00,06:00,3
5,04:00,06:00,4
5,04:00,06:00,5
5,04:00,06:00,6
5,04:00,06:00,7
5,04:00,06:00,8
5,10:00,12:00,5
5,10:00,12:00,6
5,10:00,12:00,7
5,10:00,12:00,8
5,18:00,20:00,1
5,18:00,20:00,2
5,18:00,20:00,3
5,18:00,20:00,4
5,18:00,20:00,5
5,18:00,20:00,6
5,18:00,20:00,7
5,18:00,20:00,8
5,22:00,00:00,5
5,22:00,00:00,6
5,22:00,00:00,7
5,22:00,00:00,8
6,08:00,10:00,1
6,08:00,10:00,2
6,08:00,10:00,3
6,08:00,10:00,4
6,08:00,10:00,5
6,08:00,10:00,6
6,08:00,10:00,7
6,08:00,10:00,8
6,12:00,14:00,5
6,12:00,14:00,6
6,12:00,14:00,7
6,12:00,14:00,8
6,20:00,22:00,1
6,20:00,22:00,2
6,20:00,22:00,3
6,20:00,22:00,4
6,20:00,22:00,5
6,20:00,22:00,6
6,20:00,22:00,7
6,20:00,22:00,8
7,02:00,04:00,1
7,02:00,04:00,2
7,02:00,04:00,3
7,02:00,04:00,4
7,02:00,04:00,5
7,02:00,04:00,6
7,02:00,04:00,7
7,02:00,04:00,8
7,08:00,10:00,5
7,08:00,10:00,6
7,08:00,10:00,7
7,08:00,10:00,8
7,16:00,18:00,1
7,16:00,18:00,2
7,16:00,18:00,3
7,16:00,18:00,4
7,16:00,18:00,5
7,16:00,18:00,6
7,16:00,18:00,7
7,16:00,18:00,8
7,20:00,22:00,5
7,20:00,22:00,6
7,20:00,22:00,7
7,20:00,22:00,8
