day_of_week,start_time,finsh_time,stage
1,08:00,10:00,1
1,08:00,10:00,2
1,08:00,10:00,3
1,08:00,10:00,4
1,08:00,10:00,5
1,08:00,10:00,6
1,08:00,10:00,7
1,08:00,10:00,8
1,18:00,22:00,5
1,18:00,22:00,6
1,18:00,22:00,7
1,18:00,22:00,8
1,20:00,22:00,1
1,20:00,22:00,2
1,20:00,22:00,3
1,20:00,22:00,4
2,08:00,12:00,5
2,08:00,12:00,6
2,08:00,12:00,7
2,08:00,12:00,8
2,10:00,12:00,1
2,10:00,12:00,2
2,10:00,12:00,3
2,10:00,12:00,4
2,20:00,00:00,5
2,20:00,00:00,6
2,20:00,00:00,7
2,20:00,00:00,8
2,22:00,00:00,1
2,22:00,00:00,2
2,22:00,00:00,3
2,22:00,00:00,4
3,10:00,14:00,5
3,10:00,14:00,6
3,10:00,14:00,7
3,10:00,14:00,8
3,12:00,14:00,1
3,12:00,14:00,2
3,12:00,14:00,3
3,12:00,14:00,4
3,22:00,00:00,5
3,22:00,00:00,6
3,22:00,00:00,7
3,22:00,00:00,8
4,00:00,02:00,1
4,00:00,02:00,2
4,00:00,02:00,3
4,00:00,02:00,4
4,00:00,02:00,5
4,00:00,02:00,6
4,00:00,02:00,7
4,00:00,02:00,8
4,12:00,16:00,5
4,12:00,16:00,6
4,12:00,16:00,7
4,12:00,16:00,8
4,14:00,16:00,1
4,14:00,16:00,2
4,14:00,16:00,3
4,14:00,16:00,4
5,00:00,04:00,5
5,00:00,04:00,6
5,00:00,04:00,7
5,00:00,04:00,8
5,02:00,04:00,1
5,02:00,04:00,2
5,02:00,04:00,3
5,02:00,04:00,4
5,14:00,18:00,5
5,14:00,18:00,6
5,14:00,18:00,7
5,14:00,18:00,8
5,16:00,18:00,1
5,16:00,18:00,2
5,16:00,18:00,3
5,16:00,18:00,4
6,02:00,06:00,5
6,02:00,06:00,6
6,02:00,06:00,7
6,02:00,06:00,8
6,04:00,06:00,1
6,04:00,06:00,2
6,04:00,06:00,3
6,04:00,06:00,4
6,16:00,20:00,5
6,16:00,20:00,6
6,16:00,20:00,7
6,16:00,20:00,8
6,18:00,20:00,1
6,18:00,20:00,2
6,18:00,20:00,3
6,18:00,20:00,4
7,00:00,02:00,1
7,00:00,02:00,2
7,00:00,02:00,3
7,00:00,02:00,4
7,00:00,02:00,5
7,00:00,02:00,6
7,00:00,02:00,7
7,00:00,02:00,8
7,12:00,16:00,5
7,12:00,16:00,6
7,12:00,16:00,7
7,12:00,16:00,8
7,14:00,16:00,1
7,14:00,16:00,2
7,14:00,16:00,3
7,14:00,16:00,4
