day_of_week,start_time,finsh_time,stage
1,00:00,02:00,1
1,00:00,02:00,2
1,00:00,02:00,3
1,00:00,02:00,4
1,12:00,14:00,1
1,12:00,14:00,2
1,12:00,14:00,3
1,12:00,14:00,4
2,00:00,02:00,1
2,00:00,02:00,2
2,00:00,02:00,3
2,00:00,02:00,4
2,14:00,16:00,1
2,14:00,16:00,2
2,14:00,16:00,3
2,14:00,16:00,4
3,02:00,04:00,1
3,02:00,04:00,2
3,02:00,04:00,3
3,02:00,04:00,4
3,16:00,18:00,1
3,16:00,18:00,2
3,16:00,18:00,3
3,16:00,18:00,4
4,04:00,06:00,1
4,04:00,06:00,2
4,04:00,06:00,3
4,04:00,06:00,4
4,18:00,20:00,1
4,18:00,20:00,2
4,18:00,20:00,3
4,18:00,20:00,4
5,08:00,10:00,1
5,08:00,10:00,2
5,08:00,10:00,3
5,08:00,10:00,4
5,20:00,22:00,1
5,20:00,22:00,2
5,20:00,22:00,3
5,20:00,22:00,4
6,10:00,12:00,1
6,10:00,12:00,2
6,10:00,12:00,3
6,10:00,12:00,4
6,22:00,00:00,1
6,22:00,00:00,2
6,22:00,00:00,3
6,22:00,00:00,4
7,04:00,06:00,1
7,04:00,06:00,2
7,04:00,06:00,3
7,04:00,06:00,4
7,18:00,20:00,1
7,18:00,20:00,2
7,18:00,20:00,3
7,18:00,20:00,4
