day_of_week,start_time,finsh_time,stage
1,00:00,02:00,5
1,00:00,02:00,6
1,00:00,02:00,7
1,00:00,02:00,8
1,04:00,06:00,1
1,04:00,06:00,2
1,04:00,06:00,3
1,04:00,06:00,4
1,04:00,06:00,5
1,04:00,06:00,6
1,04:00,06:00,7
1,04:00,06:00,8
1,12:00,14:00,5
1,12:00,14:00,6
1,12:00,14:00,7
1,12:00,14:00,8
1,16:00,18:00,1
1,16:00,18:00,2
1,16:00,18:00,3
1,16:00,18:00,4
1,16:00,18:00,5
1,16:00,18:00,6
1,16:00,18:00,7
1,16:00,18:00,8
2,00:00,02:00,5
2,00:00,02:00,6
2,00:00,02:00,7
2,00:00,02:00,8
2,04:00,06:00,1
2,04:00,06:00,2
2,04:00,06:00,3
2,04:00,06:00,4
2,04:00,06:00,5
2,04:00,06:00,6
2,04:00,06:00,7
2,04:00,06:00,8
2,14:00,16:00,5
2,14:00,16:00,6
2,14:00,16:00,7
2,14:00,16:00,8
2,18:00,20:00,1
2,18:00,20:00,2
2,18:00,20:00,3
2,18:00,20:00,4
2,18:00,20:00,5
2,18:00,20:00,6
2,18:00,20:00,7
2,18:00,20:00,8
3,02:00,04:00,5
3,02:00,04:00,6
3,02:00,04:00,7
3,02:00,04:00,8
3,08:00,10:00,1
3,08:00,10:00,2
3,08:00,10:00,3
3,08:00,10:00,4
3,08:00,10:00,5
3,08:00,10:00,6
3,08:00,10:00,7
3,08:00,10:00,8
3,16:00,18:00,5
3,16:00,18:00,6
3,16:00,18:00,7
3,16:00,18:00,8
3,20:00,22:00,1
3,20:00,22:00,2
3,20:00,22:00,3
3,20:00,22:00,4
3,20:00,22:00,5
3,20:00,22:00,6
3,20:00,22:00,7
3,20:00,22:00,8
4,04:00,06:00,5
4,04:00,06:00,6
4,04:00,06:00,7
4,04:00,06:00,8
4,10:00,12:00,1
4,10:00,12:00,2
4,10:00,12:00,3
4,10:00,12:00,4
4,10:00,12:00,5
4,10:00,12:00,6
4,10:00,12:00,7
4,10:00,12:00,8
4,18:00,20:00,5
4,18:00,20:00,6
4,18:00,20:00,7
4,18:00,20:00,8
4,22:00,00:00,1
4,22:00,00:00,2
4,22:00,00:00,3
4,22:00,00:00,4
4,22:00,00:00,5
4,22:00,00:00,6
4,22:00,00:00,7
4,22:00,00:00,8
5,08:00,10:00,5
5,08:00,10:00,6
5,08:00,10:00,7
5,08:00,10:00,8
5,12:00,14:00,1
5,12:00,14:00,2
5,12:00,14:00,3
5,12:00,14:00,4
5,12:00,14:00,5
5,12:00,14:00,6
5,12:00,14:00,7
5,12:00,14:00,8
5,20:00,22:00,5
5,20:00,22:00,6
5,20:00,22:00,7
5,20:00,22:00,8
6,00:00,02:00,1
6,00:00,02:00,2
6,00:00,02:00,3
6,00:00,02:00,4
6,00:00,02:00,5
6,00:00,02:00,6
6,00:00,02:00,7
6,00:00,02:00,8
6,10:00,12:00,5
6,10:00,12:00,6
6,10:00,12:00,7
6,10:00,12:00,8
6,14:00,16:00,1
6,14:00,16:00,2
6,14:00,16:00,3
6,14:00,16:00,4
6,14:00,16:00,5
6,14:00,16:00,6
6,14:00,16:00,7
6,14:00,16:00,8
6,22:00,00:00,5
6,22:00,00:00,6
6,22:00,00:00,7
6,22:00,00:00,8
7,04:00,06:00,5
7,04:00,06:00,6
7,04:00,06:00,7
7,04:00,06:00,8
7,10:00,12:00,1
7,10:00,12:00,2
7,10:00,12:00,3
7,10:00,12:00,4
7,10:00,12:00,5
7,10:00,12:00,6
7,10:00,12:00,7
7,10:00,12:00,8
7,22:00,00:00,1
7,22:00,00:00,2
7,22:00,00:00,3
7,22:00,00:00,4
7,22:00,00:00,5
7,22:00,00:00,6
7,22:00,00:00,7
7,22:00,00:00,8
