day_of_cycle ,period_of_cycle ,start_of_cycle ,start_time ,finsh_time ,stage
           1 ,             19 ,2023-09-15     ,02:00      ,04:30      ,    3
           1 ,             19 ,2023-09-15     ,02:00      ,04:30      ,    4
           1 ,             19 ,2023-09-15     ,02:00      ,04:30      ,    5
           1 ,             19 ,2023-09-15     ,02:00      ,04:30      ,    6
           1 ,             19 ,2023-09-15     ,02:00      ,04:30      ,    7
           1 ,             19 ,2023-09-15     ,02:00      ,04:30      ,    8
           1 ,             19 ,2023-09-15     ,12:00      ,14:30      ,    2
           1 ,             19 ,2023-09-15     ,12:00      ,14:30      ,    3
           1 ,             19 ,2023-09-15     ,12:00      ,14:30      ,    4
           1 ,             19 ,2023-09-15     ,12:00      ,14:30      ,    5
           1 ,             19 ,2023-09-15     ,12:00      ,14:30      ,    6
           1 ,             19 ,2023-09-15     ,12:00      ,14:30      ,    7
           1 ,             19 ,2023-09-15     ,12:00      ,14:30      ,    8
           1 ,             19 ,2023-09-15     ,22:00      ,00:30      ,    1
           1 ,             19 ,2023-09-15     ,22:00      ,00:30      ,    2
           1 ,             19 ,2023-09-15     ,22:00      ,00:30      ,    3
           1 ,             19 ,2023-09-15     ,22:00      ,00:30      ,    4
           1 ,             19 ,2023-09-15     ,22:00      ,00:30      ,    5
           1 ,             19 ,2023-09-15     ,22:00      ,00:30      ,    6
           1 ,             19 ,2023-09-15     ,22:00      ,00:30      ,    7
           1 ,             19 ,2023-09-15     ,22:00      ,00:30      ,    8
           2 ,             19 ,2023-09-15     ,06:00      ,08:30      ,    4
           2 ,             19 ,2023-09-15     ,06:00      ,08:30      ,    5
           2 ,             19 ,2023-09-15     ,06:00      ,08:30      ,    6
           2 ,             19 ,2023-09-15     ,06:00      ,08:30      ,    7
           2 ,             19 ,2023-09-15     ,06:00      ,08:30      ,    8
           2 ,             19 ,2023-09-15     ,16:00      ,18:30      ,    3
           2 ,             19 ,2023-09-15     ,16:00      ,18:30      ,    4
           2 ,             19 ,2023-09-15     ,16:00      ,18:30      ,    5
           2 ,             19 ,2023-09-15     ,16:00      ,18:30      ,    6
           2 ,             19 ,2023-09-15     ,16:00      ,18:30      ,    7
           2 ,             19 ,2023-09-15     ,16:00      ,18:30      ,    8
           3 ,             19 ,2023-09-15     ,02:00      ,04:30      ,    2
           3 ,             19 ,2023-09-15     ,02:00      ,04:30      ,    3
           3 ,             19 ,2023-09-15     ,02:00      ,04:30      ,    4
           3 ,             19 ,2023-09-15     ,02:00      ,04:30      ,    5
           3 ,             19 ,2023-09-15     ,02:00      ,04:30      ,    6
           3 ,             19 ,2023-09-15     ,02:00      ,04:30      ,    7
           3 ,             19 ,2023-09-15     ,02:00      ,04:30      ,    8
           3 ,             19 ,2023-09-15     ,12:00      ,14:30      ,    1
           3 ,             19 ,2023-09-15     ,12:00      ,14:30      ,    2
           3 ,             19 ,2023-09-15     ,12:00      ,14:30      ,    3
           3 ,             19 ,2023-09-15     ,12:00      ,14:30      ,    4
           3 ,             19 ,2023-09-15     ,12:00      ,14:30      ,    5
           3 ,             19 ,2023-09-15     ,12:00      ,14:30      ,    6
           3 ,             19 ,2023-09-15     ,12:00      ,14:30      ,    7
           3 ,             19 ,2023-09-15     ,12:00      ,14:30      ,    8
           3 ,             19 ,2023-09-15     ,20:00      ,22:30      ,    4
           3 ,             19 ,2023-09-15     ,20:00      ,22:30      ,    5
           3 ,             19 ,2023-09-15     ,20:00      ,22:30      ,    6
           3 ,             19 ,2023-09-15     ,20:00      ,22:30      ,    7
           3 ,             19 ,2023-09-15     ,20:00      ,22:30      ,    8
           4 ,             19 ,2023-09-15     ,06:00      ,08:30      ,    3
           4 ,             19 ,2023-09-15     ,06:00      ,08:30      ,    4
           4 ,             19 ,2023-09-15     ,06:00      ,08:30      ,    5
           4 ,             19 ,2023-09-15     ,06:00      ,08:30      ,    6
           4 ,             19 ,2023-09-15     ,06:00      ,08:30      ,    7
           4 ,             19 ,2023-09-15     ,06:00      ,08:30      ,    8
           4 ,             19 ,2023-09-15     ,16:00      ,18:30      ,    2
           4 ,             19 ,2023-09-15     ,16:00      ,18:30      ,    3
           4 ,             19 ,2023-09-15     ,16:00      ,18:30      ,    4
           4 ,             19 ,2023-09-15     ,16:00      ,18:30      ,    5
           4 ,             19 ,2023-09-15     ,16:00      ,18:30      ,    6
           4 ,             19 ,2023-09-15     ,16:00      ,18:30      ,    7
           4 ,             19 ,2023-09-15     ,16:00      ,18:30      ,    8
           5 ,             19 ,2023-09-15     ,02:00      ,04:30      ,    1
           5 ,             19 ,2023-09-15     ,02:00      ,04:30      ,    2
           5 ,             19 ,2023-09-15     ,02:00      ,04:30      ,    3
