date_of_month,start_time,finsh_time,stage
28,04:00,06:00,3
28,04:00,06:00,4
28,04:00,06:00,5
28,04:00,06:00,6
28,04:00,06:00,7
28,04:00,06:00,8
28,14:00,16:00,2
28,14:00,16:00,3
28,14:00,16:00,4
28,14:00,16:00,5
28,14:00,16:00,6
28,14:00,16:00,7
28,14:00,16:00,8
29,00:00,02:00,1
29,00:00,02:00,2
29,00:00,02:00,3
29,00:00,02:00,4
29,00:00,02:00,5
29,00:00,02:00,6
29,00:00,02:00,7
29,00:00,02:00,8
29,08:00,10:00,4
29,08:00,10:00,5
29,08:00,10:00,6
29,08:00,10:00,7
29,08:00,10:00,8
29,18:00,20:00,3
29,18:00,20:00,4
29,18:00,20:00,5
29,18:00,20:00,6
29,18:00,20:00,7
29,18:00,20:00,8
30,04:00,06:00,2
30,04:00,06:00,3
30,04:00,06:00,4
30,04:00,06:00,5
30,04:00,06:00,6
30,04:00,06:00,7
30,04:00,06:00,8
30,14:00,16:00,1
30,14:00,16:00,2
30,14:00,16:00,3
30,14:00,16:00,4
30,14:00,16:00,5
30,14:00,16:00,6
30,14:00,16:00,7
30,14:00,16:00,8
30,22:00,00:00,4
30,22:00,00:00,5
30,22:00,00:00,6
30,22:00,00:00,7
30,22:00,00:00,8
1,08:00,10:00,3
1,08:00,10:00,4
1,08:00,10:00,5
1,08:00,10:00,6
1,08:00,10:00,7
1,08:00,10:00,8
1,18:00,20:00,2
1,18:00,20:00,3
1,18:00,20:00,4
1,18:00,20:00,5
1,18:00,20:00,6
1,18:00,20:00,7
1,18:00,20:00,8
2,04:00,06:00,1
2,04:00,06:00,2
2,04:00,06:00,3
2,04:00,06:00,4
2,04:00,06:00,5
2,04:00,06:00,6
2,04:00,06:00,7
2,04:00,06:00,8
2,12:00,14:00,4
2,12:00,14:00,5
2,12:00,14:00,6
2,12:00,14:00,7
2,12:00,14:00,8
2,22:00,00:00,3
2,22:00,00:00,4
2,22:00,00:00,5
2,22:00,00:00,6
2,22:00,00:00,7
2,22:00,00:00,8
3,08:00,10:00,2
3,08:00,10:00,3
3,08:00,10:00,4
3,08:00,10:00,5
3,08:00,10:00,6
3,08:00,10:00,7
3,08:00,10:00,8
3,18:00,20:00,1
3,18:00,20:00,2
