date_of_month,start_time,finsh_time,stage
1,00:00,02:30,2
1,00:00,02:30,3
1,00:00,02:30,4
1,00:00,02:30,5
1,00:00,04:30,6
1,00:00,04:30,7
1,00:00,04:30,8
1,08:00,10:30,1
1,08:00,10:30,2
1,08:00,10:30,3
1,08:00,10:30,4
1,08:00,12:30,5
1,08:00,12:30,6
1,08:00,12:30,7
1,08:00,12:30,8
1,16:00,18:30,4
1,16:00,18:30,5
1,16:00,18:30,6
1,16:00,18:30,7
1,16:00,20:30,8
2,00:00,02:30,3
2,00:00,02:30,4
2,00:00,02:30,5
2,00:00,02:30,6
2,00:00,04:30,7
2,00:00,04:30,8
2,08:00,10:30,2
2,08:00,10:30,3
2,08:00,10:30,4
2,08:00,10:30,5
2,08:00,12:30,6
2,08:00,12:30,7
2,08:00,12:30,8
2,16:00,18:30,1
2,16:00,18:30,2
2,16:00,18:30,3
2,16:00,18:30,4
2,16:00,20:30,5
2,16:00,20:30,6
2,16:00,20:30,7
2,16:00,20:30,8
3,00:00,02:30,4
3,00:00,02:30,5
3,00:00,02:30,6
3,00:00,02:30,7
3,00:00,04:30,8
3,08:00,10:30,3
3,08:00,10:30,4
3,08:00,10:30,5
3,08:00,10:30,6
3,08:00,12:30,7
3,08:00,12:30,8
3,16:00,18:30,2
3,16:00,18:30,3
3,16:00,18:30,4
3,16:00,18:30,5
3,16:00,20:30,6
3,16:00,20:30,7
3,16:00,20:30,8
4,00:00,02:30,1
4,00:00,02:30,2
4,00:00,02:30,3
4,00:00,02:30,4
4,00:00,04:30,5
4,00:00,04:30,6
4,00:00,04:30,7
4,00:00,04:30,8
4,08:00,10:30,4
4,08:00,10:30,5
4,08:00,10:30,6
4,08:00,10:30,7
4,08:00,12:30,8
4,16:00,18:30,3
4,16:00,18:30,4
4,16:00,18:30,5
4,16:00,18:30,6
4,16:00,20:30,7
4,16:00,20:30,8
5,06:00,08:30,1
5,06:00,08:30,2
5,06:00,08:30,3
5,06:00,08:30,4
5,06:00,10:30,5
5,06:00,10:30,6
5,06:00,10:30,7
5,06:00,10:30,8
5,14:00,16:30,4
5,14:00,16:30,5
5,14:00,16:30,6
5,14:00,16:30,7
5,14:00,18:30,8
5,22:00,00:30,3
5,22:00,00:30,4
5,22:00,00:30,5
5,22:00,00:30,6
5,22:00,00:30,7
5,22:00,00:30,8
6,00:00,02:30,7
6,00:00,02:30,8
6,06:00,08:30,2
6,06:00,08:30,3
6,06:00,08:30,4
6,06:00,08:30,5
6,06:00,10:30,6
6,06:00,10:30,7
6,06:00,10:30,8
6,14:00,16:30,1
6,14:00,16:30,2
6,14:00,16:30,3
6,14:00,16:30,4
6,14:00,18:30,5
6,14:00,18:30,6
6,14:00,18:30,7
6,14:00,18:30,8
6,22:00,00:30,4
6,22:00,00:30,5
6,22:00,00:30,6
6,22:00,00:30,7
6,22:00,00:30,8
7,00:00,02:30,8
7,06:00,08:30,3
7,06:00,08:30,4
7,06:00,08:30,5
7,06:00,08:30,6
7,06:00,10:30,7
7,06:00,10:30,8
7,14:00,16:30,2
7,14:00,16:30,3
7,14:00,16:30,4
7,14:00,16:30,5
7,14:00,18:30,6
7,14:00,18:30,7
7,14:00,18:30,8
7,22:00,00:30,1
7,22:00,00:30,2
7,22:00,00:30,3
7,22:00,00:30,4
7,22:00,00:30,5
7,22:00,00:30,6
7,22:00,00:30,7
7,22:00,00:30,8
8,00:00,02:30,5
8,00:00,02:30,6
8,00:00,02:30,7
8,00:00,02:30,8
8,06:00,08:30,4
8,06:00,08:30,5
8,06:00,08:30,6
8,06:00,08:30,7
8,06:00,10:30,8
8,14:00,16:30,3
8,14:00,16:30,4
8,14:00,16:30,5
8,14:00,16:30,6
8,14:00,18:30,7
8,14:00,18:30,8
8,22:00,00:30,2
8,22:00,00:30,3
8,22:00,00:30,4
8,22:00,00:30,5
8,22:00,00:30,6
8,22:00,00:30,7
8,22:00,00:30,8
9,00:00,02:30,6
9,00:00,02:30,7
9,00:00,02:30,8
9,04:00,06:30,1
9,04:00,06:30,2
9,04:00,06:30,3
9,04:00,06:30,4
9,04:00,08:30,5
9,04:00,08:30,6
9,04:00,08:30,7
9,04:00,08:30,8
9,12:00,14:30,4
9,12:00,14:30,5
9,12:00,14:30,6
9,12:00,14:30,7
9,12:00,16:30,8
9,20:00,22:30,3
9,20:00,22:30,4
9,20:00,22:30,5
9,20:00,22:30,6
9,20:00,22:30,7
9,20:00,22:30,8
9,22:00,00:30,7
9,22:00,00:30,8
10,04:00,06:30,2
10,04:00,06:30,3
10,04:00,06:30,4
10,04:00,06:30,5
10,04:00,08:30,6
10,04:00,08:30,7
10,04:00,08:30,8
10,12:00,14:30,1
10,12:00,14:30,2
10,12:00,14:30,3
10,12:00,14:30,4
10,12:00,16:30,5
10,12:00,16:30,6
10,12:00,16:30,7
10,12:00,16:30,8
10,20:00,22:30,4
10,20:00,22:30,5
10,20:00,22:30,6
10,20:00,22:30,7
10,20:00,22:30,8
10,22:00,00:30,8
11,04:00,06:30,3
11,04:00,06:30,4
11,04:00,06:30,5
11,04:00,06:30,6
11,04:00,08:30,7
11,04:00,08:30,8
11,12:00,14:30,2
11,12:00,14:30,3
11,12:00,14:30,4
11,12:00,14:30,5
11,12:00,16:30,6
11,12:00,16:30,7
11,12:00,16:30,8
11,20:00,22:30,1
11,20:00,22:30,2
11,20:00,22:30,3
11,20:00,22:30,4
11,20:00,22:30,5
11,20:00,22:30,6
11,20:00,22:30,7
11,20:00,22:30,8
11,22:00,00:30,5
11,22:00,00:30,6
11,22:00,00:30,7
11,22:00,00:30,8
12,04:00,06:30,4
12,04:00,06:30,5
12,04:00,06:30,6
12,04:00,06:30,7
12,04:00,08:30,8
12,12:00,14:30,3
12,12:00,14:30,4
12,12:00,14:30,5
12,12:00,14:30,6
12,12:00,16:30,7
12,12:00,16:30,8
12,20:00,22:30,2
12,20:00,22:30,3
12,20:00,22:30,4
12,20:00,22:30,5
12,20:00,22:30,6
12,20:00,22:30,7
12,20:00,22:30,8
12,22:00,00:30,6
12,22:00,00:30,7
12,22:00,00:30,8
13,02:00,04:30,1
13,02:00,04:30,2
13,02:00,04:30,3
13,02:00,04:30,4
13,02:00,06:30,5
13,02:00,06:30,6
13,02:00,06:30,7
13,02:00,06:30,8
13,10:00,12:30,4
13,10:00,12:30,5
13,10:00,12:30,6
13,10:00,12:30,7
13,10:00,14:30,8
13,18:00,20:30,3
13,18:00,20:30,4
13,18:00,20:30,5
13,18:00,20:30,6
13,18:00,22:30,7
13,18:00,22:30,8
14,02:00,04:30,2
14,02:00,04:30,3
14,02:00,04:30,4
14,02:00,04:30,5
14,02:00,06:30,6
14,02:00,06:30,7
14,02:00,06:30,8
14,10:00,12:30,1
14,10:00,12:30,2
14,10:00,12:30,3
14,10:00,12:30,4
14,10:00,14:30,5
14,10:00,14:30,6
14,10:00,14:30,7
14,10:00,14:30,8
14,18:00,20:30,4
14,18:00,20:30,5
14,18:00,20:30,6
14,18:00,20:30,7
14,18:00,22:30,8
15,02:00,04:30,3
15,02:00,04:30,4
15,02:00,04:30,5
15,02:00,04:30,6
15,02:00,06:30,7
15,02:00,06:30,8
15,10:00,12:30,2
15,10:00,12:30,3
15,10:00,12:30,4
15,10:00,12:30,5
15,10:00,14:30,6
15,10:00,14:30,7
15,10:00,14:30,8
15,18:00,20:30,1
15,18:00,20:30,2
15,18:00,20:30,3
15,18:00,20:30,4
15,18:00,22:30,5
15,18:00,22:30,6
15,18:00,22:30,7
15,18:00,22:30,8
16,02:00,04:30,4
16,02:00,04:30,5
16,02:00,04:30,6
16,02:00,04:30,7
16,02:00,06:30,8
16,10:00,12:30,3
16,10:00,12:30,4
16,10:00,12:30,5
16,10:00,12:30,6
16,10:00,14:30,7
16,10:00,14:30,8
16,18:00,20:30,2
16,18:00,20:30,3
16,18:00,20:30,4
16,18:00,20:30,5
16,18:00,22:30,6
16,18:00,22:30,7
16,18:00,22:30,8
17,00:00,02:30,1
17,00:00,02:30,2
17,00:00,02:30,3
17,00:00,02:30,4
17,00:00,04:30,5
17,00:00,04:30,6
17,00:00,04:30,7
17,00:00,04:30,8
17,08:00,10:30,4
17,08:00,10:30,5
17,08:00,10:30,6
17,08:00,10:30,7
17,08:00,12:30,8
17,16:00,18:30,3
17,16:00,18:30,4
17,16:00,18:30,5
17,16:00,18:30,6
17,16:00,20:30,7
17,16:00,20:30,8
18,00:00,02:30,2
18,00:00,02:30,3
18,00:00,02:30,4
18,00:00,02:30,5
18,00:00,04:30,6
18,00:00,04:30,7
18,00:00,04:30,8
18,08:00,10:30,1
18,08:00,10:30,2
18,08:00,10:30,3
18,08:00,10:30,4
18,08:00,12:30,5
18,08:00,12:30,6
18,08:00,12:30,7
18,08:00,12:30,8
18,16:00,18:30,4
18,16:00,18:30,5
18,16:00,18:30,6
18,16:00,18:30,7
18,16:00,20:30,8
19,00:00,02:30,3
19,00:00,02:30,4
19,00:00,02:30,5
19,00:00,02:30,6
19,00:00,04:30,7
19,00:00,04:30,8
19,08:00,10:30,2
19,08:00,10:30,3
19,08:00,10:30,4
19,08:00,10:30,5
19,08:00,12:30,6
19,08:00,12:30,7
19,08:00,12:30,8
19,16:00,18:30,1
19,16:00,18:30,2
19,16:00,18:30,3
19,16:00,18:30,4
19,16:00,20:30,5
19,16:00,20:30,6
19,16:00,20:30,7
19,16:00,20:30,8
20,00:00,02:30,4
20,00:00,02:30,5
20,00:00,02:30,6
20,00:00,02:30,7
20,00:00,04:30,8
20,08:00,10:30,3
20,08:00,10:30,4
20,08:00,10:30,5
20,08:00,10:30,6
20,08:00,12:30,7
20,08:00,12:30,8
20,16:00,18:30,2
20,16:00,18:30,3
20,16:00,18:30,4
20,16:00,18:30,5
20,16:00,20:30,6
20,16:00,20:30,7
20,16:00,20:30,8
21,06:00,08:30,4
21,06:00,08:30,5
21,06:00,08:30,6
21,06:00,08:30,7
21,06:00,10:30,8
21,14:00,16:30,3
21,14:00,16:30,4
21,14:00,16:30,5
21,14:00,16:30,6
21,14:00,18:30,7
21,14:00,18:30,8
21,22:00,00:30,2
21,22:00,00:30,3
21,22:00,00:30,4
21,22:00,00:30,5
21,22:00,00:30,6
21,22:00,00:30,7
21,22:00,00:30,8
22,00:00,02:30,6
22,00:00,02:30,7
22,00:00,02:30,8
22,06:00,08:30,1
22,06:00,08:30,2
22,06:00,08:30,3
22,06:00,08:30,4
22,06:00,10:30,5
22,06:00,10:30,6
22,06:00,10:30,7
22,06:00,10:30,8
22,14:00,16:30,4
22,14:00,16:30,5
22,14:00,16:30,6
22,14:00,16:30,7
22,14:00,18:30,8
22,22:00,00:30,3
22,22:00,00:30,4
22,22:00,00:30,5
22,22:00,00:30,6
22,22:00,00:30,7
22,22:00,00:30,8
23,00:00,02:30,7
23,00:00,02:30,8
23,06:00,08:30,2
23,06:00,08:30,3
23,06:00,08:30,4
23,06:00,08:30,5
23,06:00,10:30,6
23,06:00,10:30,7
23,06:00,10:30,8
23,14:00,16:30,1
23,14:00,16:30,2
23,14:00,16:30,3
23,14:00,16:30,4
23,14:00,18:30,5
23,14:00,18:30,6
23,14:00,18:30,7
23,14:00,18:30,8
23,22:00,00:30,4
23,22:00,00:30,5
23,22:00,00:30,6
23,22:00,00:30,7
23,22:00,00:30,8
24,00:00,02:30,8
24,06:00,08:30,3
24,06:00,08:30,4
24,06:00,08:30,5
24,06:00,08:30,6
24,06:00,10:30,7
24,06:00,10:30,8
24,14:00,16:30,2
24,14:00,16:30,3
24,14:00,16:30,4
24,14:00,16:30,5
24,14:00,18:30,6
24,14:00,18:30,7
24,14:00,18:30,8
24,22:00,00:30,1
24,22:00,00:30,2
24,22:00,00:30,3
24,22:00,00:30,4
24,22:00,00:30,5
24,22:00,00:30,6
24,22:00,00:30,7
24,22:00,00:30,8
25,00:00,02:30,5
25,00:00,02:30,6
25,00:00,02:30,7
25,00:00,02:30,8
25,04:00,06:30,4
25,04:00,06:30,5
25,04:00,06:30,6
25,04:00,06:30,7
25,04:00,08:30,8
25,12:00,14:30,3
25,12:00,14:30,4
25,12:00,14:30,5
25,12:00,14:30,6
25,12:00,16:30,7
25,12:00,16:30,8
25,20:00,22:30,2
25,20:00,22:30,3
25,20:00,22:30,4
25,20:00,22:30,5
25,20:00,22:30,6
25,20:00,22:30,7
25,20:00,22:30,8
25,22:00,00:30,6
25,22:00,00:30,7
25,22:00,00:30,8
26,04:00,06:30,1
26,04:00,06:30,2
26,04:00,06:30,3
26,04:00,06:30,4
26,04:00,08:30,5
26,04:00,08:30,6
26,04:00,08:30,7
26,04:00,08:30,8
26,12:00,14:30,4
26,12:00,14:30,5
26,12:00,14:30,6
26,12:00,14:30,7
26,12:00,16:30,8
26,20:00,22:30,3
26,20:00,22:30,4
26,20:00,22:30,5
26,20:00,22:30,6
26,20:00,22:30,7
26,20:00,22:30,8
26,22:00,00:30,7
26,22:00,00:30,8
27,04:00,06:30,2
27,04:00,06:30,3
27,04:00,06:30,4
27,04:00,06:30,5
27,04:00,08:30,6
27,04:00,08:30,7
27,04:00,08:30,8
27,12:00,14:30,1
27,12:00,14:30,2
27,12:00,14:30,3
27,12:00,14:30,4
27,12:00,16:30,5
27,12:00,16:30,6
27,12:00,16:30,7
27,12:00,16:30,8
27,20:00,22:30,4
27,20:00,22:30,5
27,20:00,22:30,6
27,20:00,22:30,7
27,20:00,22:30,8
27,22:00,00:30,8
28,04:00,06:30,3
28,04:00,06:30,4
28,04:00,06:30,5
28,04:00,06:30,6
28,04:00,08:30,7
28,04:00,08:30,8
28,12:00,14:30,2
28,12:00,14:30,3
28,12:00,14:30,4
28,12:00,14:30,5
28,12:00,16:30,6
28,12:00,16:30,7
28,12:00,16:30,8
28,20:00,22:30,1
28,20:00,22:30,2
28,20:00,22:30,3
28,20:00,22:30,4
28,20:00,22:30,5
28,20:00,22:30,6
28,20:00,22:30,7
28,20:00,22:30,8
28,22:00,00:30,5
28,22:00,00:30,6
28,22:00,00:30,7
28,22:00,00:30,8
29,02:00,04:30,4
29,02:00,04:30,5
29,02:00,04:30,6
29,02:00,04:30,7
29,02:00,06:30,8
29,10:00,12:30,3
29,10:00,12:30,4
29,10:00,12:30,5
29,10:00,12:30,6
29,10:00,14:30,7
29,10:00,14:30,8
29,18:00,20:30,2
29,18:00,20:30,3
29,18:00,20:30,4
29,18:00,20:30,5
29,18:00,22:30,6
29,18:00,22:30,7
29,18:00,22:30,8
30,02:00,04:30,1
30,02:00,04:30,2
30,02:00,04:30,3
30,02:00,04:30,4
30,02:00,06:30,5
30,02:00,06:30,6
30,02:00,06:30,7
30,02:00,06:30,8
30,10:00,12:30,4
30,10:00,12:30,5
30,10:00,12:30,6
30,10:00,12:30,7
30,10:00,14:30,8
30,18:00,20:30,3
30,18:00,20:30,4
30,18:00,20:30,5
30,18:00,20:30,6
30,18:00,22:30,7
30,18:00,22:30,8
31,02:00,04:30,2
31,02:00,04:30,3
31,02:00,04:30,4
31,02:00,04:30,5
31,02:00,06:30,6
31,02:00,06:30,7
31,02:00,06:30,8
31,10:00,12:30,1
31,10:00,12:30,2
31,10:00,12:30,3
31,10:00,12:30,4
31,10:00,14:30,5
31,10:00,14:30,6
31,10:00,14:30,7
31,10:00,14:30,8
31,18:00,20:30,4
31,18:00,20:30,5
31,18:00,20:30,6
31,18:00,20:30,7
31,18:00,22:30,8
