start_time,finsh_time,date_of_month,stage
00:00,02:30,1,0
00:00,02:30,2,6
00:00,02:30,3,7
00:00,02:30,4,8
00:00,02:30,5,5
00:00,02:30,6,0
00:00,02:30,7,0
00:00,02:30,8,0
00:00,02:30,9,0
00:00,02:30,10,0
00:00,02:30,11,0
00:00,02:30,12,0
00:00,02:30,13,4
00:00,02:30,14,1
00:00,02:30,15,2
00:00,02:30,16,3
00:00,02:30,17,0
00:00,02:30,18,5
00:00,02:30,19,6
00:00,02:30,20,7
00:00,02:30,21,8
00:00,02:30,22,0
00:00,02:30,23,0
00:00,02:30,24,0
00:00,02:30,25,0
00:00,02:30,26,0
00:00,02:30,27,0
00:00,02:30,28,0
00:00,02:30,29,3
00:00,02:30,30,4
00:00,02:30,31,1
02:00,04:30,1,0
02:00,04:30,2,0
02:00,04:30,3,0
02:00,04:30,4,0
02:00,04:30,5,0
02:00,04:30,6,0
02:00,04:30,7,0
02:00,04:30,8,0
02:00,04:30,9,4
02:00,04:30,10,1
02:00,04:30,11,2
02:00,04:30,12,3
02:00,04:30,13,8
02:00,04:30,14,5
02:00,04:30,15,6
02:00,04:30,16,7
02:00,04:30,17,0
02:00,04:30,18,0
02:00,04:30,19,0
02:00,04:30,20,0
02:00,04:30,21,0
02:00,04:30,22,0
02:00,04:30,23,0
02:00,04:30,24,0
02:00,04:30,25,3
02:00,04:30,26,4
02:00,04:30,27,1
02:00,04:30,28,2
02:00,04:30,29,7
02:00,04:30,30,8
02:00,04:30,31,5
04:00,06:30,1,0
04:00,06:30,2,0
04:00,06:30,3,0
04:00,06:30,4,0
04:00,06:30,5,4
04:00,06:30,6,1
04:00,06:30,7,2
04:00,06:30,8,3
04:00,06:30,9,8
04:00,06:30,10,5
04:00,06:30,11,6
04:00,06:30,12,7
04:00,06:30,13,0
04:00,06:30,14,0
04:00,06:30,15,0
04:00,06:30,16,0
04:00,06:30,17,0
04:00,06:30,18,0
04:00,06:30,19,0
04:00,06:30,20,0
04:00,06:30,21,3
04:00,06:30,22,4
04:00,06:30,23,1
04:00,06:30,24,2
04:00,06:30,25,7
04:00,06:30,26,8
04:00,06:30,27,5
04:00,06:30,28,6
04:00,06:30,29,0
04:00,06:30,30,0
04:00,06:30,31,0
06:00,08:30,1,4
06:00,08:30,2,1
06:00,08:30,3,2
06:00,08:30,4,3
06:00,08:30,5,8
06:00,08:30,6,5
06:00,08:30,7,6
06:00,08:30,8,7
06:00,08:30,9,0
06:00,08:30,10,0
06:00,08:30,11,0
06:00,08:30,12,0
06:00,08:30,13,0
06:00,08:30,14,0
06:00,08:30,15,0
06:00,08:30,16,0
06:00,08:30,17,3
06:00,08:30,18,4
06:00,08:30,19,1
06:00,08:30,20,2
06:00,08:30,21,7
06:00,08:30,22,8
06:00,08:30,23,5
06:00,08:30,24,6
06:00,08:30,25,0
06:00,08:30,26,0
06:00,08:30,27,0
06:00,08:30,28,0
06:00,08:30,29,0
06:00,08:30,30,0
06:00,08:30,31,0
08:00,10:30,1,8
08:00,10:30,2,5
08:00,10:30,3,6
08:00,10:30,4,7
08:00,10:30,5,0
08:00,10:30,6,0
08:00,10:30,7,0
08:00,10:30,8,0
08:00,10:30,9,0
08:00,10:30,10,0
08:00,10:30,11,0
08:00,10:30,12,0
08:00,10:30,13,3
08:00,10:30,14,4
08:00,10:30,15,1
08:00,10:30,16,2
08:00,10:30,17,7
08:00,10:30,18,8
08:00,10:30,19,5
08:00,10:30,20,6
08:00,10:30,21,0
08:00,10:30,22,0
08:00,10:30,23,0
08:00,10:30,24,0
08:00,10:30,25,0
08:00,10:30,26,0
08:00,10:30,27,0
08:00,10:30,28,0
08:00,10:30,29,2
08:00,10:30,30,3
08:00,10:30,31,4
10:00,12:30,1,0
10:00,12:30,2,0
10:00,12:30,3,0
10:00,12:30,4,0
10:00,12:30,5,0
10:00,12:30,6,0
10:00,12:30,7,0
10:00,12:30,8,0
10:00,12:30,9,3
10:00,12:30,10,4
10:00,12:30,11,1
10:00,12:30,12,2
10:00,12:30,13,7
10:00,12:30,14,8
10:00,12:30,15,5
10:00,12:30,16,6
10:00,12:30,17,0
10:00,12:30,18,0
10:00,12:30,19,0
10:00,12:30,20,0
10:00,12:30,21,0
10:00,12:30,22,0
10:00,12:30,23,0
10:00,12:30,24,0
10:00,12:30,25,2
10:00,12:30,26,3
10:00,12:30,27,4
10:00,12:30,28,1
10:00,12:30,29,6
10:00,12:30,30,7
10:00,12:30,31,8
12:00,14:30,1,0
12:00,14:30,2,0
12:00,14:30,3,0
12:00,14:30,4,0
12:00,14:30,5,3
12:00,14:30,6,4
12:00,14:30,7,1
12:00,14:30,8,2
12:00,14:30,9,7
12:00,14:30,10,8
12:00,14:30,11,5
12:00,14:30,12,6
12:00,14:30,13,0
12:00,14:30,14,0
12:00,14:30,15,0
12:00,14:30,16,0
12:00,14:30,17,0
12:00,14:30,18,0
12:00,14:30,19,0
12:00,14:30,20,0
12:00,14:30,21,2
12:00,14:30,22,3
12:00,14:30,23,4
12:00,14:30,24,1
12:00,14:30,25,6
12:00,14:30,26,7
12:00,14:30,27,8
12:00,14:30,28,5
12:00,14:30,29,0
12:00,14:30,30,0
12:00,14:30,31,0
14:00,16:30,1,3
14:00,16:30,2,4
14:00,16:30,3,1
14:00,16:30,4,2
14:00,16:30,5,7
14:00,16:30,6,8
14:00,16:30,7,5
14:00,16:30,8,6
14:00,16:30,9,0
14:00,16:30,10,0
14:00,16:30,11,0
14:00,16:30,12,0
14:00,16:30,13,0
14:00,16:30,14,0
14:00,16:30,15,0
14:00,16:30,16,0
14:00,16:30,17,2
14:00,16:30,18,3
14:00,16:30,19,4
14:00,16:30,20,1
14:00,16:30,21,6
14:00,16:30,22,7
14:00,16:30,23,8
14:00,16:30,24,5
14:00,16:30,25,0
14:00,16:30,26,0
14:00,16:30,27,0
14:00,16:30,28,0
14:00,16:30,29,0
14:00,16:30,30,0
14:00,16:30,31,0
16:00,18:30,1,7
16:00,18:30,2,8
16:00,18:30,3,5
16:00,18:30,4,6
16:00,18:30,5,0
16:00,18:30,6,0
16:00,18:30,7,0
16:00,18:30,8,0
16:00,18:30,9,0
16:00,18:30,10,0
16:00,18:30,11,0
16:00,18:30,12,0
16:00,18:30,13,2
16:00,18:30,14,3
16:00,18:30,15,4
16:00,18:30,16,1
16:00,18:30,17,6
16:00,18:30,18,7
16:00,18:30,19,8
16:00,18:30,20,5
16:00,18:30,21,0
16:00,18:30,22,0
16:00,18:30,23,0
16:00,18:30,24,0
16:00,18:30,25,0
16:00,18:30,26,0
16:00,18:30,27,0
16:00,18:30,28,0
16:00,18:30,29,1
16:00,18:30,30,2
16:00,18:30,31,3
18:00,20:30,1,0
18:00,20:30,2,0
18:00,20:30,3,0
18:00,20:30,4,0
18:00,20:30,5,0
18:00,20:30,6,0
18:00,20:30,7,0
18:00,20:30,8,0
18:00,20:30,9,2
18:00,20:30,10,3
18:00,20:30,11,4
18:00,20:30,12,1
18:00,20:30,13,6
18:00,20:30,14,7
18:00,20:30,15,8
18:00,20:30,16,5
18:00,20:30,17,0
18:00,20:30,18,0
18:00,20:30,19,0
18:00,20:30,20,0
18:00,20:30,21,0
18:00,20:30,22,0
18:00,20:30,23,0
18:00,20:30,24,0
18:00,20:30,25,1
18:00,20:30,26,2
18:00,20:30,27,3
18:00,20:30,28,4
18:00,20:30,29,5
18:00,20:30,30,6
18:00,20:30,31,7
20:00,22:30,1,0
20:00,22:30,2,0
20:00,22:30,3,0
20:00,22:30,4,0
20:00,22:30,5,2
20:00,22:30,6,3
20:00,22:30,7,4
20:00,22:30,8,1
20:00,22:30,9,6
20:00,22:30,10,7
20:00,22:30,11,8
20:00,22:30,12,5
20:00,22:30,13,0
20:00,22:30,14,0
20:00,22:30,15,0
20:00,22:30,16,0
20:00,22:30,17,0
20:00,22:30,18,0
20:00,22:30,19,0
20:00,22:30,20,0
20:00,22:30,21,1
20:00,22:30,22,2
20:00,22:30,23,3
20:00,22:30,24,4
20:00,22:30,25,5
20:00,22:30,26,6
20:00,22:30,27,7
20:00,22:30,28,8
20:00,22:30,29,0
20:00,22:30,30,0
20:00,22:30,31,0
22:00,00:30,1,2
22:00,00:30,2,3
22:00,00:30,3,4
22:00,00:30,4,1
22:00,00:30,5,6
22:00,00:30,6,7
22:00,00:30,7,8
22:00,00:30,8,5
22:00,00:30,9,0
22:00,00:30,10,0
22:00,00:30,11,0
22:00,00:30,12,0
22:00,00:30,13,0
22:00,00:30,14,0
22:00,00:30,15,0
22:00,00:30,16,0
22:00,00:30,17,1
22:00,00:30,18,2
22:00,00:30,19,3
22:00,00:30,20,4
22:00,00:30,21,5
22:00,00:30,22,6
22:00,00:30,23,7
22:00,00:30,24,8
22:00,00:30,25,0
22:00,00:30,26,0
22:00,00:30,27,0
22:00,00:30,28,0
22:00,00:30,29,0
22:00,00:30,30,0
22:00,00:30,31,0
