start_time,finsh_time,date_of_month,stage
00:00,02:30,1,0
00:00,02:30,2,0
00:00,02:30,3,0
00:00,02:30,4,0
00:00,02:30,5,2
00:00,02:30,6,3
00:00,02:30,7,4
00:00,02:30,8,1
00:00,02:30,9,0
00:00,02:30,10,7
00:00,02:30,11,8
00:00,02:30,12,5
00:00,02:30,13,6
00:00,02:30,14,0
00:00,02:30,15,0
00:00,02:30,16,0
00:00,02:30,17,0
00:00,02:30,18,0
00:00,02:30,19,0
00:00,02:30,20,0
00:00,02:30,21,1
00:00,02:30,22,2
00:00,02:30,23,3
00:00,02:30,24,4
00:00,02:30,25,0
00:00,02:30,26,6
00:00,02:30,27,7
00:00,02:30,28,8
00:00,02:30,29,5
00:00,02:30,30,0
00:00,02:30,31,0
02:00,04:30,1,2
02:00,04:30,2,3
02:00,04:30,3,4
02:00,04:30,4,1
02:00,04:30,5,6
02:00,04:30,6,7
02:00,04:30,7,8
02:00,04:30,8,5
02:00,04:30,9,0
02:00,04:30,10,0
02:00,04:30,11,0
02:00,04:30,12,0
02:00,04:30,13,0
02:00,04:30,14,0
02:00,04:30,15,0
02:00,04:30,16,0
02:00,04:30,17,1
02:00,04:30,18,2
02:00,04:30,19,3
02:00,04:30,20,4
02:00,04:30,21,5
02:00,04:30,22,6
02:00,04:30,23,7
02:00,04:30,24,8
02:00,04:30,25,0
02:00,04:30,26,0
02:00,04:30,27,0
02:00,04:30,28,0
02:00,04:30,29,0
02:00,04:30,30,0
02:00,04:30,31,0
04:00,06:30,1,6
04:00,06:30,2,7
04:00,06:30,3,8
04:00,06:30,4,5
04:00,06:30,5,0
04:00,06:30,6,0
04:00,06:30,7,0
04:00,06:30,8,0
04:00,06:30,9,0
04:00,06:30,10,0
04:00,06:30,11,0
04:00,06:30,12,0
04:00,06:30,13,1
04:00,06:30,14,2
04:00,06:30,15,3
04:00,06:30,16,4
04:00,06:30,17,5
04:00,06:30,18,6
04:00,06:30,19,7
04:00,06:30,20,8
04:00,06:30,21,0
04:00,06:30,22,0
04:00,06:30,23,0
04:00,06:30,24,0
04:00,06:30,25,0
04:00,06:30,26,0
04:00,06:30,27,0
04:00,06:30,28,0
04:00,06:30,29,4
04:00,06:30,30,1
04:00,06:30,31,2
06:00,08:30,1,0
06:00,08:30,2,0
06:00,08:30,3,0
06:00,08:30,4,0
