start_time,finsh_time,date_of_month,stage
00:00,02:30,1,0
00:00,02:30,2,7
00:00,02:30,3,8
00:00,02:30,4,5
00:00,02:30,5,6
00:00,02:30,6,0
00:00,02:30,7,0
00:00,02:30,8,0
00:00,02:30,9,0
00:00,02:30,10,0
00:00,02:30,11,0
00:00,02:30,12,0
00:00,02:30,13,1
00:00,02:30,14,2
00:00,02:30,15,3
00:00,02:30,16,4
00:00,02:30,17,0
00:00,02:30,18,6
00:00,02:30,19,7
00:00,02:30,20,8
00:00,02:30,21,5
00:00,02:30,22,0
00:00,02:30,23,0
00:00,02:30,24,0
00:00,02:30,25,0
00:00,02:30,26,0
00:00,02:30,27,0
00:00,02:30,28,0
00:00,02:30,29,4
00:00,02:30,30,1
00:00,02:30,31,2
02:00,04:30,1,0
02:00,04:30,2,0
02:00,04:30,3,0
02:00,04:30,4,0
02:00,04:30,5,0
02:00,04:30,6,0
02:00,04:30,7,0
02:00,04:30,8,0
02:00,04:30,9,1
02:00,04:30,10,2
02:00,04:30,11,3
02:00,04:30,12,4
02:00,04:30,13,5
02:00,04:30,14,6
02:00,04:30,15,7
02:00,04:30,16,8
02:00,04:30,17,0
02:00,04:30,18,0
02:00,04:30,19,0
02:00,04:30,20,0
02:00,04:30,21,0
02:00,04:30,22,0
02:00,04:30,23,0
02:00,04:30,24,0
02:00,04:30,25,4
02:00,04:30,26,1
02:00,04:30,27,2
02:00,04:30,28,3
02:00,04:30,29,8
02:00,04:30,30,5
02:00,04:30,31,6
04:00,06:30,1,0
04:00,06:30,2,0
04:00,06:30,3,0
04:00,06:30,4,0
04:00,06:30,5,1
04:00,06:30,6,2
04:00,06:30,7,3
04:00,06:30,8,4
04:00,06:30,9,5
04:00,06:30,10,6
04:00,06:30,11,7
04:00,06:30,12,8
04:00,06:30,13,0
04:00,06:30,14,0
04:00,06:30,15,0
04:00,06:30,16,0
04:00,06:30,17,0
04:00,06:30,18,0
04:00,06:30,19,0
04:00,06:30,20,0
04:00,06:30,21,4
04:00,06:30,22,1
04:00,06:30,23,2
04:00,06:30,24,3
04:00,06:30,25,8
04:00,06:30,26,5
04:00,06:30,27,6
04:00,06:30,28,7
04:00,06:30,29,0
04:00,06:30,30,0
04:00,06:30,31,0
06:00,08:30,1,1
06:00,08:30,2,2
06:00,08:30,3,3
06:00,08:30,4,4
06:00,08:30,5,5
06:00,08:30,6,6
06:00,08:30,7,7
06:00,08:30,8,8
06:00,08:30,9,0
06:00,08:30,10,0
06:00,08:30,11,0
06:00,08:30,12,0
06:00,08:30,13,0
06:00,08:30,14,0
06:00,08:30,15,0
06:00,08:30,16,0
06:00,08:30,17,4
06:00,08:30,18,1
06:00,08:30,19,2
06:00,08:30,20,3
06:00,08:30,21,8
06:00,08:30,22,5
06:00,08:30,23,6
06:00,08:30,24,7
06:00,08:30,25,0
06:00,08:30,26,0
06:00,08:30,27,0
06:00,08:30,28,0
06:00,08:30,29,0
06:00,08:30,30,0
06:00,08:30,31,0
08:00,10:30,1,5
08:00,10:30,2,6
08:00,10:30,3,7
08:00,10:30,4,8
08:00,10:30,5,0
08:00,10:30,6,0
08:00,10:30,7,0
08:00,10:30,8,0
08:00,10:30,9,0
08:00,10:30,10,0
08:00,10:30,11,0
08:00,10:30,12,0
08:00,10:30,13,4
08:00,10:30,14,1
08:00,10:30,15,2
08:00,10:30,16,3
08:00,10:30,17,8
08:00,10:30,18,5
08:00,10:30,19,6
08:00,10:30,20,7
08:00,10:30,21,0
08:00,10:30,22,0
08:00,10:30,23,0
08:00,10:30,24,0
08:00,10:30,25,0
08:00,10:30,26,0
08:00,10:30,27,0
08:00,10:30,28,0
08:00,10:30,29,3
08:00,10:30,30,4
08:00,10:30,31,1
10:00,12:30,1,0
10:00,12:30,2,0
10:00,12:30,3,0
10:00,12:30,4,0
10:00,12:30,5,0
10:00,12:30,6,0
10:00,12:30,7,0
10:00,12:30,8,0
10:00,12:30,9,4
10:00,12:30,10,1
10:00,12:30,11,2
10:00,12:30,12,3
10:00,12:30,13,8
10:00,12:30,14,5
10:00,12:30,15,6
10:00,12:30,16,7
10:00,12:30,17,0
10:00,12:30,18,0
10:00,12:30,19,0
10:00,12:30,20,0
10:00,12:30,21,0
10:00,12:30,22,0
10:00,12:30,23,0
10:00,12:30,24,0
10:00,12:30,25,3
10:00,12:30,26,4
10:00,12:30,27,1
10:00,12:30,28,2
10:00,12:30,29,7
10:00,12:30,30,8
10:00,12:30,31,5
12:00,14:30,1,0
12:00,14:30,2,0
12:00,14:30,3,0
12:00,14:30,4,0
12:00,14:30,5,4
12:00,14:30,6,1
12:00,14:30,7,2
12:00,14:30,8,3
12:00,14:30,9,8
12:00,14:30,10,5
12:00,14:30,11,6
12:00,14:30,12,7
12:00,14:30,13,0
12:00,14:30,14,0
12:00,14:30,15,0
12:00,14:30,16,0
12:00,14:30,17,0
12:00,14:30,18,0
