start_time,finsh_time,date_of_month,stage
00:00,02:30,1,2
00:00,02:30,2,3
00:00,02:30,3,4
00:00,02:30,4,1
00:00,02:30,5,0
00:00,02:30,6,7
00:00,02:30,7,8
00:00,02:30,8,5
00:00,02:30,9,6
00:00,02:30,10,0
00:00,02:30,11,0
00:00,02:30,12,0
00:00,02:30,13,0
00:00,02:30,14,0
00:00,02:30,15,0
00:00,02:30,16,0
00:00,02:30,17,1
00:00,02:30,18,2
00:00,02:30,19,3
00:00,02:30,20,4
00:00,02:30,21,0
00:00,02:30,22,6
00:00,02:30,23,7
00:00,02:30,24,8
00:00,02:30,25,5
00:00,02:30,26,0
00:00,02:30,27,0
00:00,02:30,28,0
00:00,02:30,29,0
00:00,02:30,30,0
00:00,02:30,31,0
02:00,04:30,1,6
02:00,04:30,2,7
02:00,04:30,3,8
02:00,04:30,4,5
02:00,04:30,5,0
02:00,04:30,6,0
02:00,04:30,7,0
02:00,04:30,8,0
02:00,04:30,9,0
02:00,04:30,10,0
02:00,04:30,11,0
02:00,04:30,12,0
02:00,04:30,13,1
02:00,04:30,14,2
02:00,04:30,15,3
02:00,04:30,16,4
02:00,04:30,17,5
02:00,04:30,18,6
02:00,04:30,19,7
02:00,04:30,20,8
02:00,04:30,21,0
02:00,04:30,22,0
02:00,04:30,23,0
02:00,04:30,24,0
02:00,04:30,25,0
02:00,04:30,26,0
02:00,04:30,27,0
02:00,04:30,28,0
02:00,04:30,29,4
02:00,04:30,30,1
02:00,04:30,31,2
04:00,06:30,1,0
04:00,06:30,2,0
04:00,06:30,3,0
04:00,06:30,4,0
04:00,06:30,5,0
04:00,06:30,6,0
04:00,06:30,7,0
04:00,06:30,8,0
04:00,06:30,9,1
04:00,06:30,10,2
04:00,06:30,11,3
04:00,06:30,12,4
04:00,06:30,13,5
04:00,06:30,14,6
04:00,06:30,15,7
04:00,06:30,16,8
04:00,06:30,17,0
04:00,06:30,18,0
04:00,06:30,19,0
04:00,06:30,20,0
04:00,06:30,21,0
04:00,06:30,22,0
04:00,06:30,23,0
04:00,06:30,24,0
04:00,06:30,25,4
04:00,06:30,26,1
04:00,06:30,27,2
04:00,06:30,28,3
04:00,06:30,29,8
04:00,06:30,30,5
04:00,06:30,31,6
06:00,08:30,1,0
06:00,08:30,2,0
06:00,08:30,3,0
06:00,08:30,4,0
06:00,08:30,5,1
06:00,08:30,6,2
06:00,08:30,7,3
06:00,08:30,8,4
06:00,08:30,9,5
06:00,08:30,10,6
06:00,08:30,11,7
06:00,08:30,12,8
06:00,08:30,13,0
06:00,08:30,14,0
06:00,08:30,15,0
06:00,08:30,16,0
06:00,08:30,17,0
06:00,08:30,18,0
06:00,08:30,19,0
06:00,08:30,20,0
06:00,08:30,21,4
06:00,08:30,22,1
06:00,08:30,23,2
06:00,08:30,24,3
06:00,08:30,25,8
06:00,08:30,26,5
06:00,08:30,27,6
06:00,08:30,28,7
06:00,08:30,29,0
06:00,08:30,30,0
06:00,08:30,31,0
08:00,10:30,1,1
08:00,10:30,2,2
08:00,10:30,3,3
08:00,10:30,4,4
08:00,10:30,5,5
08:00,10:30,6,6
08:00,10:30,7,7
08:00,10:30,8,8
08:00,10:30,9,0
08:00,10:30,10,0
08:00,10:30,11,0
08:00,10:30,12,0
08:00,10:30,13,0
08:00,10:30,14,0
08:00,10:30,15,0
08:00,10:30,16,0
08:00,10:30,17,4
08:00,10:30,18,1
08:00,10:30,19,2
08:00,10:30,20,3
08:00,10:30,21,8
08:00,10:30,22,5
08:00,10:30,23,6
08:00,10:30,24,7
