start_time,finsh_time,date_of_month,stage
00:00,02:30,1,0
00:00,02:30,2,5
00:00,02:30,3,6
00:00,02:30,4,7
00:00,02:30,5,8
00:00,02:30,6,0
00:00,02:30,7,0
00:00,02:30,8,0
00:00,02:30,9,0
00:00,02:30,10,0
00:00,02:30,11,0
00:00,02:30,12,0
00:00,02:30,13,3
00:00,02:30,14,4
00:00,02:30,15,1
00:00,02:30,16,2
00:00,02:30,17,0
00:00,02:30,18,8
00:00,02:30,19,5
00:00,02:30,20,6
00:00,02:30,21,7
00:00,02:30,22,0
00:00,02:30,23,0
00:00,02:30,24,0
00:00,02:30,25,0
00:00,02:30,26,0
00:00,02:30,27,0
00:00,02:30,28,0
00:00,02:30,29,2
00:00,02:30,30,3
00:00,02:30,31,4
02:00,04:30,1,0
02:00,04:30,2,0
02:00,04:30,3,0
02:00,04:30,4,0
02:00,04:30,5,0
02:00,04:30,6,0
02:00,04:30,7,0
02:00,04:30,8,0
02:00,04:30,9,3
02:00,04:30,10,4
02:00,04:30,11,1
02:00,04:30,12,2
02:00,04:30,13,7
02:00,04:30,14,8
02:00,04:30,15,5
02:00,04:30,16,6
02:00,04:30,17,0
02:00,04:30,18,0
02:00,04:30,19,0
02:00,04:30,20,0
02:00,04:30,21,0
02:00,04:30,22,0
02:00,04:30,23,0
02:00,04:30,24,0
02:00,04:30,25,2
02:00,04:30,26,3
02:00,04:30,27,4
02:00,04:30,28,1
02:00,04:30,29,6
02:00,04:30,30,7
02:00,04:30,31,8
04:00,06:30,1,0
04:00,06:30,2,0
04:00,06:30,3,0
04:00,06:30,4,0
04:00,06:30,5,3
04:00,06:30,6,4
04:00,06:30,7,1
04:00,06:30,8,2
04:00,06:30,9,7
04:00,06:30,10,8
04:00,06:30,11,5
04:00,06:30,12,6
04:00,06:30,13,0
04:00,06:30,14,0
04:00,06:30,15,0
04:00,06:30,16,0
04:00,06:30,17,0
04:00,06:30,18,0
04:00,06:30,19,0
04:00,06:30,20,0
04:00,06:30,21,2
04:00,06:30,22,3
04:00,06:30,23,4
04:00,06:30,24,1
04:00,06:30,25,6
04:00,06:30,26,7
04:00,06:30,27,8
04:00,06:30,28,5
04:00,06:30,29,0
04:00,06:30,30,0
