date_of_month,start_time,finsh_time,stage
1,01:00,03:30,1
1,01:00,03:30,2
1,07:00,09:30,7
1,07:00,09:30,8
1,13:00,15:30,5
1,13:00,15:30,6
1,19:00,21:30,3
1,19:00,21:30,4
2,05:00,07:30,7
2,05:00,07:30,8
2,11:00,13:30,5
2,11:00,13:30,6
2,17:00,19:30,3
2,17:00,19:30,4
2,23:00,01:30,1
2,23:00,01:30,2
3,03:00,05:30,7
3,03:00,05:30,8
3,09:00,11:30,5
3,09:00,11:30,6
3,15:00,17:30,3
3,15:00,17:30,4
3,21:00,23:30,1
3,21:00,23:30,2
4,01:00,03:30,7
4,01:00,03:30,8
4,07:00,09:30,5
4,07:00,09:30,6
4,13:00,15:30,3
4,13:00,15:30,4
4,19:00,21:30,1
4,19:00,21:30,2
5,05:00,07:30,5
5,05:00,07:30,6
5,11:00,13:30,3
5,11:00,13:30,4
5,17:00,19:30,1
5,17:00,19:30,2
5,23:00,01:30,7
5,23:00,01:30,8
6,03:00,05:30,5
6,03:00,05:30,6
6,09:00,11:30,3
6,09:00,11:30,4
6,15:00,17:30,1
6,15:00,17:30,2
6,21:00,23:30,7
6,21:00,23:30,8
7,01:00,03:30,5
7,01:00,03:30,6
7,07:00,09:30,3
7,07:00,09:30,4
7,13:00,15:30,1
7,13:00,15:30,2
7,19:00,21:30,7
7,19:00,21:30,8
8,05:00,07:30,3
8,05:00,07:30,4
8,11:00,13:30,1
8,11:00,13:30,2
8,17:00,19:30,7
8,17:00,19:30,8
8,23:00,01:30,5
8,23:00,01:30,6
9,03:00,05:30,3
9,03:00,05:30,4
9,09:00,11:30,1
9,09:00,11:30,2
9,16:00,17:30,7
9,16:00,17:30,8
9,21:00,23:30,5
9,21:00,23:30,6
10,01:00,03:30,3
10,01:00,03:30,4
10,07:00,09:30,1
10,07:00,09:30,2
10,13:00,15:30,7
10,13:00,15:30,8
10,19:00,21:30,5
10,19:00,21:30,6
11,05:00,07:30,1
11,05:00,07:30,2
11,11:00,13:30,7
11,11:00,13:30,8
11,17:00,19:30,5
11,17:00,19:30,6
11,23:00,01:30,3
11,23:00,01:30,4
12,03:00,05:30,1
12,03:00,05:30,2
12,09:00,11:30,7
12,09:00,11:30,8
12,15:00,17:30,5
12,15:00,17:30,6
12,21:00,23:30,3
12,21:00,23:30,4
13,01:00,03:30,1
13,01:00,03:30,2
13,07:00,09:30,7
13,07:00,09:30,8
13,13:00,15:30,5
13,13:00,15:30,6
13,19:00,21:30,3
13,19:00,21:30,4
14,05:00,07:30,7
14,05:00,07:30,8
14,11:00,13:30,5
14,11:00,13:30,6
14,17:00,19:30,3
14,17:00,19:30,4
14,23:00,01:30,1
14,23:00,01:30,2
15,03:00,05:30,7
15,03:00,05:30,8
15,09:00,11:30,5
15,09:00,11:30,6
15,15:00,17:30,3
15,15:00,17:30,4
15,21:00,23:30,1
15,21:00,23:30,2
16,01:00,03:30,7
16,01:00,03:30,8
16,07:00,09:30,5
16,07:00,09:30,6
16,13:00,15:30,3
16,13:00,15:30,4
16,19:00,21:30,1
16,19:00,21:30,2
17,05:00,07:30,5
17,05:00,07:30,6
17,11:00,13:30,3
17,11:00,13:30,4
17,17:00,19:30,1
17,17:00,19:30,2
17,23:00,01:30,7
17,23:00,01:30,8
18,03:00,05:30,5
18,03:00,05:30,6
18,09:00,11:30,3
18,09:00,11:30,4
18,15:00,17:30,1
18,15:00,17:30,2
18,21:00,23:30,7
18,21:00,23:30,8
19,01:00,03:30,5
19,01:00,03:30,6
19,07:00,09:30,3
19,07:00,09:30,4
19,13:00,15:30,1
19,13:00,15:30,2
19,19:00,21:30,7
19,19:00,21:30,8
20,05:00,07:30,3
20,05:00,07:30,4
20,11:00,13:30,1
20,11:00,13:30,2
20,17:00,19:30,7
20,17:00,19:30,8
20,23:00,01:30,5
20,23:00,01:30,6
21,03:00,05:30,3
21,03:00,05:30,4
21,09:00,11:30,1
21,09:00,11:30,2
21,16:00,17:30,7
21,16:00,17:30,8
21,21:00,23:30,5
21,21:00,23:30,6
22,01:00,03:30,3
22,01:00,03:30,4
22,07:00,09:30,1
22,07:00,09:30,2
22,13:00,15:30,7
22,13:00,15:30,8
22,19:00,21:30,5
22,19:00,21:30,6
23,05:00,07:30,1
23,05:00,07:30,2
23,11:00,13:30,7
23,11:00,13:30,8
23,17:00,19:30,5
23,17:00,19:30,6
23,23:00,01:30,3
23,23:00,01:30,4
24,03:00,05:30,1
24,03:00,05:30,2
24,09:00,11:30,7
24,09:00,11:30,8
24,15:00,17:30,5
24,15:00,17:30,6
24,21:00,23:30,3
24,21:00,23:30,4
25,01:00,03:30,1
25,01:00,03:30,2
25,07:00,09:30,7
25,07:00,09:30,8
25,13:00,15:30,5
25,13:00,15:30,6
25,19:00,21:30,3
25,19:00,21:30,4
26,05:00,07:30,7
26,05:00,07:30,8
26,11:00,13:30,5
26,11:00,13:30,6
26,17:00,19:30,3
26,17:00,19:30,4
26,23:00,01:30,1
26,23:00,01:30,2
27,03:00,05:30,7
27,03:00,05:30,8
27,09:00,11:30,5
27,09:00,11:30,6
27,15:00,17:30,3
27,15:00,17:30,4
27,21:00,23:30,1
27,21:00,23:30,2
28,01:00,03:30,7
28,01:00,03:30,8
28,07:00,09:30,5
28,07:00,09:30,6
28,13:00,15:30,3
28,13:00,15:30,4
28,19:00,21:30,1
28,19:00,21:30,2
29,05:00,07:30,5
29,05:00,07:30,6
29,11:00,13:30,3
29,11:00,13:30,4
29,17:00,19:30,1
29,17:00,19:30,2
29,23:00,01:30,7
29,23:00,01:30,8
30,03:00,05:30,5
30,03:00,05:30,6
30,09:00,11:30,3
30,09:00,11:30,4
30,15:00,17:30,1
30,15:00,17:30,2
30,21:00,23:30,7
30,21:00,23:30,8
31,01:00,03:30,5
31,01:00,03:30,6
31,07:00,09:30,3
31,07:00,09:30,4
31,13:00,15:30,1
31,13:00,15:30,2
31,19:00,21:30,7
31,19:00,21:30,8
