_id,name,province,kind
,"Abaqulusi","kwazulu-natal","local"
,"Albert Luthuli","mpumalanga","local"
,"Alfred Duma","kwazulu-natal","local"
,"Amahlathi","eastern_cape","local"
,"Ba-Phalaborwa","limpopo","local"
,"Beaufort West","western_cape","local"
,"Bela-Bela","limpopo","local"
,"Bergrivier","western_cape","local"
,"Big Five Hlabisa","kwazulu-natal","local"
,"Bitou","western_cape","local"
,"Blouberg","limpopo","local"
,"Blue Crane Route","eastern_cape","local"
,"Breede Valley","western_cape","local"
,"Buffalo City","eastern_cape","metropolitan"
,"Bushbuckridge","mpumalanga","local"
,"Cape Agulhas","western_cape","local"
,"Cederberg","western_cape","local"
,"City of Cape Town","western_cape","metropolitan"
,"City of Ekurhuleni","gauteng","metropolitan"
,"City of Johannesburg","gauteng","metropolitan"
,"City of Matlosana","north_west","local"
,"City of Tshwane","gauteng","metropolitan"
,"Collins Chabane","limpopo","local"
,"Dannhauser","kwazulu-natal","local"
,"Dawid Kruiper","northern_cape","local"
,"Dihlabeng","free_state","local"
,"Dikgatlong","northern_cape","local"
,"Dipaleseng","mpumalanga","local"
,"Ditsobotla","north_west","local"
,"Dr Beyers Naudé","eastern_cape","local"
,"Dr JS Moroka","mpumalanga","local"
,"Dr Nkosazana Dlamini Zuma","kwazulu-natal","local"
,"Drakenstein","western_cape","local"
,"eDumbe","kwazulu-natal","local"
,"Elias Motsoaledi","limpopo","local"
,"Elundini","eastern_cape","local"
,"eMadlangeni","kwazulu-natal","local"
,"Emakhazeni","mpumalanga","local"
,"Emalahleni","eastern_cape","local"
,"Emalahleni","mpumalanga","local"
,"Emfuleni","gauteng","local"
,"Emthanjeni","northern_cape","local"
,"Endumeni","kwazulu-natal","local"
,"Engcobo","eastern_cape","local"
,"Enoch Mgijima","eastern_cape","local"
,"Ephraim Mogale","limpopo","local"
,"eThekwini","kwazulu-natal","metropolitan"
,"Fetakgomo Tubatse","limpopo","local"
,"Ga-Segonyana","northern_cape","local"
,"Gamagara","northern_cape","local"
,"George","western_cape","local"
,"Govan Mbeki","mpumalanga","local"
,"Great Kei","eastern_cape","local"
,"Greater Giyani","limpopo","local"
,"Greater Kokstad","kwazulu-natal","local"
,"Greater Letaba","limpopo","local"
,"Greater Taung","north_west","local"
,"Greater Tzaneen","limpopo","local"
,"Hantam","northern_cape","local"
,"Hessequa","western_cape","local"
,"Impendle","kwazulu-natal","local"
,"Ingquza Hill","eastern_cape","local"
,"Inkosi Langalibalele","kwazulu-natal","local"
,"Intsika Yethu","eastern_cape","local"
,"Inxuba Yethemba","eastern_cape","local"
,"JB Marks","north_west","local"
,"Joe Morolong","northern_cape","local"
,"Jozini","kwazulu-natal","local"
,"Kagisano-Molopo","north_west","local"
,"Kai !Garib","northern_cape","local"
,"Kamiesberg","northern_cape","local"
,"Kannaland","western_cape","local"
,"Kareeberg","northern_cape","local"
,"Karoo Hoogland","northern_cape","local"
