date_of_month,start_time,finsh_time,stage
28,00:00,02:00,1
28,00:00,02:00,2
28,00:00,02:00,3
28,00:00,02:00,4
28,00:00,02:00,5
28,00:00,02:00,6
28,00:00,02:00,7
28,00:00,02:00,8
28,08:00,10:00,4
28,08:00,10:00,5
28,08:00,10:00,6
28,08:00,10:00,7
28,08:00,10:00,8
28,18:00,20:00,3
28,18:00,20:00,4
28,18:00,20:00,5
28,18:00,20:00,6
28,18:00,20:00,7
28,18:00,20:00,8
29,04:00,06:00,2
29,04:00,06:00,3
29,04:00,06:00,4
29,04:00,06:00,5
29,04:00,06:00,6
29,04:00,06:00,7
29,04:00,06:00,8
29,14:00,16:00,1
29,14:00,16:00,2
29,14:00,16:00,3
29,14:00,16:00,4
29,14:00,16:00,5
29,14:00,16:00,6
29,14:00,16:00,7
29,14:00,16:00,8
29,22:00,00:00,4
29,22:00,00:00,5
29,22:00,00:00,6
29,22:00,00:00,7
29,22:00,00:00,8
30,08:00,10:00,3
30,08:00,10:00,4
30,08:00,10:00,5
30,08:00,10:00,6
30,08:00,10:00,7
30,08:00,10:00,8
30,18:00,20:00,2
30,18:00,20:00,3
30,18:00,20:00,4
30,18:00,20:00,5
30,18:00,20:00,6
30,18:00,20:00,7
30,18:00,20:00,8
1,04:00,06:00,1
1,04:00,06:00,2
1,04:00,06:00,3
1,04:00,06:00,4
1,04:00,06:00,5
1,04:00,06:00,6
1,04:00,06:00,7
1,04:00,06:00,8
1,12:00,14:00,4
1,12:00,14:00,5
1,12:00,14:00,6
1,12:00,14:00,7
1,12:00,14:00,8
1,22:00,00:00,3
1,22:00,00:00,4
1,22:00,00:00,5
1,22:00,00:00,6
1,22:00,00:00,7
1,22:00,00:00,8
2,08:00,10:00,2
2,08:00,10:00,3
2,08:00,10:00,4
2,08:00,10:00,5
2,08:00,10:00,6
2,08:00,10:00,7
2,08:00,10:00,8
2,18:00,20:00,1
2,18:00,20:00,2
2,18:00,20:00,3
2,18:00,20:00,4
2,18:00,20:00,5
2,18:00,20:00,6
2,18:00,20:00,7
2,18:00,20:00,8
3,02:00,04:00,4
3,02:00,04:00,5
3,02:00,04:00,6
3,02:00,04:00,7
3,02:00,04:00,8
3,12:00,14:00,3
3,12:00,14:00,4
3,12:00,14:00,5
3,12:00,14:00,6
3,12:00,14:00,7
3,12:00,14:00,8
3,22:00,00:00,2
3,22:00,00:00,3
3,22:00,00:00,4
3,22:00,00:00,5
3,22:00,00:00,6
3,22:00,00:00,7
3,22:00,00:00,8
4,08:00,10:00,1
4,08:00,10:00,2
4,08:00,10:00,3
4,08:00,10:00,4
4,08:00,10:00,5
4,08:00,10:00,6
4,08:00,10:00,7
4,08:00,10:00,8
4,16:00,18:00,4
4,16:00,18:00,5
4,16:00,18:00,6
4,16:00,18:00,7
4,16:00,18:00,8
5,02:00,04:00,3
5,02:00,04:00,4
5,02:00,04:00,5
5,02:00,04:00,6
5,02:00,04:00,7
5,02:00,04:00,8
5,12:00,14:00,2
5,12:00,14:00,3
5,12:00,14:00,4
5,12:00,14:00,5
5,12:00,14:00,6
5,12:00,14:00,7
5,12:00,14:00,8
5,22:00,00:00,1
5,22:00,00:00,2
5,22:00,00:00,3
5,22:00,00:00,4
5,22:00,00:00,5
5,22:00,00:00,6
5,22:00,00:00,7
5,22:00,00:00,8
6,06:00,08:00,4
6,06:00,08:00,5
6,06:00,08:00,6
6,06:00,08:00,7
6,06:00,08:00,8
6,16:00,18:00,3
6,16:00,18:00,4
6,16:00,18:00,5
6,16:00,18:00,6
6,16:00,18:00,7
6,16:00,18:00,8
7,02:00,04:00,2
7,02:00,04:00,3
7,02:00,04:00,4
7,02:00,04:00,5
7,02:00,04:00,6
7,02:00,04:00,7
7,02:00,04:00,8
7,12:00,14:00,1
7,12:00,14:00,2
7,12:00,14:00,3
7,12:00,14:00,4
7,12:00,14:00,5
7,12:00,14:00,6
7,12:00,14:00,7
7,12:00,14:00,8
7,20:00,22:00,4
7,20:00,22:00,5
7,20:00,22:00,6
7,20:00,22:00,7
7,20:00,22:00,8
8,06:00,08:00,3
8,06:00,08:00,4
8,06:00,08:00,5
8,06:00,08:00,6
8,06:00,08:00,7
8,06:00,08:00,8
8,16:00,18:00,2
8,16:00,18:00,3
8,16:00,18:00,4
8,16:00,18:00,5
8,16:00,18:00,6
8,16:00,18:00,7
8,16:00,18:00,8
9,02:00,04:00,1
9,02:00,04:00,2
9,02:00,04:00,3
9,02:00,04:00,4
9,02:00,04:00,5
9,02:00,04:00,6
9,02:00,04:00,7
9,02:00,04:00,8
9,10:00,12:00,4
9,10:00,12:00,5
9,10:00,12:00,6
9,10:00,12:00,7
